"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE",0.0875888696284265,10.880000000002,4.25930488960845e-06,10.88,-1.71303585469391e-13,-0.952920560320253,1.71295255253437e-13,-0.952920560320253,2013-01-01,2023-12-01
"BLU",0.60821605076154,12.7445709577876,0.00230552997228005,16.2949195610945,2.15937900633007,-7.72206962626878,-2.1511935712131,-7.71388419115181,2013-01-01,2023-12-01
"CIG2O",2.97258343829387e-05,12.4342857142857,0,0,-0.000369619517812998,-0.000369619517812998,0.000369619517812998,-0.000369619517812998,2013-01-01,2023-12-01
"FINITI",0.180456339685321,9.6815929779728,0,0,-1.74710483112808,-1.74710483112808,1.74710483112808,-1.74710483112808,2013-01-01,2023-12-01
"MISTIC",0.0412842296521713,10.5864847165315,0,0,-0.43705486624649,-0.43705486624649,0.43705486624649,-0.43705486624649,2013-01-01,2023-12-01
"NICOTEK",0.0312043407645091,11.7030824015058,0,0,-0.365186971251716,-0.365186971251716,0.365186971251716,-0.365186971251716,2013-01-01,2023-12-01
"NJOY",0.0512204436736493,23.1369600663254,0.132485738487803,28.9743578017352,0.298994101907245,1.88023188089324,0.474377847915549,2.65360383071603,2013-01-01,2023-12-01
"AVATA",0,0,0.000600561989434791,17,0,0,0.0102095538203915,0.0102095538203915,2013-01-01,2023-12-01
"BREEZE",0,0,0.0820529797360285,34,0,0,2.78980131102497,2.78980131102497,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.000930335143275864,17.0010373308185,0,0,0.0158166625010054,0.0158166625010054,2013-01-01,2023-12-01
"FUME",0,0,3.51392653392697e-05,8.5,0,0,0.000298683755383792,0.000298683755383792,2013-01-01,2023-12-01
"GLAS",0,0,0.000476017252397089,44.8621648072024,0,0,0.0213551644281099,0.0213551644281099,2013-01-01,2023-12-01
"HYDE",0,0,4.25930488960845e-07,17,0,0,7.24081831233436e-06,7.24081831233436e-06,2013-01-01,2023-12-01
"HYPPE",0,0,0.0351123119255151,33.9996133397777,0,0,1.19380502893318,1.19380502893318,2013-01-01,2023-12-01
"IGNITE",0,0,0.000717839287504613,20.9178394615339,0,0,0.0150156469752034,0.0150156469752034,2013-01-01,2023-12-01
"IMIRACLE",0,0,0.000167976336583933,14.4944532488114,0,0,0.00243472515752243,0.00243472515752243,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00728301205139704,7.84615384615385,0,0,0.0571436330186537,0.0571436330186537,2013-01-01,2023-12-01
"JUUL",0,0,0.168757487415077,31.4643710327382,0,0,5.30984819858062,5.30984819858062,2013-01-01,2023-12-01
"LEAP",0,0,0.00139039683990156,21.7652728317058,0,0,0.0302623665647989,0.0302623665647989,2013-01-01,2023-12-01
"LOGIC",0,0,0.0129415119075696,14.0982460600788,0,0,0.182452619262356,0.182452619262356,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0122209772786896,33.2180971129681,0,0,0.405957610058887,0.405957610058887,2013-01-01,2023-12-01
"MNGO",0,0,0.00230154201775592,40.8000000000004,0,0,0.0939029143244424,0.0939029143244424,2013-01-01,2023-12-01
"PACHA",0,0,0.000148525103403519,19.1958944659728,0,0,0.00285107221048166,0.00285107221048166,2013-01-01,2023-12-01
"PALAX",0,0,0.00215028345286326,5.66666666666667,0,0,0.0121849395662252,0.0121849395662252,2013-01-01,2023-12-01
"POP",0,0,7.98619666801584e-08,85,0,0,6.78826716781346e-06,6.78826716781346e-06,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000434315995462261,17,0,0,0.00738337192285844,0.00738337192285844,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012638888295163,7.92642869554686,0,0,0.100181246862591,0.100181246862591,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00408966476205201,16.4151763193439,0,0,0.0671325681560913,0.0671325681560913,2013-01-01,2023-12-01
"STICK",0,0,0.000655560263821835,50.4297896532132,0,0,0.0330597662095401,0.0330597662095401,2013-01-01,2023-12-01
"SWITCH MODS",0,0,1.18574458725681e-05,78.4311066637008,0,0,0.000929992601990445,0.000929992601990445,2013-01-01,2023-12-01
"V2 CIGS",0,0,6.6551638900132e-08,12.24,0,0,8.14592060137616e-07,8.14592060137616e-07,2013-01-01,2023-12-01
"VUSE",0,0,0.519452918247923,17.0297475107224,0,0,8.84615204147008,8.84615204147008,2013-01-01,2023-12-01
"ZEO",0,0,0.000633797877901517,33.9950017850768,0,0,0.0215459599906399,0.0215459599906399,2013-01-01,2023-12-01
