"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"BLU",0.60821605076154,36.9955541242526,0.00230552997228005,13.7215711080232,-14.1556100356222,-22.4159954663132,14.101951170204,-22.4696543317314,2013-01-01,2023-12-01
"VUSE",0,0,0.519452918247923,24.1452411593763,0,0,12.5423159820379,12.5423159820379,2013-01-01,2023-12-01
"JUUL",0,0,0.168757487415077,20.5817153101489,0,0,3.47331856243314,3.47331856243314,2013-01-01,2023-12-01
"FINITI",0.180456339685321,13.5197741964673,0,0,-2.43972896486654,-2.43972896486654,2.43972896486654,-2.43972896486654,2013-01-01,2023-12-01
"BREEZE",0,0,0.0820529797360285,20.1856558322639,0,0,1.65629320896319,1.65629320896319,2013-01-01,2023-12-01
"21ST CENTURY SMOKE",0.0875888696284265,13.7039932147754,4.25930488960845e-06,18.99,0.462995359166017,-1.2002589055925,-0.462972844451471,-1.20023639087795,2013-01-01,2023-12-01
"MISTIC",0.0412842296521713,21.0420679295163,0,0,-0.868705564758739,-0.868705564758739,0.868705564758739,-0.868705564758739,2013-01-01,2023-12-01
"HYPPE",0,0,0.0351123119255151,19.2857617402829,0,0,0.67716768194598,0.67716768194598,2013-01-01,2023-12-01
"NICOTEK",0.0312043407645091,16.0829063760134,0,0,-0.50185649104082,-0.50185649104082,0.50185649104082,-0.50185649104082,2013-01-01,2023-12-01
"NJOY",0.0512204436736493,15.9477561422396,0.132485738487803,9.15973444334436,-0.347685483083773,1.29599910452333,-0.551630584565594,0.396683036873965,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012638888295163,23.3113735290066,0,0,0.294629846039934,0.294629846039934,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0122209772786896,20.3410898729217,0,0,0.248587997160759,0.248587997160759,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00728301205139704,18.9900000000002,0,0,0.138304398856031,0.138304398856031,2013-01-01,2023-12-01
"LOGIC",0,0,0.0129415119075696,9.42172257092208,0,0,0.121931334841405,0.121931334841405,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00408966476205201,24.9889337846421,0,0,0.102196361940302,0.102196361940302,2013-01-01,2023-12-01
"PALAX",0,0,0.00215028345286326,23.9900000000001,0,0,0.05158530003419,0.05158530003419,2013-01-01,2023-12-01
"MNGO",0,0,0.00230154201775592,11.7547996113584,0,0,0.0270541652158422,0.0270541652158422,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.000930335143275864,17.9908739100139,0,0,0.0167375422567308,0.0167375422567308,2013-01-01,2023-12-01
"LEAP",0,0,0.00139039683990156,10.8001522113727,0,0,0.0150164975051485,0.0150164975051485,2013-01-01,2023-12-01
"AVATA",0,0,0.000600561989434791,24.99,0,0,0.0150080441159754,0.0150080441159754,2013-01-01,2023-12-01
"IGNITE",0,0,0.000717839287504613,19.7148438644255,0,0,0.0141520894729039,0.0141520894729039,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000434315995462261,24.9800398406373,0,0,0.0108492308700733,0.0108492308700733,2013-01-01,2023-12-01
"ZEO",0,0,0.000633797877901517,11.478968565727,0,0,0.007275345917456,0.007275345917456,2013-01-01,2023-12-01
"STICK",0,0,0.000655560263821835,10.0042836839116,0,0,0.00655841085117358,0.00655841085117358,2013-01-01,2023-12-01
"GLAS",0,0,0.000476017252397089,11.5425390469687,0,0,0.00549444772282417,0.00549444772282417,2013-01-01,2023-12-01
"IMIRACLE",0,0,0.000167976336583933,23.3193661946737,0,0,0.0039171017048405,0.0039171017048405,2013-01-01,2023-12-01
"PACHA",0,0,0.000148525103403519,26.1522327158063,0,0,0.00388426306834802,0.00388426306834802,2013-01-01,2023-12-01
"FUME",0,0,3.51392653392697e-05,18.8468181818182,0,0,0.000662263344891882,0.000662263344891882,2013-01-01,2023-12-01
"CIG2O",2.97258343829387e-05,18.5832013185353,0,0,-0.000552401164699588,-0.000552401164699588,0.000552401164699588,-0.000552401164699588,2013-01-01,2023-12-01
"SWITCH MODS",0,0,1.18574458725681e-05,12.0358420349345,0,0,0.000142714345460016,0.000142714345460016,2013-01-01,2023-12-01
