"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"VUSE","Refill",0,0,0.519452858351448,5.962566624002,0,0,3.09727227594878,3.09727227594878,2013-01-01,2023-12-01
"BLU","Refill",0.39974877423399,5,0.000107728649242087,2.96247154461714,-0.814499502506173,-1.99820522792374,0.814280002317883,-1.99842472811203,2013-01-01,2023-12-01
"BREEZE","UNKNOWN",0,0,0.0820529797360285,6,0,0,0.492317878416171,0.492317878416171,2013-01-01,2023-12-01
"JUUL","Refill",0,0,0.168756826111673,2.6920433163795,0,0,0.454300685827346,0.454300685827346,2013-01-01,2023-12-01
"NJOY","Refill",0.00479152139934512,5,0.106253844326387,3.79999999999792,-0.00574982567922409,0.50731161463521,-0.121754787512661,0.379807001443325,2013-01-01,2023-12-01
"FINITI","Refill",0.0704509352455262,5.01139229061392,0,0,-0.35305727375597,-0.35305727375597,0.35305727375597,-0.35305727375597,2013-01-01,2023-12-01
"HYPPE","UNKNOWN",0,0,0.0351123119255151,5.9999715691013,0,0,0.210672873278507,0.210672873278507,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Refill",0.0744084346630331,2.72510144332035,4.25930488960845e-06,1.6,-0.0837170372345865,-0.202758925657537,0.0837122450845077,-0.202763717807616,2013-01-01,2023-12-01
"FINITI","Disposable",0.110005404439795,1.75,0,0,-0.192509457769641,-0.192509457769641,0.192509457769641,-0.192509457769641,2013-01-01,2023-12-01
"MISTIC","Refill",0.0378615121503644,5,0,0,-0.189307560751822,-0.189307560751822,0.189307560751822,-0.189307560751822,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY","UNKNOWN",0,0,0.012638888295163,14.7963677722723,0,0,0.187009639447899,0.187009639447899,2013-01-01,2023-12-01
"BLU","Disposable",0.179299863176233,1,0.00157048557476531,1.42461225527587,0.0761329192739152,-0.177729377601467,-0.0754660718521359,-0.177062530179688,2013-01-01,2023-12-01
"JUICY BAR","UNKNOWN",0,0,0.00728301205139704,13,0,0,0.0946791566681616,0.0946791566681616,2013-01-01,2023-12-01
"NJOY","Disposable",0.0464289222743042,2.08329268292683,0.0148370223763954,1.00013456535391,-0.0502898640515749,-0.0658151738970703,0.0342190228239711,-0.0818860151246741,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS","UNKNOWN",0,0,0.0122209772786896,6.5,0,0,0.0794363523114823,0.0794363523114823,2013-01-01,2023-12-01
"NICOTEK","Refill",0.0222731430483591,3,0,0,-0.0668194291450772,-0.0668194291450772,0.0668194291450772,-0.0668194291450772,2013-01-01,2023-12-01
"STAGBAR","UNKNOWN",0,0,0.00408966476205201,13,0,0,0.0531656419066761,0.0531656419066761,2013-01-01,2023-12-01
"PALAX","UNKNOWN",0,0,0.00215028345286326,18,0,0,0.0387051021515388,0.0387051021515388,2013-01-01,2023-12-01
"LOGIC","Refill",0,0,0.0127174192290651,2.6799974881078,0,0,0.0340826515891082,0.0340826515891082,2013-01-01,2023-12-01
"NJOY","UNKNOWN",0,0,0.0113948717850206,2.96458192309822,0,0,0.033781030909894,0.033781030909894,2013-01-01,2023-12-01
"BLU","Starter Kit",0.0291674133513163,1,0,0,-0.0291674133513163,-0.0291674133513163,0.0291674133513163,-0.0291674133513163,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Starter Kit",0.013106545034213,1.80104976671894,0,0,-0.0236055398763607,-0.0236055398763607,0.0236055398763607,-0.0236055398763607,2013-01-01,2023-12-01
"NICOTEK","Starter Kit",0.00483257136111203,2,0,0,-0.00966514272222406,-0.00966514272222406,0.00966514272222406,-0.00966514272222406,2013-01-01,2023-12-01
"MISTIC","Starter Kit",0.00342271750180694,2.22456575682382,0,0,-0.0076140601498013,-0.0076140601498013,0.0076140601498013,-0.0076140601498013,2013-01-01,2023-12-01
"AVATA","UNKNOWN",0,0,0.000600561989434791,12,0,0,0.00720674387321749,0.00720674387321749,2013-01-01,2023-12-01
"SAVAGE","UNKNOWN",0,0,0.000434315995462261,13,0,0,0.0056461079410094,0.0056461079410094,2013-01-01,2023-12-01
"ESCO BARS","UNKNOWN",0,0,0.000930335143275864,5.99963908820045,0,0,0.00558167509072443,0.00558167509072443,2013-01-01,2023-12-01
"NICOTEK","Disposable",0.00409862635503805,1,0,0,-0.00409862635503805,-0.00409862635503805,0.00409862635503805,-0.00409862635503805,2013-01-01,2023-12-01
"IGNITE","UNKNOWN",0,0,0.000717839287504613,5.04395616621231,0,0,0.00362074990055835,0.00362074990055835,2013-01-01,2023-12-01
"MNGO","UNKNOWN",0,0,0.00230154201775592,1.39999999999937,0,0,0.00322215882485683,0.00322215882485683,2013-01-01,2023-12-01
