year,brand,share,rank,Closed_pod_pct,Disposable_pct,Open_refill_pct,nic_mg_per_mL,avg_mL_per_unit,nic_per_unit_mg
2013,21ST CENTURY SMOKE,9.2,3,100,0,0,10.8,2.62,28.3
2013,BLU,56,1,73,27,0,12.4,2.4,29.6
2013,FINITI,13.1,2,50,0,50,9.9,2.48,24.5
2013,LOGIC,3.3,6,100,0,0,4.6,6.82,31.3
2013,MARKTEN,0,15,100,0,0,27.2,1.6,43.6
2013,MISTIC,2,7,88,12,0,10.8,3.93,42.6
2013,NICOTEK,6.6,5,55,19,26,7.7,3.49,26.8
2013,NJOY,8.5,4,54,46,0,23.9,1.72,41
2013,VUSE,0.2,10,100,0,0,32.2,0.92,29.5
2014,21ST CENTURY SMOKE,8.6,4,100,0,0,10.5,2.79,29.4
2014,BLU,35,1,73,27,0,12.4,2.41,29.9
2014,FINITI,17,2,65,0,35,11.7,2.96,34.6
2014,LOGIC,8.4,6,100,0,0,10,6.91,69.3
2014,MARKTEN,1.3,11,100,0,0,24.8,1.3,32.2
2014,MISTIC,8.6,5,55,5,40,12.7,5.54,70.4
2014,NICOTEK,5.1,7,61,23,16,8.1,3.62,29.4
2014,NJOY,9.7,3,71,22,7,22.9,3.21,73.5
2014,VUSE,1.6,10,91,9,0,27.3,0.91,24.7
2015,21ST CENTURY SMOKE,5.4,7,100,0,0,10.8,2.78,30.1
2015,BLU,20.6,2,68,32,0,14.8,1.93,28.6
2015,FINITI,10.8,4,84,0,16,12.8,3.98,50.9
2015,JUUL,0,21,100,0,0,34,2.8,95.2
2015,LOGIC,10,5,100,0,0,11.8,6.33,74.5
2015,MARKTEN,2.2,10,100,0,0,18.1,1.56,28.3
2015,MISTIC,24,1,22,3,75,13.7,8.13,111.5
2015,NICOTEK,2.1,11,81,5,14,10.1,3.17,32.1
2015,NJOY,11,3,37,33,30,16.7,3.6,60.1
2015,VUSE,2.9,9,93,7,0,27.1,0.93,25.3
2016,21ST CENTURY SMOKE,5.7,6,100,0,0,9.4,3.12,29.5
2016,BLU,20.2,2,70,30,0,16.3,1.85,30.1
2016,FINITI,7.7,5,94,0,6,12.4,4.54,56.5
2016,JUUL,0.1,15,100,0,0,34,2.8,95.2
2016,LOGIC,10.7,4,90,5,5,13.3,4.2,55.9
2016,MARKTEN,2.2,9,100,0,0,21.9,1.97,43.1
2016,MISTIC,25.9,1,11,1,88,11.6,10.43,121
2016,NICOTEK,1.3,10,83,1,16,10.2,3.1,31.7
2016,NJOY,15.1,3,20,41,39,19.9,2.08,41.5
2016,VUSE,4.5,7,95,5,0,27.9,0.97,27.1
2017,21ST CENTURY SMOKE,5.2,7,100,0,0,9.2,3.14,28.9
2017,BLU,18.5,2,69,31,0,16.3,1.75,28.5
2017,FINITI,3.3,8,93,0,7,12.1,4.46,53.9
2017,JUUL,5.5,6,100,0,0,34,2.8,95.2
2017,LOGIC,16.8,3,81,6,14,13.4,3.46,46.3
2017,MARKTEN,2.5,10,100,0,0,23.1,2.16,49.8
2017,MISTIC,20.8,1,12,0,88,10.3,11.87,122.7
2017,NICOTEK,0.4,14,44,0,56,5.8,4.85,28.3
2017,NJOY,15.9,4,8,56,36,23.1,1.47,34
2017,VUSE,6.3,5,97,3,0,23.5,1.46,34.3
2018,21ST CENTURY SMOKE,1,9,100,0,0,7.3,4.34,31.7
2018,BLU,7.6,4,63,37,0,15.7,1.77,27.7
2018,FINITI,0,17,61,0,39,10.5,2.6,27.2
2018,JUUL,47.1,1,100,0,0,34,2.79,94.7
2018,LOGIC,7,6,91,2,7,12.7,2.76,35.2
2018,MARKTEN,10.4,2,100,0,0,24.1,2.3,55.4
2018,MISTIC,4.1,7,20,0,80,8.1,12.59,102
2018,NICOTEK,0,16,7,2,91,2.2,7.75,17.2
2018,NJOY,7.4,5,4,57,39,24.7,1.37,33.8
2018,VUSE,10,3,97,3,0,21.5,1.75,37.6
2019,21ST CENTURY SMOKE,0.1,12,100,0,0,2.6,8.59,22.6
2019,BLU,5.3,5,77,23,0,15.5,2.09,32.3
2019,FINITI,0,19,54,0,46,9.9,2.59,25.6
2019,JUUL,42.3,1,100,0,0,32.2,2.54,81.7
2019,LOGIC,3.5,6,99,1,0,12.8,2.67,34.1
2019,MARKTEN,0.9,9,100,0,0,24.1,2.34,56.3
2019,MISTIC,2,7,5,0,95,3.9,21.74,85
2019,NICOTEK,0,17,3,60,37,2.3,6.38,14.9
2019,NJOY,23.7,2,84,11,5,32.8,2.79,91.4
2019,VUSE,11,3,99,1,0,28.3,2.6,73.5
2020,21ST CENTURY SMOKE,0,13,100,0,0,4.7,6.17,29.2
2020,BLU,3,5,75,25,0,18.3,2,36.7
2020,FINITI,0,19,32,0,68,10,2.22,22.3
2020,JUUL,33.7,1,100,0,0,31.8,2.52,80.3
2020,LOGIC,1.8,6,98,2,0,12.9,2.66,34.3
2020,MARKTEN,0,16,100,0,0,22.2,1.71,38
2020,MISTIC,0,9,6,0,94,3.6,21.76,78.3
2020,NICOTEK,0,15,3,8,89,1.8,8.61,15.9
2020,NJOY,25.2,3,93,7,0,34,3.16,107.4
2020,VUSE,28.4,2,100,0,0,26.1,3.33,86.7
2021,21ST CENTURY SMOKE,0,26,100,0,0,9.1,2.08,19
2021,BLU,2.3,4,83,17,0,17,2.24,38.2
2021,FINITI,0,43,59,0,41,10.9,2.83,30.8
2021,HYPPE,1.1,9,0,100,0,34,6,204
2021,JUUL,27.9,2,100,0,0,36.6,2.57,94
2021,LOGIC,1.4,6,98,2,0,16,2.62,41.8
2021,MARKTEN,0,35,100,0,0,21.7,1.87,40.7
2021,MISTIC,0,34,5,17,78,14.4,7.42,106.9
2021,MNGO,2.3,5,0,100,0,40.8,1.41,57.4
2021,NICOTEK,0,37,35,36,29,11.2,3.86,43.2
2021,NJOY,16.1,3,91,9,0,33.2,3.03,100.7
2021,VUSE,43.7,1,95,5,0,27.9,4.47,124.6
