brand,year,mL,nic_old,nic_fix,bug_mL,pct_mL_bug
BLU,2016,5491639,16.3,16.3,0,0
FINITI,2016,1642026.0500008184,14,11.8,0,0
JUUL,2016,16088.799999999817,34,48.6,NA,NA
LOGIC,2016,2550329.385759149,14,10.6,0,0
MARKTEN,2016,611524.7999995177,21.9,19.5,NA,NA
MISTIC,2016,582173,12.7,12.7,0,0
NJOY,2016,3685280.9796400014,21.1,17.8,0,0
VUSE,2016,1243634.5,32.3,37.2,NA,NA
BLU,2017,4923611,16.3,16.3,0,0
FINITI,2017,703630.7500003036,13.8,12.1,0,0
JUUL,2017,1496446.0000004482,34,48.6,NA,NA
LOGIC,2017,4645738.482719259,13.4,10.9,0,0
MARKTEN,2017,721935.9999994072,23.1,19.3,NA,NA
MISTIC,2017,379917,12.9,12.9,0,0
NJOY,2017,4360432.45828001,23.5,21.1,0,0
VUSE,2017,1857211.0999998932,27,25.1,NA,NA
BLU,2018,7358451,16.3,14.9,0,0
FINITI,2018,11767.64999999997,11.2,10.4,0,0
JUUL,2018,48023544.799828105,34,48.6,NA,NA
LOGIC,2018,6556900.621519844,13,11.6,0,0
MARKTEN,2018,11183457.599953143,24,18.8,NA,NA
MISTIC,2018,294806,12.9,12.9,0,0
NJOY,2018,7413525.244410005,24.4,21.7,0,0
VUSE,2018,9990331.100056838,21.9,21.5,NA,NA
BLU,2019,6050710,17,14.8,0,0
FINITI,2019,1198.9499999999996,11,9.4,0,0
JUUL,2019,75728144.79787704,32.3,46.1,NA,NA
LOGIC,2019,5089244.134088791,13.4,12,0,0
MARKTEN,2019,1628790.3999991876,24.2,18.1,NA,NA
MISTIC,2019,152798,12.4,12.4,0,0
NJOY,2019,42089516.41991983,32.9,19,0,0
VUSE,2019,17248421.299845245,28.9,23,NA,NA
BLU,2020,3761755.5,18.2,14,0,0
FINITI,2020,69.25,11.4,9.3,0,0
JUUL,2020,48562091.19891591,32.9,47.1,NA,NA
LOGIC,2020,2633988.1923821894,13.2,11.8,0,0
MARKTEN,2020,537.6000000000006,22.2,18.6,NA,NA
MISTIC,2020,1757,12.3,12.3,0,0
NJOY,2020,39998158.00001963,34.1,19.2,0,0
VUSE,2020,34659271.600503094,29.7,24.8,NA,NA
BLU,2021,4136879.511669,17.1,13,0,0
FINITI,2021,34,10.9,9.4,0,0
JUUL,2021,46983304.70608904,33.9,48.4,NA,NA
LOGIC,2021,2479758.8875287804,16,12.2,0,0
MARKTEN,2021,125.59999999999997,21.7,18.4,NA,NA
MISTIC,2021,14,13.4,13.4,0,0
NJOY,2021,28842301.253994588,33.2,19.2,NA,NA
VUSE,2021,78364656.66020519,16.3,13.9,NA,NA
BLU,2022,2043545.060439961,17,14,NA,NA
FINITI,2022,10,10.3,10.3,0,0
JUUL,2022,41312545.604447484,31.6,45.1,NA,NA
LOGIC,2022,2401618.7999997176,13.9,12.3,0,0
MARKTEN,2022,8.799999999999999,18.5,17.5,NA,NA
MISTIC,2022,1,16.3,16.3,0,0
NJOY,2022,21846317.056200147,34.2,20.3,0,0
VUSE,2022,85417226.29950306,15,13.1,NA,NA
BLU,2023,394023.141974001,16.6,16.5,NA,NA
FINITI,2023,1.75,10.9,6.2,0,0
JUUL,2023,28964257.62084378,31.5,44.9,NA,NA
LOGIC,2023,2223512.999999765,14.3,12.6,0,0
NJOY,2023,19692154.687002704,30.5,19.1,0,0
VUSE,2023,84576745.899785,17.3,15.5,NA,NA
BLU,2013,12312082,12.4,12.4,0,0
FINITI,2013,2384148.25,9.9,9.4,0,0
LOGIC,2013,95499.89999999845,15.4,10.6,0,0
MISTIC,2013,380006,11.7,11.7,0,0
NJOY,2013,1763518,24.8,24.8,0,0
VUSE,2013,27932,32.6,27.9,NA,NA
BLU,2014,7741644,12.4,12.4,0,0
FINITI,2014,3320657.0499996436,11.8,10.7,0,0
LOGIC,2014,1057599.550000216,15.4,10.6,0,0
MARKTEN,2014,248376.00000004473,23.8,28.2,NA,NA
MISTIC,2014,778377,12.6,12.6,0,0
NJOY,2014,1686708,25.8,25.1,0,0
VUSE,2014,344061,32.6,26.6,NA,NA
BLU,2015,5270179,14.8,14.8,0,0
FINITI,2015,2160235.2500013206,13.7,11,0,0
JUUL,2015,288.40000000000026,34,48.6,NA,NA
LOGIC,2015,1745237.7999995502,14.4,9.9,0,0
MARKTEN,2015,574270.3999989944,18.1,22.4,NA,NA
MISTIC,2015,698001,12.7,12.7,0,0
NJOY,2015,1928297,20.2,16.7,0,0
VUSE,2015,730441,32.6,31.1,NA,NA
