year,mL_old,mL_new,mL_sq_old,mL_sq_new,nic_old,nic_new,nic_mg_per_mL_old,nic_mg_per_mL_new,avg_mL_per_ecig_old,avg_mL_per_ecig_new,N_hom_old,N_hom_new,N_hom_change,mL_change_pct
2013,22044278.38242914,22044278.38242914,84064471.77317119,84064471.77317119,270533684.583791,285595113.3833252,12.272285800900864,12.955521084825568,3.8134372246077493,3.8134372246077493,46.799591504180476,49.40506636906439,2.6054748648839166,0
2014,22134724.929709926,22134724.929709926,100076947.7847641,100076947.7847641,292147266.76326525,300283874.76308966,13.19859486354565,13.566189582958819,4.521264578736086,4.521264578736086,59.67433944563699,61.33633242985018,1.6619929842131924,0
2015,25661999.1543588,25661999.1543588,158882639.0725143,158882639.0725143,361024768.4077792,363811054.8076693,14.068458432883146,14.177034790599096,6.191358596687016,6.191358596687016,87.10287106056502,87.77510622630663,0.6722351657416112,0
2016,27624714.987286773,27624714.987286773,192212501.03145167,192212501.03145167,419349816.2264601,419461173.026453,15.180240462913371,15.184271519886961,6.957990376368053,6.957990376368053,105.62396705190415,105.65201510753297,0.028048055628829616,0
2017,29277947.272660155,29276293.972660135,190985966.20753142,190971582.49753144,487516187.87359315,487509252.21359086,16.651310398691695,16.652013833064206,6.523202068400292,6.523079139588895,108.61986243432096,108.62240406660685,0.002541632285883111,-0.005646912280504134
2018,107990648.26225501,107446260.46224906,388939532.5971211,384203358.7370473,2789328063.28988,2783784338.130257,25.829348264638654,25.908620050190876,3.6016038319594346,3.575772270567165,93.02707968693734,92.643325144133,-0.38375454280433985,-0.5041064284417601
2019,170417032.7347306,170182854.83471078,646640370.0819672,644603022.3518897,4885738288.540068,4883353209.960447,28.669307346438533,28.694742573823778,3.7944585685195036,3.78770836214939,108.78449891421285,108.68731639659643,-0.09718251761641739,-0.13741460947999454
2020,154738105.12273127,154724641.12273094,489522827.41378677,489405690.6137802,4582402783.140126,4609269846.991741,29.61392592668478,29.790147280649165,3.1635570761676277,3.1630752998520317,93.6853449184676,94.22847904237554,0.543134123907933,-0.008701153468080012
2021,179603428.20218742,179634465.24222362,735810395.9415098,736044154.594766,4488501773.029817,5387295585.098393,24.991180947709495,29.99032272472896,4.096861642936882,4.097455093610603,102.38541063636603,122.88400060746649,20.498589971100458,0.017280872835713206
2022,169174773.58073616,169201460.38075113,763867577.8371071,764082413.5372999,3918375444.0471263,4971654915.153002,23.16170053673599,29.38304967324379,4.515256983468416,4.515814531493395,104.58103009750133,132.68840269402656,28.107372596525238,0.015774692319736907
2023,154388551.7194412,154398199.5194458,766965417.8844465,767041723.6445097,3557285342.396842,4455603812.57703,23.04112126695269,28.857874162035586,4.967760946926917,4.9679447430855825,114.46278240337482,143.36432423990996,28.901541836535145,0.006249038479312705
