"year","type","price_per_mL","avg_mL_per_ecig","nic_mg_per_mL","P_hom","N_hom","mL_sum","mL_share"
"2013","ALL",6.87,3.81,13,26.2,49.4,22044278,NA
"2014","ALL",5.16,4.52,13.6,23.34,61.3,22134725,NA
"2015","ALL",4.04,6.19,14.2,25.04,87.8,25661999,NA
"2016","ALL",4.21,6.96,15.2,29.26,105.7,27624715,NA
"2017","ALL",4.81,6.52,16.7,31.4,108.6,29276294,NA
"2018","ALL",6.37,3.58,25.9,22.78,92.6,107446260,NA
"2019","ALL",5.73,3.79,28.7,21.72,108.7,170182855,NA
"2020","ALL",5.06,3.16,29.8,15.99,94.2,154724641,NA
"2021","ALL",4.54,4.1,30,18.58,122.9,179634465,NA
"2022","ALL",4.42,4.52,29.4,19.96,132.7,169201460,NA
"2023","ALL",4.42,4.97,28.9,21.98,143.4,154398200,NA
"2013","Closed pod",4.68,4.53,12.3,21.19,55.9,15469993,NA
"2014","Closed pod",4.54,4.67,13.7,21.24,63.8,15980749,NA
"2015","Closed pod",4.56,4.32,14.8,19.7,64.1,14296197,NA
"2016","Closed pod",5.01,3.86,16.3,19.33,63,14201009,NA
"2017","Closed pod",5.52,3.54,18.3,19.55,64.8,15579426,NA
"2018","Closed pod",6.6,2.85,27.6,18.84,78.8,90241326,NA
"2019","Closed pod",5.82,3.03,29.9,17.63,90.6,154971888,NA
"2020","Closed pod",4.96,3.21,29.8,15.95,95.8,150306953,NA
"2021","Closed pod",4.33,4.19,29.7,18.17,124.6,158719040,NA
"2022","Closed pod",4.28,4.62,29.1,19.8,134.5,144695875,NA
"2023","Closed pod",4.47,4.98,28.5,22.23,142,127755661,NA
"2013","Disposable",14.54,1.77,16.7,25.74,29.6,4755834,NA
"2014","Disposable",9.17,3.29,14.5,30.18,47.7,3726992,NA
"2015","Disposable",6.66,5.74,14.5,38.23,82.9,4597194,NA
"2016","Disposable",7.15,4.01,19.2,28.69,77.1,4903348,NA
"2017","Disposable",8.14,2.48,22.7,20.19,56.4,5347709,NA
"2018","Disposable",8.3,1.99,24.6,16.49,48.9,9011865,NA
"2019","Disposable",8.72,1.22,27.7,10.61,33.7,7547988,NA
"2020","Disposable",8.36,1.02,29.1,8.55,29.8,4316483,NA
"2021","Disposable",6.07,3.37,32.1,20.49,108.4,20913029,NA
"2022","Disposable",5.23,3.88,31.1,20.29,120.8,24505089,NA
"2023","Disposable",4.23,4.92,30.4,20.81,149.9,26642333,NA
"2013","Open refill",5.48,3.04,8.5,16.65,26,1818451,NA
"2014","Open refill",3.07,5.4,11.6,16.57,62.4,2426984,NA
"2015","Open refill",1.17,10.46,12.6,12.24,131.7,6768608,NA
"2016","Open refill",1.17,13.82,10.9,16.11,151.2,8520358,NA
"2017","Open refill",1.38,14.67,9.7,20.22,142.3,8349159,NA
"2018","Open refill",1.73,13.27,8.7,22.99,115.4,8193069,NA
"2019","Open refill",1.01,21.69,4.8,21.97,103.8,7662979,NA
"2020","Open refill",0.74,20.55,5.2,15.11,107.1,101205,NA
"2021","Open refill",0.74,12.15,12.6,8.94,153.4,2397,NA
"2022","Open refill",0.62,11.97,13.9,7.44,165.7,496,NA
"2023","Open refill",0.66,13.48,12.3,8.84,165.6,205,NA
