year,leader,leader_share,runner_up,CR3,CR4,HHI,unknown_share,n_brands_pos
2013,BLU,56,FINITI,78.3,86.8,3519.2,0,20
2014,BLU,35,FINITI,61.8,70.4,1868.5,1.9,24
2015,MISTIC,24,BLU,55.5,66.3,1429.7,6,25
2016,MISTIC,25.9,BLU,61.3,71.9,1563.6,4.4,25
2017,MISTIC,20.8,BLU,56.1,72,1431.9,2.4,23
2018,JUUL,47.9,MARKTEN,68.6,76.4,2701,2.5,27
2019,JUUL,45.1,NJOY,82,87.7,2872.7,3.8,27
2020,JUUL,34.8,VUSE,90,94.2,2773.2,4.2,25
2021,VUSE,43.7,JUUL,87.7,90,2966.6,0,52
2022,VUSE,50.5,JUUL,87.9,91.6,3338,0,54
2023,VUSE,54.8,JUUL,86.8,90,3553.5,0,48
