year_month,type,units_sum,cart_sum,units_na_cart,mL_sum
2013-01,Closed pod,238502,959757,14231,973238.1000000419
2013-01,Disposable,331002,331002,0,349107.6147814944
2013-01,Open refill,97756,97756,0,166689.25
2013-02,Closed pod,256666,1033127,13144,1043967.3500000582
2013-02,Disposable,362613,362613,0,380986.45314149687
2013-02,Open refill,87105,87105,0,153633.7985299998
2013-03,Closed pod,335223,1350625,14312,1360700.6000000369
2013-03,Disposable,485201,485201,0,530258.3726770091
2013-03,Open refill,114223,114223,0,216387.01420900374
2013-04,Closed pod,271875,1086079,9719,1097415.0000000463
2013-04,Disposable,394842,394842,0,433826.4008290076
2013-04,Open refill,82833,82833,0,157196.69547399986
2013-05,Closed pod,275713,1088508,8007,1126074.1000000532
2013-05,Disposable,397020,397020,0,436336.61421850853
2013-05,Open refill,73354,73354,0,140353.29466199817
2013-06,Closed pod,347688,1350029,10077,1405664.8000000499
2013-06,Disposable,482860,482860,8,532717.3904650125
2013-06,Open refill,88424,88424,0,168385.84145200142
2013-07,Closed pod,311738,1242287,6886,1296514.7000000358
2013-07,Disposable,346981,347097,25,389276.386492507
2013-07,Open refill,73739,73739,0,174389.85305000082
2013-08,Closed pod,407207,1653859,5460,1730644.4999999837
2013-08,Disposable,384126,384578,62,441903.71191750944
2013-08,Open refill,75103,75103,0,181804.0304470008
2013-09,Closed pod,311854,1261008,3761,1320325.950000025
2013-09,Disposable,286131,286543,52,329575.42411850515
2013-09,Open refill,57619,57619,0,110101.30655299814
2013-10,Closed pod,298357,1181192,5383,1233089.7500000158
2013-10,Disposable,264978,265369,53,307397.52688350494
2013-10,Open refill,52584,52584,0,96907.65941499885
2013-11,Closed pod,377537,1525142,5169,1573954.2999999872
2013-11,Disposable,301555,302011,51,349183.2536815068
2013-11,Open refill,79185,79185,0,141386.3019129988
2013-12,Closed pod,308897,1262354,4048,1308404.2000000111
2013-12,Disposable,240634,240977,33,275264.5954455031
2013-12,Open refill,63922,63922,0,111216.24207199887
2014-01,Closed pod,344158,1392165,4154,1451925.5499999989
2014-01,Disposable,260633,260928,38,300969.59220700286
2014-01,Open refill,68807,68807,0,117896.46596999897
2014-02,Closed pod,345699,1397276,3402,1453491.4999999837
2014-02,Disposable,245974,246234,53,283826.5949720012
2014-02,Open refill,62171,62171,0,106527.44934199927
2014-03,Closed pod,421970,1698364,6580,1772387.14999996
2014-03,Disposable,293440,294239,57,339712.1746700032
2014-03,Open refill,98628,98628,0,175073.83159199997
2014-04,Closed pod,304678,1217053,4090,1271592.4000000046
2014-04,Disposable,209396,210067,50,241153.92891450116
2014-04,Open refill,63130,63130,0,114631.64994099882
2014-05,Closed pod,351768,1402802,3861,1461367.4999999623
2014-05,Disposable,238587,239414,118,277014.5321530018
2014-05,Open refill,68722,68722,0,125108.64213999826
2014-06,Closed pod,298541,1147978,2525,1197172.8241790603
2014-06,Disposable,187276,187965,249,219773.63283000028
2014-06,Open refill,79744,79744,0,130996.05810799914
2014-07,Closed pod,294613,1064982,3084,1112895.1544930579
2014-07,Disposable,189701,190299,360,220853.74414100018
2014-07,Open refill,56199,56199,0,97559.55609999971
2014-08,Closed pod,359894,1298232,3571,1368129.4701142188
2014-08,Disposable,236940,237607,2858,308227.3220124992
2014-08,Open refill,61185,61185,0,154549.4418040014
2014-09,Closed pod,298611,1021458,1875,1086442.764443084
2014-09,Disposable,203163,203810,8142,326621.041811497
2014-09,Open refill,53255,53255,0,239700.40001999526
2014-10,Closed pod,329382,1106345,4922,1181073.7724031524
2014-10,Disposable,201946,202394,8523,327688.6660569967
2014-10,Open refill,96522,96522,0,327025.6106109857
2014-11,Closed pod,386799,1334820,4868,1452295.405238256
2014-11,Disposable,239371,240151,11015,425315.7215444971
2014-11,Open refill,133738,133738,0,451426.4255559718
2014-12,Closed pod,309801,1064708,2049,1171975.5142601377
2014-12,Disposable,205667,207873,10068,455834.5764939985
2014-12,Open refill,77101,77101,0,386488.86559097207
2015-01,Closed pod,409086,1327047,1983,1459729.8088704173
2015-01,Disposable,253605,254361,17056,501026.4585399903
2015-01,Open refill,90397,90397,0,593220.3346309988
2015-02,Closed pod,334927,1063984,1475,1161918.500678041
2015-02,Disposable,186171,186483,13391,378296.26649149024
2015-02,Open refill,65060,65060,0,460816.1049499875
2015-03,Closed pod,338299,1063752,1340,1181467.5255040217
2015-03,Disposable,179838,180118,11894,348424.7397924921
2015-03,Open refill,62075,62075,0,440631.8055444842
2015-04,Closed pod,333308,1054622,1556,1134488.9177760298
2015-04,Disposable,184980,185256,11942,356849.4681849913
2015-04,Open refill,69971,69971,0,456578.258956489
2015-05,Closed pod,414134,1298050,1555,1391094.874973226
2015-05,Disposable,222440,222867,14368,427506.9489829889
2015-05,Open refill,75306,75306,0,547883.0585804944
2015-06,Closed pod,327830,1025519,1386,1092590.676267019
2015-06,Disposable,174430,174713,10826,337613.0481559928
2015-06,Open refill,64032,64032,0,450824.26018598996
2015-07,Closed pod,322024,999458,1232,1070695.489849
2015-07,Disposable,175112,175376,11632,353279.8458599924
2015-07,Open refill,84115,84115,0,637296.7538560086
2015-08,Closed pod,410171,1257037,1511,1346790.4845751626
2015-08,Disposable,221231,221539,15189,466834.3435419847
2015-08,Open refill,106283,106283,0,803620.4915435372
2015-09,Closed pod,327762,977039,1134,1033774.5512089924
2015-09,Disposable,171776,172025,12579,357082.9625759945
2015-09,Open refill,63333,63333,0,514518.6718759952
2015-10,Closed pod,422950,1238416,1260,1313161.1862171008
2015-10,Disposable,220732,221027,14103,398648.140284999
2015-10,Open refill,76841,76841,0,675773.3358965279
2015-11,Closed pod,342834,996456,935,1038699.0365159804
2015-11,Disposable,186542,186795,10692,337713.7217464996
2015-11,Open refill,68665,68665,0,598676.5581160082
2015-12,Closed pod,352921,1017177,916,1071785.843248953
2015-12,Disposable,193159,193330,10479,333918.4147320002
2015-12,Open refill,66159,66159,0,588768.2656515092
2016-01,Closed pod,439490,1282794,982,1333960.6841396007
2016-01,Disposable,281965,282149,12010,440311.3632280008
2016-01,Open refill,83583,83583,0,736853.9188870311
2016-02,Closed pod,355667,1031048,816,1074879.8207845036
2016-02,Disposable,258838,258963,11237,392446.9590090001
2016-02,Open refill,80931,80931,0,709506.14474102
2016-03,Closed pod,357685,1042317,798,1087571.9988275098
2016-03,Disposable,239097,239258,10900,372609.23402100196
2016-03,Open refill,73039,73039,0,637617.1490205084
2016-04,Closed pod,446484,1286169,1007,1322705.4616105894
2016-04,Disposable,308560,308742,13374,472857.81477800955
2016-04,Open refill,93886,93886,0,808553.0511230177
2016-05,Closed pod,375957,1043777,725,1067414.7991419532
2016-05,Disposable,280232,280373,11162,415174.27070101403
2016-05,Open refill,81879,81879,0,707773.4172275112
2016-06,Closed pod,369617,1030911,702,1042779.9899704482
2016-06,Disposable,283203,283409,10201,409164.807459015
2016-06,Open refill,78443,78443,0,667643.5689930067
2016-07,Closed pod,475649,1323355,820,1331586.9883880608
2016-07,Disposable,356557,356765,11176,499998.5882320263
2016-07,Open refill,92892,92892,0,786048.1985155125
2016-08,Closed pod,394172,1089437,707,1093654.8932828999
2016-08,Disposable,291416,291605,8550,400358.549870028
2016-08,Open refill,74398,74398,0,631601.8411105026
2016-09,Closed pod,398784,1099317,645,1098217.3990569103
2016-09,Disposable,295536,295676,8384,397034.20490603155
2016-09,Open refill,77721,77721,0,646626.3744360044
2016-10,Closed pod,481948,1323210,855,1339817.0603295944
2016-10,Disposable,300019,300193,8833,416496.70984206145
2016-10,Open refill,95318,95318,0,784092.310165542
2016-11,Closed pod,385955,1052242,613,1081820.729981847
2016-11,Disposable,206308,206454,6643,289000.10324003577
2016-11,Open refill,71838,71838,0,628235.2415335311
2016-12,Closed pod,468743,1274965,686,1326599.4295490626
2016-12,Disposable,310173,310323,7588,397895.32320006745
2016-12,Open refill,82880,82880,0,775806.5879810529
2017-01,Closed pod,376960,1052289,2660,1090745.480664788
2017-01,Disposable,278271,278272.056,5598,340965.9832790187
2017-01,Open refill,69699,69699,0,617242.138909544
2017-02,Closed pod,393874,1099126,3270,1141347.9474637958
2017-02,Disposable,298795,298795.042,5563,358807.7672850215
2017-02,Open refill,74287,74287,0,611138.514711043
2017-03,Closed pod,417376,1161581,1782,1203831.5968013655
2017-03,Disposable,322144,322147.238,5854,387938.96135402436
2017-03,Open refill,81878,81878,0,649267.9132625426
2017-04,Closed pod,550129,1533110,3908,1594831.5814102031
2017-04,Disposable,421590,421596.14,6849,505002.2258230453
2017-04,Open refill,103340,103340,0,795346.3310275787
2017-05,Closed pod,454509,1250608,3834,1290285.7493894617
2017-05,Disposable,359012,359014.042,5312,427095.9595850299
2017-05,Open refill,86111,86111,0,679186.5505845465
2017-06,Closed pod,462741,1268946,3134,1304401.2712794452
2017-06,Disposable,386828,386831.042,6505,467674.36545403
2017-06,Open refill,93584,93584,0,731937.6746550498
2017-07,Closed pod,452786,1249501,5845,1288120.2188743558
2017-07,Disposable,388340,388344,5180,459884.970983033
2017-07,Open refill,91602,91602,0,674973.3893920465
2017-08,Closed pod,430312,1192142,3551,1233450.3939142933
2017-08,Disposable,382971,382971.01399999997,4997,455521.6956470335
2017-08,Open refill,92586,92586,0,664769.2652505434
2017-09,Closed pod,526390,1433632,3066,1468993.2028822391
2017-09,Disposable,449736,449739,6106,529184.5946150465
2017-09,Open refill,111960,111960,0,789833.0093865753
2017-10,Closed pod,431087,1127248,4013,1152630.3214778027
2017-10,Disposable,375321,375321,5159,425961.9645260357
2017-10,Open refill,97639,97639,0,647606.32296155
2017-11,Closed pod,458510,1172600,5781,1200896.872354396
2017-11,Disposable,397346,397348,5584,448763.708587045
2017-11,Open refill,104072,104072,0,661072.0797745461
2017-12,Closed pod,616156,1589816,8758,1611544.5996312047
