"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE","Closed pod",0.0831758171764453,5.30530889098459,4.18938514026296e-06,11.86875,0.545919577731831,-0.441251176398871,-0.54589208094918,-0.44122367961622,2013-01-01,2023-12-01
"BLU","Closed pod",0.380152255244767,3.92060514310817,0.00714740019380425,3.34227556604838,-0.219853292994031,-1.46240475311712,0.215719740062871,-1.46653830604828,2013-01-01,2023-12-01
"BLU","Disposable",0.197809995713043,22.2247481026182,0.00206988355500398,6.93095537775511,-3.02526507334133,-4.35027468629064,2.99360870328649,-4.38193105634548,2013-01-01,2023-12-01
"CIG2O","Closed pod",2.82061878957712e-05,6.84644259103932,0,0,-0.000193112046140465,-0.000193112046140465,0.000193112046140465,-0.000193112046140465,2013-01-01,2023-12-01
"E SWISHER","Closed pod",4.02945541368159e-06,4.35563801302201,0,0,-1.75508491716089e-05,-1.75508491716089e-05,1.75508491716089e-05,-1.75508491716089e-05,2013-01-01,2023-12-01
"FINITI","Closed pod",0.0940703229360059,6.85169052714245,0,0,-0.644540740545863,-0.644540740545863,0.644540740545863,-0.644540740545863,2013-01-01,2023-12-01
"FINITI","Open refill",0.108019122320343,5.64857156669652,0,0,-0.6101537429982,-0.6101537429982,0.6101537429982,-0.6101537429982,2013-01-01,2023-12-01
"FLAVORED MIST","Disposable",9.06250583039878e-05,0.697017432309691,0,0,-6.31672454419617e-05,-6.31672454419617e-05,6.31672454419617e-05,-6.31672454419617e-05,2013-01-01,2023-12-01
"GREEN SMOKE","Closed pod",0.000970427178794984,5.45366051558051,0,0,-0.00529238038824039,-0.00529238038824039,0.00529238038824039,-0.00529238038824039,2013-01-01,2023-12-01
"GREEN SMOKE","Open refill",3.62650987231343e-05,13.066914039066,0,0,-0.000473872927633439,-0.000473872927633439,0.000473872927633439,-0.000473872927633439,2013-01-01,2023-12-01
"LOGIC","Closed pod",0.000992857813931147,10.8680736135732,0.0125718080409579,3.43730171127353,-0.00737769994673826,0.125840883435227,-0.0860405380051173,0.032422645483372,2013-01-01,2023-12-01
"MISTIC","Closed pod",0.0391736939559102,4.41142806351739,0,0,-0.172811932868743,-0.172811932868743,0.172811932868743,-0.172811932868743,2013-01-01,2023-12-01
"MISTIC","Disposable",0.00574701078376337,4.13726439835515,0,0,-0.0237769031126273,-0.0237769031126273,0.0237769031126273,-0.0237769031126273,2013-01-01,2023-12-01
"NICOTEK","Closed pod",0.0257200139055296,5.4986545588041,0,0,-0.141425471714145,-0.141425471714145,0.141425471714145,-0.141425471714145,2013-01-01,2023-12-01
"NICOTEK","Disposable",4.69907709724381e-05,1.04552614846454,0,0,-4.91300797881924e-05,-4.91300797881924e-05,4.91300797881924e-05,-4.91300797881924e-05,2013-01-01,2023-12-01
"NICOTEK","Open refill",0.00388909605010502,11.0499477894304,0,0,-0.0429743083017404,-0.0429743083017404,0.0429743083017404,-0.0429743083017404,2013-01-01,2023-12-01
"NJOY","Closed pod",0.028828738757185,3.70013124936673,0.110790528737016,2.18939550403762,-0.0435526061332342,0.303269380358408,-0.123822605873689,0.135894168351484,2013-01-01,2023-12-01
"NJOY","Disposable",0.0305091559798707,8.29410664224288,0.0195204858824541,5.48133401204969,-0.0858153189104755,-0.0911412016443988,0.0309086304922358,-0.146047890062638,2013-01-01,2023-12-01
"QUIK E-CIG","Disposable",0.000248483083843698,3.40878785036653,0,0,-0.000847026117228007,-0.000847026117228007,0.000847026117228007,-0.000847026117228007,2013-01-01,2023-12-01
"UNKNOWN","Closed pod",0.000486892529153193,40.6016365401993,0,0,-0.0197686335028163,-0.0197686335028163,0.0197686335028163,-0.0197686335028163,2013-01-01,2023-12-01
"AIRIS","Disposable",0,0,5.2367314253287e-06,1.249375,0,0,6.54264132452004e-06,6.54264132452004e-06,2013-01-01,2023-12-01
"AVATA","Disposable",0,0,0.000679465902436399,2.0825,0,0,0.0014149877418238,0.0014149877418238,2013-01-01,2023-12-01
"BIDI","Disposable",0,0,0.00303484296292136,7.56760607733556,0,0,0.0229664960499628,0.0229664960499628,2013-01-01,2023-12-01
"BO VAPING","Closed pod",0,0,6.41499599602766e-07,1.42857142857143,0,0,9.16427999432522e-07,9.16427999432522e-07,2013-01-01,2023-12-01
"BREEZE","Disposable",0,0,0.0807060172797389,3.36427597204398,0,0,0.271517314733592,0.271517314733592,2013-01-01,2023-12-01
"EPIC","Disposable",0,0,1.57101942759861e-06,0.166666666666667,0,0,2.61836571266435e-07,2.61836571266435e-07,2013-01-01,2023-12-01
"ESCO BARS","Disposable",0,0,0.00136594555564817,2.99864758704197,0,0,0.00409598934447509,0.00409598934447509,2013-01-01,2023-12-01
"FUME","Disposable",0,0,4.16320148313632e-05,1.57259433962264,0,0,6.54702708708876e-05,6.54702708708876e-05,2013-01-01,2023-12-01
"GLAS","Closed pod",0,0,0.000586657929751016,6.52845395103877,0,0,0.00382996927939124,0.00382996927939124,2013-01-01,2023-12-01
"HYDE","Disposable",0,0,4.18938514026296e-07,15.61875,0,0,6.54329591594821e-06,6.54329591594821e-06,2013-01-01,2023-12-01
"HYPPE","Disposable",0,0,0.0345376183920419,3.21422623436058,0,0,0.111011719108036,0.111011719108036,2013-01-01,2023-12-01
"IGNITE","Disposable",0,0,0.000747065559223121,3.93082881351473,0,0,0.00293658682577874,0.00293658682577874,2013-01-01,2023-12-01
"IMIRACLE","Disposable",0,0,0.00016521887646912,1.88469492868462,0,0,0.000311387178604323,0.000311387178604323,2013-01-01,2023-12-01
"JAK","Disposable",0,0,8.18239285207609e-08,2.992,0,0,2.44817194134117e-07,2.44817194134117e-07,2013-01-01,2023-12-01
"JUICY","Disposable",0,0,0.000338685604933134,1.46076923076923,0,0,0.000494741510590784,0.000494741510590784,2013-01-01,2023-12-01
"JUICY BAR","Disposable",0,0,0.00769105652609463,1.46076923076924,0,0,0.011234858725426,0.011234858725426,2013-01-01,2023-12-01
"JUUL","Closed pod",0,0,0.165987295754368,7.64540174803331,0,0,1.26903956111176,1.26903956111176,2013-01-01,2023-12-01
"JUUL","Disposable",0,0,0.000223608431861536,3.5678571428571,0,0,0.000797802940820256,0.000797802940820256,2013-01-01,2023-12-01
"LEAP","Closed pod",0,0,0.00156088962524774,3.92600413080174,0,0,0.0061280591164482,0.0061280591164482,2013-01-01,2023-12-01
"LOGIC","Disposable",0,0,0.000220414025692083,10.2330304110242,0,0,0.00225550342792334,0.00225550342792334,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS","Disposable",0,0,0.0120203605841281,3.12939844198795,0,0,0.0376164976841038,0.0376164976841038,2013-01-01,2023-12-01
"MNGO","Disposable",0,0,0.00226376044419864,8.39628543668834,0,0,0.0190071788497762,0.0190071788497762,2013-01-01,2023-12-01
"PACHA","Disposable",0,0,0.000146086950167102,4.37527936041969,0,0,0.00063917121789278,0.00063917121789278,2013-01-01,2023-12-01
"PALAX","Disposable",0,0,0.00279366529712723,1.33277777777778,0,0,0.00372333502656013,0.00372333502656013,2013-01-01,2023-12-01
"POP","Disposable",0,0,7.85509713799305e-08,9.15833333333333,0,0,7.1939597955453e-07,7.1939597955453e-07,2013-01-01,2023-12-01
"PUUR VAPOR","Disposable",0,0,1.2044482278256e-05,1.46652173913044,0,0,1.76634950976337e-05,1.76634950976337e-05,2013-01-01,2023-12-01
"SAVAGE","Disposable",0,0,0.000768883091523886,1.99307253533119,0,0,0.0015324397725968,0.0015324397725968,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY","Disposable",0,0,0.012431411271445,1.57547946143182,0,0,0.0195854331347736,0.0195854331347736,2013-01-01,2023-12-01
"STAGBAR","Disposable",0,0,0.00409996795117547,1.92222722483002,0,0,0.00788107001668003,0.00788107001668003,2013-01-01,2023-12-01
"STICK","Disposable",0,0,0.000644798740400698,7.14591691707982,0,0,0.00460767822714111,0.00460767822714111,2013-01-01,2023-12-01
"SWITCH MODS","Disposable",0,0,1.22584750238744e-05,9.28498061271227,0,0,0.000113819702938091,0.000113819702938091,2013-01-01,2023-12-01
"UNKNOWN","Disposable",0,0,0.00190443557153501,2.47820681595546,0,0,0.00471958521392609,0.00471958521392609,2013-01-01,2023-12-01
"V2 CIGS","Disposable",0,0,6.54591428166087e-08,5.99,0,0,3.92100265471486e-07,3.92100265471486e-07,2013-01-01,2023-12-01
"VUSE","Closed pod",0,0,0.476013610555481,3.90485741219477,0,0,1.85876527548316,1.85876527548316,2013-01-01,2023-12-01
"VUSE","Disposable",0,0,0.0349933645820457,6.0235185611037,0,0,0.210783181075421,0.210783181075421,2013-01-01,2023-12-01
"ZEO","Disposable",0,0,0.0018965477448257,5.09479066717278,0,0,0.00966251375018557,0.00966251375018557,2013-01-01,2023-12-01
