"year","type","mL_share"
"2013","Closed pod",0.7018
"2013","Disposable",0.2157
"2013","Open refill",0.0825
"2014","Closed pod",0.722
"2014","Disposable",0.1684
"2014","Open refill",0.1096
"2015","Closed pod",0.5571
"2015","Disposable",0.1791
"2015","Open refill",0.2638
"2016","Closed pod",0.5141
"2016","Disposable",0.1775
"2016","Open refill",0.3084
"2017","Closed pod",0.5322
"2017","Disposable",0.1827
"2017","Open refill",0.2852
"2018","Closed pod",0.8399
"2018","Disposable",0.0839
"2018","Open refill",0.0763
"2019","Closed pod",0.9106
"2019","Disposable",0.0444
"2019","Open refill",0.045
"2020","Closed pod",0.9714
"2020","Disposable",0.0279
"2020","Open refill",7e-04
"2021","Closed pod",0.8836
"2021","Disposable",0.1164
"2021","Open refill",0
"2022","Closed pod",0.8552
"2022","Disposable",0.1448
"2022","Open refill",0
"2023","Closed pod",0.8274
"2023","Disposable",0.1726
"2023","Open refill",0
