brand,year,mL_share,nic_mg_per_mL,avg_mL_per_ecig,N_hom
21ST CENTURY SMOKE,2013,0.092,10.787,2.735,29.502
21ST CENTURY SMOKE,2014,0.086,10.532,2.96,31.181
21ST CENTURY SMOKE,2015,0.054,10.826,2.919,31.606
21ST CENTURY SMOKE,2016,0.057,9.436,4.569,43.117
21ST CENTURY SMOKE,2017,0.052,9.193,4.786,43.999
21ST CENTURY SMOKE,2018,0.01,7.306,7.548,55.143
21ST CENTURY SMOKE,2019,0.001,2.636,12.904,34.012
21ST CENTURY SMOKE,2020,NA,NA,NA,NA
21ST CENTURY SMOKE,2021,NA,NA,NA,NA
21ST CENTURY SMOKE,2022,NA,NA,NA,NA
21ST CENTURY SMOKE,2023,NA,NA,NA,NA
BLU,2013,0.56,13.589,3.913,53.177
BLU,2014,0.35,13.434,3.923,52.696
BLU,2015,0.206,15.369,2.874,44.173
BLU,2016,0.202,16.282,2.395,39.002
BLU,2017,0.185,16.314,2.308,37.656
BLU,2018,0.078,15.651,2.276,35.623
BLU,2019,0.057,15.456,2.558,39.54
BLU,2020,0.031,18.33,2.507,45.956
BLU,2021,0.023,17.011,2.672,45.457
BLU,2022,0.018,17.154,2.606,44.703
BLU,2023,0.01,19.002,2.739,52.053
BREEZE,2013,NA,NA,NA,NA
BREEZE,2014,NA,NA,NA,NA
BREEZE,2015,NA,NA,NA,NA
BREEZE,2016,NA,NA,NA,NA
BREEZE,2017,NA,NA,NA,NA
BREEZE,2018,NA,NA,NA,NA
BREEZE,2019,NA,NA,NA,NA
BREEZE,2020,NA,NA,NA,NA
BREEZE,2021,NA,NA,NA,NA
BREEZE,2022,NA,NA,NA,NA
BREEZE,2023,0.033,34,6,204
FINITI,2013,0.131,9.877,3.166,31.274
FINITI,2014,0.17,11.696,3.843,44.951
FINITI,2015,0.108,12.782,4.54,58.029
FINITI,2016,0.077,12.442,4.81,59.843
FINITI,2017,0.033,12.075,4.799,57.949
FINITI,2018,NA,NA,NA,NA
FINITI,2019,NA,NA,NA,NA
FINITI,2020,NA,NA,NA,NA
FINITI,2021,NA,NA,NA,NA
FINITI,2022,NA,NA,NA,NA
FINITI,2023,NA,NA,NA,NA
HYPPE,2013,NA,NA,NA,NA
HYPPE,2014,NA,NA,NA,NA
HYPPE,2015,NA,NA,NA,NA
HYPPE,2016,NA,NA,NA,NA
HYPPE,2017,NA,NA,NA,NA
HYPPE,2018,NA,NA,NA,NA
HYPPE,2019,NA,NA,NA,NA
HYPPE,2020,NA,NA,NA,NA
HYPPE,2021,0.011,34,6,203.987
HYPPE,2022,0.037,34,6,204
HYPPE,2023,0.028,33.99,6.003,204.044
JUUL,2013,NA,NA,NA,NA
JUUL,2014,NA,NA,NA,NA
JUUL,2015,NA,NA,NA,NA
JUUL,2016,NA,NA,NA,NA
JUUL,2017,0.055,34,2.8,95.2
JUUL,2018,0.479,33.997,2.793,94.965
JUUL,2019,0.451,32.2,2.655,85.484
JUUL,2020,0.348,31.802,2.647,84.174
JUUL,2021,0.279,31.966,2.673,85.43
JUUL,2022,0.244,31.592,2.688,84.933
JUUL,2023,0.188,31.458,2.687,84.527
LOGIC,2013,0.033,4.593,7.142,32.801
LOGIC,2014,0.084,10.025,7.11,71.275
LOGIC,2015,0.1,11.76,6.832,80.351
LOGIC,2016,0.107,13.311,5.267,70.113
LOGIC,2017,0.168,13.358,4.375,58.446
LOGIC,2018,0.071,12.729,3.182,40.501
LOGIC,2019,0.038,12.794,2.73,34.928
LOGIC,2020,0.018,12.886,2.724,35.102
LOGIC,2021,0.014,15.957,2.678,42.739
