"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"VUSE",0,0,0.511006975137526,5.96189439480131,0,0,3.04656962077679,3.04656962077679,2013-01-01,2023-12-01
"BLU",0.57796225095781,3.63098328387206,0.00921728374880824,2.74143299580176,-0.514126486833282,-2.06510346872225,0.505927249419304,-2.07330270613623,2013-01-01,2023-12-01
"FINITI",0.202089445256349,2.99721082885468,0,0,-0.605704673719563,-0.605704673719563,0.605704673719563,-0.605704673719563,2013-01-01,2023-12-01
"BREEZE",0,0,0.0807060172797389,6,0,0,0.484236103678433,0.484236103678433,2013-01-01,2023-12-01
"JUUL",0,0,0.166210904186229,2.69218286145834,0,0,0.447470147637661,0.447470147637661,2013-01-01,2023-12-01
"NJOY",0.0593378947370557,3.10191656046775,0.130311014619471,3.41458994117011,0.018553380151196,0.220152695911326,0.0221914053326285,0.26089748139515,2013-01-01,2023-12-01
"21ST CENTURY SMOKE",0.0831758171764453,2.5845675917242,4.18938514026296e-06,1.6,-0.0818922140071047,-0.214962693740354,0.0818880892742663,-0.214966818473193,2013-01-01,2023-12-01
"HYPPE",0,0,0.0345376183920419,6.00031651507427,0,0,0.207236642029102,0.207236642029102,2013-01-01,2023-12-01
"MISTIC",0.0449207047396735,4.4794957279652,0,0,-0.201222104978554,-0.201222104978554,0.201222104978554,-0.201222104978554,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012431411271445,14.7963677722723,0,0,0.183939733100671,0.183939733100671,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00769105652609463,13,0,0,0.0999837348392301,0.0999837348392301,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0120203605841281,6.5,0,0,0.0781323437968326,0.0781323437968326,2013-01-01,2023-12-01
"NICOTEK",0.0296561007266071,2.59418224210407,0,0,-0.0769333298750136,-0.0769333298750136,0.0769333298750136,-0.0769333298750136,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00409996795117547,13,0,0,0.0532995833652811,0.0532995833652811,2013-01-01,2023-12-01
"PALAX",0,0,0.00279366529712723,18,0,0,0.0502859753482901,0.0502859753482901,2013-01-01,2023-12-01
"LOGIC",0.000992857813931147,1.2,0.01279222206665,2.65311432124167,0.00144273590838004,0.0141592371032627,0.0171458251771728,0.0327477981888155,2013-01-01,2023-12-01
"UNKNOWN",0.000486892529153193,1,0.00190443557153501,9.1088817089728,0.00394815392388583,0.00141754304238181,0.0114946888480515,0.0168603858143192,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000768883091523886,12.5555933934957,0,0,0.00965378346430782,0.00965378346430782,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.00136594555564817,5.99975822094415,0,0,0.00819534307686222,0.00819534307686222,2013-01-01,2023-12-01
"AVATA",0,0,0.000679465902436399,12,0,0,0.00815359082923678,0.00815359082923678,2013-01-01,2023-12-01
"ZEO",0,0,0.0018965477448257,3.13441479998612,0,0,0.00594456732026198,0.00594456732026198,2013-01-01,2023-12-01
"BIDI",0,0,0.00303484296292136,1.87213431573822,0,0,0.00568163365376173,0.00568163365376173,2013-01-01,2023-12-01
"LEAP",0,0,0.00156088962524774,2.86738186850631,0,0,0.00447566661017497,0.00447566661017497,2013-01-01,2023-12-01
"JUICY",0,0,0.000338685604933134,13,0,0,0.00440291286413074,0.00440291286413074,2013-01-01,2023-12-01
"IGNITE",0,0,0.000747065559223121,5.00680031894286,0,0,0.00374040808018955,0.00374040808018955,2013-01-01,2023-12-01
"MNGO",0,0,0.00226376044419864,1.39999999999937,0,0,0.00316926462187667,0.00316926462187667,2013-01-01,2023-12-01
"GREEN SMOKE",0.00100669227751812,2.80653769179453,0,0,-0.00282531982089308,-0.00282531982089308,0.00282531982089308,-0.00282531982089308,2013-01-01,2023-12-01
"IMIRACLE",0,0,0.00016521887646912,12.3730190174326,0,0,0.00204425630059128,0.00204425630059128,2013-01-01,2023-12-01
"FLAVORED MIST",9.06250583039878e-05,14.9937645,0,0,-0.00135881078200876,-0.00135881078200876,0.00135881078200876,-0.00135881078200876,2013-01-01,2023-12-01
"QUIK E-CIG",0.000248483083843698,5,0,0,-0.00124241541921849,-0.00124241541921849,0.00124241541921849,-0.00124241541921849,2013-01-01,2023-12-01
