"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
1,"081536802035","NJOY","ELCT CGRTT","ELCT CGRTT",1,1,1,"45","prefix11","3-single-sibling",640262,0.045
2,"088796901130","BLU","BLU","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT",2,1.5,3,"24.8","prefix11","5-ok",460117,0.077
3,"088796900560","BLU","BLECGS+ ECGT CT","BLECGS+ ECGT CT",1,3,3,"24","prefix10","1-CHECK",372082,0.103
4,"088796900752","BLU",,"BLU ECIGS PLUS+ SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK GLACIER MINT BOX 3 COUNT",3,0.33,1,"24","prefix10","3-single-sibling",309243,0.125
5,"088796900918","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"24","prefix11","3-single-sibling",307172,0.146
6,"084920501667","VUSE","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,0.38,0.75,"80.7","prefix11","1-CHECK",292191,0.167
7,"088796900912","BLU",,"MY BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO VIVID VANILLA BOX 2 COUNT",2,1.5,3,"24","prefix11","3-single-sibling",281276,0.186
8,"084920501805","VUSE","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.8,1.8,"50","prefix11","3-single-sibling",252493,0.204
9,"081505802252","LOGIC","LP ECGLC BERRY MINT","LP ECGLC BERRY MINT",2,1.5,3,"18","prefix11","3-single-sibling",240568,0.221
10,"081505802237","LOGIC","LOGIC POWER ECLE CHERRY","LOGIC POWER ECLE CHERRY",2,1.2,2.4,"27","prefix11","1-CHECK",227267,0.237
11,"088796901132","BLU","BLU","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT",2,1.5,3,"24.8","prefix11","5-ok",205167,0.251
12,"088796900511","BLU","BL-EGS E-CG TANK CAROLINA","BL-EGS E-CG TANK CAROLINA",3,0.83,2.5,"24","prefix11","4-minor",202476,0.265
13,"088796900998","BLU","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,1.5,3,"40","prefix11","5-ok",198832,0.279
14,"081536802030","NJOY","NJOY E-CG TANK APPLE CRISP","NJOY E-CG TANK APPLE CRISP",1,1,1,"45","prefix11","3-single-sibling",193673,0.293
15,"081505802245","LOGIC","LP ECGLC CHERRY","LP ECGLC CHERRY",2,1.5,3,"13.3","prefix11","5-ok",181527,0.305
16,"085438400415","LOGIC","LOGIC E-CG TOB","LOGIC E-CG TOB",1,7.25,7.25,"18","prefix10","1-CHECK",181440,0.318
