"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
1,"009700000500","MARLBORO",,,20,,,,"none","1-no-value",146904,0.017
2,"009700000501","MARLBORO",,,20,,,,"none","1-no-value",100252,0.029
3,"081342001259","KRAVE","KRAVE E-CG OGN","KRAVE E-CG OGN",1,,,,"none","1-no-value",68900,0.038
4,"081342001260","KRAVE","KRAVE E-CG MN","KRAVE E-CG MN",1,,,,"none","1-no-value",62069,0.045
5,"085000134243",,,,,,,,"none","1-no-value",35392,0.049
6,"085607300311","JAK","JAK E-CG REGULAR","JAK E-CG REGULAR",1,,,,"none","1-no-value",35043,0.053
7,"009700000502",,,,,,,,"none","1-no-value",29155,0.057
8,"081085902000","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB",1,,,,"none","1-no-value",28856,0.06
9,"085000134237",,,,,,,,"none","1-no-value",24954,0.063
10,"085607300312","JAK","JAK E-CG MN","JAK E-CG MN",1,,,,"none","1-no-value",24817,0.066
11,"085000134234",,,,,,,,"none","1-no-value",23984,0.069
12,"085570400539","HAUS",,,,,,,"none","1-no-value",23607,0.072
13,"075166726863",,,,,,,,"none","1-no-value",22057,0.074
14,"081085902006","ZOOM","ZOOM E-CG MN","ZOOM E-CG MN",1,,,,"none","1-no-value",21967,0.077
15,"075166726879",,,,,,,,"none","1-no-value",20230,0.079
16,"075166726883","VOODOO","VOODOO E-HOOKAH EHOK WCWML","VOODOO E-HOOKAH EHOK WCWML",1,,,,"none","1-no-value",19052,0.082
17,"081085902003","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB",1,,,,"none","1-no-value",18258,0.084
18,"085604000300","VICTORY","VICTORY E-CG TOB","VICTORY E-CG TOB",1,,,,"none","1-no-value",17357,0.086
19,"085013000743","COSMIC FOG","CSM FG ECGL SONRISE","CSM FG ECGL SONRISE",1,,,,"none","1-no-value",17121,0.088
20,"081085902009","ZOOM","ZOOM E-CG MN","ZOOM E-CG MN",1,,,,"none","1-no-value",15187,0.09
21,"085604000306","VICTORY","VICTORY E-CGC RFL","VICTORY E-CGC RFL",5,,,,"none","1-no-value",14485,0.091
22,"081713502417",,,,,,,,"none","1-no-value",13212,0.093
23,"085452700318","VIENTI","VIENTI E-CGC","VIENTI E-CGC",5,,,,"none","1-no-value",13113,0.095
24,"085452700319","VIENTI","VIENTI E-CGC MN","VIENTI E-CGC MN",5,,,,"none","1-no-value",12267,0.096
25,"079997584256","VX BRANDZ","VX BRANDZ E-CG CLMR/BT&ECC","VX BRANDZ E-CG CLMR/BT&ECC",1,,,,"none","1-no-value",10803,0.097
26,"085604000302","VICTORY","VICTORY E-CG MN","VICTORY E-CG MN",1,,,,"none","1-no-value",10097,0.099
27,"085570400540","HAUS",,,,,,,"none","1-no-value",9674,0.1
28,"085607300315","JAK","JAK E-CG VANILLA","JAK E-CG VANILLA",1,,,,"none","1-no-value",7926,0.101
29,"071275599740","XFIRE","XFIRE E-CG LIQUID POD MANGO","XFIRE E-CG LIQUID POD MANGO",4,,,,"none","1-no-value",7657,0.102
30,"085604000308","VICTORY","VICTORY E-CGC MN RFL","VICTORY E-CGC MN RFL",5,,,,"none","1-no-value",7453,0.102
31,"081085902012","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB",3,,,,"none","1-no-value",6511,0.103
32,"088886111000","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,,,,"none","1-no-value",6496,0.104
33,"085607300316","JAK","JAK E-CG GRAPE","JAK E-CG GRAPE",1,,,,"none","1-no-value",6102,0.105
34,"085604000312","VICTORY","VICTORY E-CGC RFL","VICTORY E-CGC RFL",5,,,,"none","1-no-value",5857,0.105
35,"071275599739","XFIRE","XFIRE E-CG LIQUID POD MINT","XFIRE E-CG LIQUID POD MINT",4,,,,"none","1-no-value",5806,0.106
36,"088886111004","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BLUEBERRY BOX 1 COUNT",1,,,,"none","1-no-value",5555,0.107
37,"081085902018","ZOOM","ZOOM E-CG MN BOLD","ZOOM E-CG MN BOLD",3,,,,"none","1-no-value",5420,0.107
38,"081009691192","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY PEACH JUICE HEAD BOX 1 COUNT",1,,,,"none","1-no-value",5277,0.108
39,"085607300384","JAK","JAK E-CG PASSION","JAK E-CG PASSION",1,,,,"none","1-no-value",5108,0.109
40,"088886111002","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,,,,"none","1-no-value",5083,0.109
41,"088886111003","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,,,,"none","1-no-value",4979,0.11
42,"068808300402","WHISL","WHISL","WHISL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TO FOCUS ON THE TASK AT HAND BOX 2 COUNT",2,,,,"none","1-no-value",4978,0.11
43,"085607300314","JAK","JAK E-CG CHERRY","JAK E-CG CHERRY",1,,,,"none","1-no-value",4714,0.111
44,"081009691190","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON STRAWBERRY MESH COIL BOX 1 COUNT",1,,,,"none","1-no-value",4511,0.111
45,"081009691194","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO FRESH MINT JUICE HEAD BOX 1 COUNT",1,,,,"none","1-no-value",4451,0.112
