"upc","brand_filled","line","product_descr","num_cartridges_f","total_units"
"009700000500","MARLBORO",NA,NA,"20",146904
"009700000501","MARLBORO",NA,NA,"20",100252
"081342001259","KRAVE","KRAVE E-CG OGN","KRAVE E-CG OGN","1",68900
"081342001260","KRAVE","KRAVE E-CG MN","KRAVE E-CG MN","1",62069
"085607300311","JAK","JAK E-CG REGULAR","JAK E-CG REGULAR","1",35043
"081085902000","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB","1",28856
"085607300312","JAK","JAK E-CG MN","JAK E-CG MN","1",24817
"085570400539","HAUS",NA,NA,NA,23607
"081085902006","ZOOM","ZOOM E-CG MN","ZOOM E-CG MN","1",21967
"075166726883","VOODOO","VOODOO E-HOOKAH EHOK WCWML","VOODOO E-HOOKAH EHOK WCWML","1",19052
"081085902003","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB","1",18258
"085604000300","VICTORY","VICTORY E-CG TOB","VICTORY E-CG TOB","1",17357
"085013000743","COSMIC FOG","CSM FG ECGL SONRISE","CSM FG ECGL SONRISE","1",17121
"081085902009","ZOOM","ZOOM E-CG MN","ZOOM E-CG MN","1",15187
"085604000306","VICTORY","VICTORY E-CGC RFL","VICTORY E-CGC RFL","5",14485
"085452700318","VIENTI","VIENTI E-CGC","VIENTI E-CGC","5",13113
"085452700319","VIENTI","VIENTI E-CGC MN","VIENTI E-CGC MN","5",12267
"079997584256","VX BRANDZ","VX BRANDZ E-CG CLMR/BT&ECC","VX BRANDZ E-CG CLMR/BT&ECC","1",10803
"085604000302","VICTORY","VICTORY E-CG MN","VICTORY E-CG MN","1",10097
"085570400540","HAUS",NA,NA,NA,9674
"085607300315","JAK","JAK E-CG VANILLA","JAK E-CG VANILLA","1",7926
"071275599740","XFIRE","XFIRE E-CG LIQUID POD MANGO","XFIRE E-CG LIQUID POD MANGO","4",7657
"085604000308","VICTORY","VICTORY E-CGC MN RFL","VICTORY E-CGC MN RFL","5",7453
"081085902012","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB","3",6511
