"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"BLU",0.60821605076154,10.1944437208286,0.00230552997228005,7.02649823575341,-1.92679529196029,-6.17692070404407,1.9194914986939,-6.18422449731046,2013-01-01,2023-12-01
"VUSE",0,0,0.519452918247923,4.04947148532547,0,0,2.10350978041407,2.10350978041407,2013-01-01,2023-12-01
"JUUL",0,0,0.168757487415077,7.64540202943564,0,0,1.29021883676569,1.29021883676569,2013-01-01,2023-12-01
"FINITI",0.180456339685321,4.47191667652486,0,0,-0.806985714823422,-0.806985714823422,0.806985714823422,-0.806985714823422,2013-01-01,2023-12-01
"21ST CENTURY SMOKE",0.0875888696284265,5.3007579646922,4.25930488960845e-06,11.86875,0.575282998101119,-0.464264820756951,-0.575255023020528,-0.46423684567636,2013-01-01,2023-12-01
"BREEZE",0,0,0.0820529797360285,3.36427597204398,0,0,0.276048868160532,0.276048868160532,2013-01-01,2023-12-01
"NICOTEK",0.0312043407645091,6.22780557376408,0,0,-0.194334567338844,-0.194334567338844,0.194334567338844,-0.194334567338844,2013-01-01,2023-12-01
"MISTIC",0.0412842296521713,4.41142806351731,0,0,-0.182122409268282,-0.182122409268282,0.182122409268282,-0.182122409268282,2013-01-01,2023-12-01
"HYPPE",0,0,0.0351123119255151,3.21430885432873,0,0,0.112861815118135,0.112861815118135,2013-01-01,2023-12-01
"LOGIC",0,0,0.0129415119075696,3.54951346870436,0,0,0.0459360708213161,0.0459360708213161,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0122209772786896,3.12939844198795,0,0,0.0382443072555013,0.0382443072555013,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012638888295163,1.57547946143182,0,0,0.0199123089243603,0.0199123089243603,2013-01-01,2023-12-01
"MNGO",0,0,0.00230154201775592,8.39628543668834,0,0,0.0193244037256103,0.0193244037256103,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00728301205139704,1.46076923076924,0,0,0.0106387999120024,0.0106387999120024,2013-01-01,2023-12-01
"NJOY",0.0512204436736493,6.76858857345367,0.132485738487803,2.68252726939203,-0.209289872871767,0.550051345897425,-0.332054976503274,0.00870649652238326,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00408966476205201,1.9222256757417,0,0,0.00786125861079244,0.00786125861079244,2013-01-01,2023-12-01
"LEAP",0,0,0.00139039683990156,3.60005073712425,0,0,0.00500549916838283,0.00500549916838283,2013-01-01,2023-12-01
"STICK",0,0,0.000655560263821835,7.14591691707982,0,0,0.00468457917940976,0.00468457917940976,2013-01-01,2023-12-01
"GLAS",0,0,0.000476017252397089,7.17350613762822,0,0,0.00341471268168744,0.00341471268168744,2013-01-01,2023-12-01
"PALAX",0,0,0.00215028345286326,1.33277777777778,0,0,0.00286585000189944,0.00286585000189944,2013-01-01,2023-12-01
"IGNITE",0,0,0.000717839287504613,3.90860729450591,0,0,0.00280575187542346,0.00280575187542346,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.000930335143275864,2.99865936025998,0,0,0.00278975818556298,0.00278975818556298,2013-01-01,2023-12-01
"ZEO",0,0,0.000633797877901517,3.82572295608716,0,0,0.00242473509100716,0.00242473509100716,2013-01-01,2023-12-01
"AVATA",0,0,0.000600561989434791,2.0825,0,0,0.00125067034299795,0.00125067034299795,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000434315995462261,1.92154152620287,0,0,0.000834556220774872,0.000834556220774872,2013-01-01,2023-12-01
"PACHA",0,0,0.000148525103403519,4.37527936041969,0,0,0.000649838819425617,0.000649838819425617,2013-01-01,2023-12-01
"IMIRACLE",0,0,0.000167976336583933,1.88469492868462,0,0,0.00031658414969876,0.00031658414969876,2013-01-01,2023-12-01
"CIG2O",2.97258343829387e-05,6.84644259103932,0,0,-0.000203516218573532,-0.000203516218573532,0.000203516218573532,-0.000203516218573532,2013-01-01,2023-12-01
"SWITCH MODS",0,0,1.18574458725681e-05,9.25474710811813,0,0,0.000109737662898817,0.000109737662898817,2013-01-01,2023-12-01
"FUME",0,0,3.51392653392697e-05,1.57056818181818,0,0,5.51886120743235e-05,5.51886120743235e-05,2013-01-01,2023-12-01
