year,upc12,brand,descr,num_cart,mL_per_cart,cap_total_mL,label_mg_per_mL,deliv_new,deliv_old,mL,mL_share
2013,085965400208,BLU,BLU CIGS E-CGCM CT,5,1,5,24,16.3,10.9,2768645,12.56
2013,085965400201,BLU,BLU CIGS E-CG CT,1,1,1,24,16.3,16.3,2145431,9.73
2013,085965400206,BLU,BLU CIGS E-CGCM C-C RFL,5,1,5,16,10.9,10.9,2086905,9.47
2013,085965400209,BLU,BLU CIGS E-CGCM M-M RFL,5,1,5,16,10.9,10.9,1512675,6.86
2013,085410000328,BLU,BLU CIGS E-CGCM VV RFL,5,1,5,16,10.9,10.9,1287540,5.84
2013,036586038153,21ST CENTURY SMOKE,21SCS E-CGAC REGULAR,3,0.9,2.7,16,10.9,10.9,1063851.2999999998,4.83
2013,085965400200,BLU,BLU CIGS E-CG M-M,1,1,1,24,16.3,16.3,968523,4.39
2013,081068701471,NJOY,NJOY E-CG KING,3,1,3,30,20.4,20.4,745251,3.38
2013,036586038150,21ST CENTURY SMOKE,21SCS E-CGAC MN,3,0.9,2.7,16,10.9,10.9,681982.1999999998,3.09
2013,085405500433,BLU,BLU CIGS E-CGC CT,5,1,5,16,10.9,10.9,497700,2.26
2013,085405500457,BLU,BLU CIGS E-CG AST 4'S,5,1,5,16,10.9,10.9,485290,2.2
2013,081068701470,NJOY,NJOY E-CG KING,1,1,1,45,30.6,30.6,414231,1.88
2013,085962600271,FINITI,FINITI E-CGCM RFL,5,1,5,16,10.9,10.9,376610,1.71
2013,085438400415,LOGIC,LG-PLT E-CG TOB,1,NA,7.25,NA,2.3,2.3,343787.75,1.56
2013,081649401004,NICOTEK,NICOTEK ECV&C,3,1,3,18,12.2,12.2,332517,1.51
2013,085962600201,FINITI,FINITI E-CG,1,1.75,1.75,16,10.9,10.9,316426.25,1.44
2013,081649401006,NICOTEK,NICOTEK ECV&C MN,3,1,3,18,12.2,12.2,302652,1.37
2013,085962600262,FINITI,NA,NA,NA,3,NA,9.1,9.1,287475,1.3
2013,085405500434,BLU,BLU CIGS E-CGC M-M,5,1,5,16,10.9,10.9,285155,1.29
2013,085962600206,FINITI,FINITI E-CG C-M OLS,1,1.75,1.75,16,10.9,10.9,276283,1.25
2013,085962600276,FINITI,FINITI E-CGCM C-M RFL,5,1,5,16,10.9,10.9,274435,1.24
2013,085438400414,LOGIC,LG-PLT E-CG MN,2,NA,7.25,NA,3.8,3.8,237720.25,1.08
2013,085965400204,BLU,BLU CIGS E-CG,1,1,1,NA,16.3,16.3,235579,1.07
2013,081068701472,NJOY,NJOY E-CG MN KING,1,1,1,45,30.6,30.6,227385,1.03
2013,085962600200,FINITI,FINITI MIDNIGHT E-CG,1,1.75,1.75,16,10.9,10.9,198906.75,0.9
2013,085962600203,FINITI,FINITI E-CG OLS,1,1.75,1.75,8,5.4,5.4,197081.5,0.89
2013,085962600273,FINITI,FINITI E-CGCM RFL,5,1,5,8,5.4,5.4,193600,0.88
2013,085962600205,FINITI,FINITI MIDNIGHT E-CG CMT,1,NA,1.75,NA,10.9,10.9,179641,0.81
2013,084866603270,FINITI,FIN E-CGCM RFL,5,1,5,16,10.9,10.9,142790,0.65
2013,081068701473,NJOY,NJOY E-CG MN KING,1,1,1,30,20.4,20.4,134111,0.61
2013,036586038143,21ST CENTURY SMOKE,21SCS E-CG REGULAR,2,0.9,1.8,16,10.9,10.9,125512.19999999997,0.57
2013,002012632803,MISTIC,MISTIC E-CGC MN RFL,5,1,5,18,12.2,12.2,117765,0.53
2013,085962600202,FINITI,FINITI MIDNIGHT E-CG,1,1.75,1.75,8,5.4,5.4,111550.25,0.51
2013,084866603275,FINITI,FIN E-CGCM CMT RFL,5,1,5,16,10.9,10.9,108975,0.49
2013,002012632800,MISTIC,MISTIC E-CGC RFL,5,1,5,18,12.2,12.2,106320,0.48
2013,081068701539,NJOY,NJOY E-CG KING,5,1,5,45,30.6,30.6,105075,0.48
2013,081649401005,NICOTEK,NICOTEK ECV&C,3,1,3,12,8.2,8.2,97248,0.44
2013,081649401154,NICOTEK,NICOTEK METRO E-CG,1,NA,10,NA,1.5,1.5,92531.518651,0.42
2013,081764101759,KRAVE,KRAVE 500 E-CG TOB RFL,1,NA,2,NA,7.3,7.3,71460,0.32
2013,081764101760,KRAVE,KRAVE 500 E-CG MN,1,NA,2,NA,7.3,7.3,65728,0.3
2013,081649401300,NICOTEK,NCTK MTR MNGT E-CG MN,1,NA,10,NA,1.5,1.5,65482.76749300001,0.3
2013,036586038140,21ST CENTURY SMOKE,21SCS E-CG MN,2,0.9,1.8,16,10.9,10.9,64233.000000000015,0.29
2013,081649401297,NICOTEK,NTK MR CK SK E-CG,1,NA,10,NA,1.5,1.5,59075.43213,0.27
2013,081649401295,NICOTEK,N-M-C E-CG,1,NA,10,NA,1.5,1.5,57286.176233000006,0.26
2013,081649401298,NICOTEK,NTK MR CK SK E-CG MN,1,NA,10,NA,1.5,1.5,56396.546206000006,0.26
2013,002012632801,MISTIC,MISTIC E-CGC RFL,5,1,5,12,8.2,8.2,55610,0.25
2013,081649401296,NICOTEK,N-M-C E-CG MN,1,NA,10,NA,1.5,1.5,55306.999319,0.25
2013,084866603273,FINITI,FIN E-CGCM TOB RFL,5,1,5,24,16.3,16.3,51780,0.23
2013,081068701540,NJOY,NJOY E-CG KING,5,1,5,30,20.4,20.4,46865,0.21
2013,081068701541,NJOY,NJOY E-CG MN KING,5,1,5,45,30.6,30.6,46685,0.21
2013,081649401016,NICOTEK,NICOTEK METRO E-CG REGULAR VO,1,1,1,18,12.2,12.2,43542,0.2
2013,085438400403,LOGIC,LG-PLT E-CGCM OGN,5,1.45,7.25,24,16.3,16.3,41665.75,0.19
2013,081649401155,NICOTEK,NCTK MTR SVN E-CG MN,1,NA,10,NA,1.5,1.5,39783.455140000005,0.18
2013,084866601211,FINITI,FIN E-CG,1,1.75,1.75,16,10.9,10.9,39291,0.18
