year,mL_old,mL_new,mL_sq_old,mL_sq_new,nic_old,nic_new,nic_mg_per_mL_old,nic_mg_per_mL_new,avg_mL_per_ecig_old,avg_mL_per_ecig_new,N_hom_old,N_hom_new,N_hom_change,mL_change_pct
2013,22044278.3824285,22044278.3824285,84064471.77314855,84064471.77314855,270533684.5840003,285595113.38400024,12.272285800910714,12.955521084856565,3.813437224606833,3.813437224606833,46.7995915042068,49.405066369170726,2.6054748649639237,0
2014,22134724.929711998,22134724.929711998,100076947.7847565,100076947.7847565,292147266.76370203,300283874.7637019,13.198594863564146,13.56618958298521,4.52126457873532,4.52126457873532,59.6743394457105,61.33633242995911,1.6619929842486059,0
2015,25661999.1543605,25661999.1543605,158882639.07253724,158882639.07253724,361024768.4075289,363811054.8075288,14.06845843287246,14.177034790592682,6.1913585966875,6.1913585966875,87.10287106050566,87.77510622627378,0.6722351657681145,0
2016,27624714.987283,27624714.987283,192212501.03142938,192212501.03142938,419349816.2265337,419461173.0265337,15.18024046291811,15.184271519891956,6.957990376368196,6.957990376368196,105.6239670519393,105.65201510756991,0.028048055630605973,0
2017,29277947.272660002,29276293.97266,190985966.20746765,190971582.49746764,487516187.87503445,487509252.2150345,16.65131039874101,16.652013833113593,6.523202068398148,6.523079139586746,108.61986243460694,108.6224040668932,0.002541632286252593,-0.0056469122804405445
2018,107990648.26236928,107446260.46236926,388939532.5941373,384203358.7341373,2789328063.2790375,2783784338.119037,25.829348264510923,25.90862005005747,3.6016038319279935,3.5757722705360813,93.02707968566521,92.64332514285063,-0.3837545428145859,-0.5041064284357212
2019,170417032.73694405,170182854.83694404,646640370.0721856,644603022.3421856,4885738288.623056,4883353210.0430565,28.669307346553136,28.69474257393264,3.7944585684128214,3.787708362042663,108.7844989115892,108.68731639394626,-0.09718251764293484,-0.1374146094665803
2020,154738105.1230211,154724641.1230211,489522827.4169081,489405690.6169081,4582402783.204577,4609269847.044572,29.61392592704583,29.79014728093475,3.163557076181874,3.163075299866316,93.6853449200317,94.2284790437044,0.5431341236727008,-0.008701153467851856
2021,179603428.20233747,179634465.24233744,735810395.943816,736044154.5972159,4488501773.033529,5387295585.1135235,24.99118094770929,29.990322724794186,4.0968616429462985,4.097455093621645,102.38541063660051,122.88400060806491,20.498589971464398,0.017280872815521188
2022,169174773.58124188,169201460.3812419,763867577.8371881,764082413.537188,3918375444.0375237,4971654915.153672,23.16170053660999,29.38304967316253,4.515256983455398,4.515814531479636,104.5810300966309,132.68840269325534,28.107372596624444,0.015774692310846373
2023,154388551.71947998,154398199.51948,766965417.8855386,767041723.6455386,3557285342.3902016,4455603812.574194,23.041121266903893,28.857874162010827,4.967760946932743,4.967944743091146,114.46278240326664,143.3643242399475,28.901541836680863,0.006249038476338405
