year,mL,deliv_old,deliv_new,pct_raw,nic_old,nic_new
2013,27932,911700.480000037,780225.2000000002,0,32.6,27.9
2014,344061,11230151.040001752,9129663.680003326,0,32.6,26.5
2015,730441,23841594.24005239,19764450.24003115,0,32.6,27.1
2016,1243634.5,40230415.68022083,34710299.440114275,0,32.3,27.9
2017,1857211.0999998932,50069379.540289566,43598974.18022951,0,27,23.5
2018,9990331.100056838,219188474.220015,207266404.14087513,0,21.9,20.7
2019,17248421.299845245,497692820.95901746,498666533.36010623,0,28.9,28.9
2020,34659271.600503094,1031001958.0583802,1039291783.6578457,0,29.7,30
2021,78364656.66020519,1280288922.157961,2180257470.268743,100,16.3,27.8
2022,85417226.29950306,1283830818.7125862,2359612445.289723,0,15,27.6
2023,84576745.899785,1459214092.4291043,2368689993.6314607,0,17.3,28
