upc12,flavor,units_sold,mL_sold,deliv_nic_mg,cap_mL_per_pkg,mL_per_cart,n_carts,raw_label,deliv_mg_per_mL,eff_label_mg_per_mL,mL_share
084920502345,MENTHOL,4378556,31525603.200000003,267967627.19999993,7.2,1.8,4,12.5,8.5,12.5,37.3
084920502342,MENTHOL,1419542,10220702.399999993,166801863.16800034,7.2,1.8,4,24,16.3,24,12.1
084920501625,MENTHOL,2654977,9557917.199999997,324969184.79999983,3.6,1.8,2,50,34,50,11.3
084920502354,GOLDEN TOBACCO,999386,7195579.1999999955,244649692.80000028,7.2,1.8,4,50,34,50,8.5
084920502351,GOLDEN TOBACCO,998635,7190171.999999997,29335901.76000005,7.2,1.8,4,6,4.1,6,8.5
084920502213,MENTHOL,1821108,3277994.399999998,111451809.59999996,1.8,1.8,1,50,34,50,3.9
084920501967,N/A,862330,3104387.999999999,18998854.560000006,3.6,1.8,2,9,6.1,9,3.7
084920501934,TOBACCO,635764,2288750.400000002,77817513.60000008,3.6,1.8,2,50,34,50,2.7
084920501991,MENTHOL,631724,2274206.400000002,37115048.448000066,3.6,1.8,2,24,16.3,24,2.7
084920501976,TOBACCO,459721,1654995.600000001,20257146.14400001,3.6,1.8,2,18,12.2,17.9,2
084920503002,NA,767536,1381564.7999999998,46973203.20000003,1.8,1.8,1,50,34,50,1.6
084920501946,TOBACCO,321764,1158350.400000001,18904278.528000027,3.6,1.8,2,24,16.3,24,1.4
084920501628,TOBACCO,205441,739587.6000000001,25145978.39999999,3.6,1.8,2,50,34,50,0.9
084920502210,MENTHOL,359057,646302.6000000006,10547658.432000015,1.8,1.8,1,24,16.3,24,0.8
084920502222,TOBACCO,310569,559024.2000000004,19006822.799999993,1.8,1.8,1,50,34,50,0.7
084920502999,NA,249834,449701.2000000002,15289840.79999999,1.8,1.8,1,50,34,50,0.5
084920501970,TOBACCO,85795,308862,3780470.8800000004,3.6,1.8,2,18,12.2,17.9,0.4
084920501790,TOBACCO,79465,286073.99999999994,4668727.68,3.6,1.8,2,24,16.3,24,0.3
084920502162,NA,112228,202010.4,3296809.7280000006,1.8,1.8,1,24,16.3,24,0.2
084920502219,TOBACCO,97752,175953.59999999992,2871562.751999999,1.8,1.8,1,24,16.3,24,0.2
084920501529,TOBACCO,31767,120714.59999999999,2462577.8400000003,3.8,1.9,2,30,20.4,30,0.1
084920501541,MENTHOL,18414,69973.2,1427453.2800000003,3.8,1.9,2,30,20.4,30,0.1
084920502907,SANTIAGO RUBINO,27481,49465.80000000001,807281.856,1.8,1.8,1,24,16.3,24,0.1
084920502955,NOT STATED,23601,42481.8,2311009.92,1.8,1.8,1,24,54.4,80,0.1
084920500058,TOBACCO,37523,37523,1224750.72,1,0.5,2,48,32.6,47.9,0
084920503005,NA,7053,12695.4,207188.92800000004,1.8,1.8,1,24,16.3,24,0
084920502885,NA,6406,11530.8,188182.65600000002,1.8,1.8,1,24,16.3,24,0
084920500061,MENTHOL,8384,8384,273653.76,1,0.5,2,48,32.6,47.9,0
084920500057,TOBACCO,1298,6490,211833.60000000003,5,0.5,10,48,32.6,47.9,0
084920502891,MENTHOL,3328,5990.4000000000005,97763.32800000001,1.8,1.8,1,24,16.3,24,0
084920501968,NA,200,3600,4406.4,18,1.8,10,1.8,1.2,1.8,0
084920502346,MENTHOL,84,3024,5140.8,36,1.8,20,2.5,1.7,2.5,0
084920500060,MENTHOL,446,2230,72787.20000000001,5,0.5,10,48,32.6,47.9,0
084920503062,NA,135,1458,23794.56000000001,10.8,1.8,6,24,16.3,24,0
084920501791,RICH TOBACCO,47,846,2761.3440000000005,18,1.8,10,4.8,3.3,4.9,0
084920502894,MENTHOL,372,669.6,10927.872000000001,1.8,1.8,1,24,16.3,24,0
084920502982,NA,63,567,9253.440000000002,9,1.8,5,24,16.3,24,0
084920502888,NA,264,475.2,7755.264000000001,1.8,1.8,1,24,16.3,24,0
084920501512,TOBACCO,82,221.4,2258.28,2.7,0.9,3,15,10.2,15,0
084920501514,MENTHOL,58,156.60000000000002,1597.3200000000002,2.7,0.9,3,15,10.2,15,0
084920501935,GOLDEN TOBACCO,15,135,1836,9,1.8,5,20,13.6,20,0
084920501992,MENTHOL,14,126,822.5280000000001,9,1.8,5,9.6,6.5,9.6,0
084920502916,GOLDEN TOBACCO,57,102.60000000000001,1674.4320000000002,1.8,1.8,1,24,16.3,24,0
084920501712,N/A,17,32.3,1664.64,1.9,1.9,1,30,51.5,75.7,0
084920501634,TOBACCO,7,25.2,856.8000000000001,3.6,1.8,2,50,34,50,0
084920501664,REGULAR,20,20,1305.6,1,0.5,2,96,65.3,96,0
084920501619,TOBACCO,10,18,612,1.8,1.8,1,50,34,50,0
084920501667,MENTHOL,33,16.5,2154.2400000000002,0.5,0.25,2,50,130.6,192.1,0
084920500780,TOBACCO,3,12,244.8,4,2,2,30,20.4,30,0
084920501796,TOBACCO,3,10.8,367.20000000000005,3.6,1.8,2,50,34,50,0
084920501510,TOBACCO,9,8.1,82.62000000000002,0.9,0.9,1,15,10.2,15,0
084920500134,TOBACCO,4,2,65.28,0.5,0.5,1,48,32.6,47.9,0
084920500137,MENTHOL,2,1,32.64,0.5,0.5,1,48,32.6,47.9,0
