year_month,type,units_sum,cart_sum,units_na_cart,mL_sum
2013-01,Closed pod,238502,959757,14231,973238.1
2013-01,Disposable,331002,331002,0,349107.6147815
2013-01,Open refill,97756,97756,0,166689.25
2013-02,Closed pod,256666,1033127,13144,1043967.35
2013-02,Disposable,362613,362613,0,380986.4531415
2013-02,Open refill,87105,87105,0,153633.79853
2013-03,Closed pod,335223,1350625,14312,1360700.6
2013-03,Disposable,485201,485201,0,530258.372677
2013-03,Open refill,114223,114223,0,216387.01420900002
2013-04,Closed pod,271875,1086079,9719,1097415
2013-04,Disposable,394842,394842,0,433826.400829
2013-04,Open refill,82833,82833,0,157196.695474
2013-05,Closed pod,275713,1088508,8007,1126074.1
2013-05,Disposable,397020,397020,0,436336.61421850004
2013-05,Open refill,73354,73354,0,140353.294662
2013-06,Closed pod,347688,1350029,10077,1405664.8
2013-06,Disposable,482860,482860,8,532717.3904650001
2013-06,Open refill,88424,88424,0,168385.841452
2013-07,Closed pod,311738,1242287,6886,1296514.7
2013-07,Disposable,346981,347097,25,389276.3864925
2013-07,Open refill,73739,73739,0,174389.85305
2013-08,Closed pod,407207,1653859,5460,1730644.5
2013-08,Disposable,384126,384578,62,441903.7119175
2013-08,Open refill,75103,75103,0,181804.030447
2013-09,Closed pod,311854,1261008,3761,1320325.95
2013-09,Disposable,286131,286543,52,329575.4241185
2013-09,Open refill,57619,57619,0,110101.306553
2013-10,Closed pod,298357,1181192,5383,1233089.75
2013-10,Disposable,264978,265369,53,307397.5268835
2013-10,Open refill,52584,52584,0,96907.659415
2013-11,Closed pod,377537,1525142,5169,1573954.3
2013-11,Disposable,301555,302011,51,349183.2536815
2013-11,Open refill,79185,79185,0,141386.301913
2013-12,Closed pod,308897,1262354,4048,1308404.2
2013-12,Disposable,240634,240977,33,275264.5954455
2013-12,Open refill,63922,63922,0,111216.242072
2014-01,Closed pod,344158,1392165,4154,1451925.55
2014-01,Disposable,260633,260928,38,300969.592207
2014-01,Open refill,68807,68807,0,117896.46597
2014-02,Closed pod,345699,1397276,3402,1453491.5
2014-02,Disposable,245974,246234,53,283826.594972
2014-02,Open refill,62171,62171,0,106527.449342
2014-03,Closed pod,421970,1698364,6580,1772387.15
2014-03,Disposable,293440,294239,57,339712.17467
2014-03,Open refill,98628,98628,0,175073.831592
2014-04,Closed pod,304678,1217053,4090,1271592.4
2014-04,Disposable,209396,210067,50,241153.9289145
2014-04,Open refill,63130,63130,0,114631.649941
2014-05,Closed pod,351768,1402802,3861,1461367.5
2014-05,Disposable,238587,239414,118,277014.532153
2014-05,Open refill,68722,68722,0,125108.64214
2014-06,Closed pod,298541,1147978,2525,1197172.824179
2014-06,Disposable,187276,187965,249,219773.63283
2014-06,Open refill,79744,79744,0,130996.058108
2014-07,Closed pod,294613,1064982,3084,1112895.1544930001
2014-07,Disposable,189701,190299,360,220853.744141
2014-07,Open refill,56199,56199,0,97559.5561
2014-08,Closed pod,359894,1298232,3571,1368129.4701140001
2014-08,Disposable,236940,237607,2858,308227.3220125
2014-08,Open refill,61185,61185,0,154549.441804
2014-09,Closed pod,298611,1021458,1875,1086442.764443
2014-09,Disposable,203163,203810,8142,326621.0418115
2014-09,Open refill,53255,53255,0,239700.40002
2014-10,Closed pod,329382,1106345,4922,1181073.7724030002
2014-10,Disposable,201946,202394,8523,327688.666057
2014-10,Open refill,96522,96522,0,327025.610611
2014-11,Closed pod,386799,1334820,4868,1452295.405238
2014-11,Disposable,239371,240151,11015,425315.7215445
2014-11,Open refill,133738,133738,0,451426.42555600003
2014-12,Closed pod,309801,1064708,2049,1171975.51426
2014-12,Disposable,205667,207873,10068,455834.576494
2014-12,Open refill,77101,77101,0,386488.865591
2015-01,Closed pod,409086,1327047,1983,1459729.80887
2015-01,Disposable,253605,254361,17056,501026.45854
2015-01,Open refill,90397,90397,0,593220.3346310001
2015-02,Closed pod,334927,1063984,1475,1161918.5006780003
2015-02,Disposable,186171,186483,13391,378296.2664915
2015-02,Open refill,65060,65060,0,460816.10495
2015-03,Closed pod,338299,1063752,1340,1181467.5255040003
2015-03,Disposable,179838,180118,11894,348424.7397925
2015-03,Open refill,62075,62075,0,440631.8055445
2015-04,Closed pod,333308,1054622,1556,1134488.9177760002
2015-04,Disposable,184980,185256,11942,356849.468185
2015-04,Open refill,69971,69971,0,456578.2589565
2015-05,Closed pod,414134,1298050,1555,1391094.874973
2015-05,Disposable,222440,222867,14368,427506.948983
2015-05,Open refill,75306,75306,0,547883.0585805
2015-06,Closed pod,327830,1025519,1386,1092590.6762670001
2015-06,Disposable,174430,174713,10826,337613.048156
2015-06,Open refill,64032,64032,0,450824.26018599997
2015-07,Closed pod,322024,999458,1232,1070695.489849
2015-07,Disposable,175112,175376,11632,353279.84586
2015-07,Open refill,84115,84115,0,637296.753856
2015-08,Closed pod,410171,1257037,1511,1346790.4845750001
2015-08,Disposable,221231,221539,15189,466834.343542
2015-08,Open refill,106283,106283,0,803620.4915435
2015-09,Closed pod,327762,977039,1134,1033774.551209
2015-09,Disposable,171776,172025,12579,357082.962576
2015-09,Open refill,63333,63333,0,514518.671876
2015-10,Closed pod,422950,1238416,1260,1313161.186217
2015-10,Disposable,220732,221027,14103,398648.140285
2015-10,Open refill,76841,76841,0,675773.3358965
2015-11,Closed pod,342834,996456,935,1038699.036516
2015-11,Disposable,186542,186795,10692,337713.7217465
2015-11,Open refill,68665,68665,0,598676.558116
2015-12,Closed pod,352921,1017177,916,1071785.8432490001
2015-12,Disposable,193159,193330,10479,333918.414732
2015-12,Open refill,66159,66159,0,588768.2656515
2016-01,Closed pod,439490,1282794,982,1333960.6841395001
2016-01,Disposable,281965,282149,12010,440311.363228
2016-01,Open refill,83583,83583,0,736853.918887
2016-02,Closed pod,355667,1031048,816,1074879.8207845
2016-02,Disposable,258838,258963,11237,392446.959009
2016-02,Open refill,80931,80931,0,709506.144741
2016-03,Closed pod,357685,1042317,798,1087571.9988275
2016-03,Disposable,239097,239258,10900,372609.234021
2016-03,Open refill,73039,73039,0,637617.1490205
2016-04,Closed pod,446484,1286169,1007,1322705.4616105
2016-04,Disposable,308560,308742,13374,472857.814778
2016-04,Open refill,93886,93886,0,808553.051123
2016-05,Closed pod,375957,1043777,725,1067414.799142
2016-05,Disposable,280232,280373,11162,415174.270701
2016-05,Open refill,81879,81879,0,707773.4172275
2016-06,Closed pod,369617,1030911,702,1042779.9899705001
2016-06,Disposable,283203,283409,10201,409164.807459
2016-06,Open refill,78443,78443,0,667643.568993
2016-07,Closed pod,475649,1323355,820,1331586.988388
2016-07,Disposable,356557,356765,11176,499998.588232
2016-07,Open refill,92892,92892,0,786048.1985155001
2016-08,Closed pod,394172,1089437,707,1093654.893283
2016-08,Disposable,291416,291605,8550,400358.54987
2016-08,Open refill,74398,74398,0,631601.8411105
2016-09,Closed pod,398784,1099317,645,1098217.3990570002
2016-09,Disposable,295536,295676,8384,397034.204906
2016-09,Open refill,77721,77721,0,646626.374436
2016-10,Closed pod,481948,1323210,855,1339817.0603295001
