month,pod_std,disp_std,open_std,pod_pkg,rms_raw,rms_cdc_std
2013-01-01,191951.4,331002,97756,238502,58.12110187110187,53.32640362784904
2013-02-01,206625.4,362613,87105,256666,58.5540604477142,55.247451257984764
2013-03-01,270125,485201,114223,335223,59.14027380963989,55.79915565425295
2013-04-01,217215.8,394842,82833,271875,59.22182875192923,56.82072636448777
2013-05-01,217701.6,397020,73354,275713,59.01598405310874,57.70005505209021
2013-06-01,270005.8,482860,88424,347688,58.13751884298078,57.39520436358553
2013-07-01,248457.4,346981,73739,311738,52.67511640016456,51.8518706698702
2013-08-01,330771.8,384126,75103,407207,48.5416379703614,48.623495064815124
2013-09-01,252201.6,286131,57619,311854,47.84919354164402,48.01245604508823
2013-10-01,236238.4,264978,52584,298357,47.03737562906618,47.84720271057948
2013-11-01,305028.4,301555,79185,377537,44.405618090037876,43.97330060702709
2013-12-01,252470.8,240634,63922,308897,43.78897641807286,43.19971678202916
2014-01-01,278433,260633,68807,344158,43.09472197833632,42.87622579058455
2014-02-01,279455.2,245974,62171,345699,41.57262541978424,41.86077540477352
2014-03-01,339672.8,293440,98628,421970,41.01703918033016,40.101631616003914
2014-04-01,243410.6,209396,63130,304678,40.73265716608893,40.58560683618879
2014-05-01,280560.4,238587,68722,351768,40.41415758314912,40.585034703286134
2014-06-01,229595.6,187276,79744,298541,38.54867161914878,37.71045452458602
2014-07-01,212996.4,189701,56199,294613,39.169010187605565,41.33852433795514
2014-08-01,259646.4,236940,61185,359894,39.69948092769514,42.47976859336997
2014-09-01,204291.6,203163,53255,298611,40.4889452223511,44.097843847838206
2014-10-01,221269,201946,96522,329382,38.00778426885088,38.85542110721384
2014-11-01,266964,239371,133738,386799,38.22779756296214,37.39745310300544
2014-12-01,212941.6,205667,77101,309801,39.899081999270564,41.48941234948849
2015-01-01,265409.4,253605,90397,409086,38.26896698461274,41.61474498179719
2015-02-01,212796.8,186171,65060,334927,35.72667713174873,40.12065656411103
2015-03-01,212750.4,179838,62075,338299,34.708580935158075,39.55409650303939
2015-04-01,210924.4,184980,69971,333308,35.690581298428675,39.7058956107148
2015-05-01,259610,222440,75306,414134,34.943305884311954,39.90986012530591
2015-06-01,205103.8,174430,64032,327830,34.729024807868434,39.32449255555771
2015-07-01,199891.6,175112,84115,322024,35.22416401145763,38.14090738210127
2015-08-01,251407.4,221231,106283,410171,35.038058162628566,38.2143413596388
2015-09-01,195407.8,171776,63333,327762,34.38697356357274,39.899952800912764
2015-10-01,247683.2,220732,76841,422950,34.29208832933032,40.482254030307224
2015-11-01,199291.2,186542,68665,342834,35.238091639968566,41.04350688297556
2015-12-01,203435.4,193159,66159,352921,35.37192352768825,41.74123842201916
2016-01-01,256558.8,281965,83583,439490,39.082825678663255,45.32421121260851
2016-02-01,206209.6,258838,80931,355667,42.12138225075467,47.40808522531836
2016-03-01,208463.4,239097,73039,357685,40.064378617317544,45.927252317232785
2016-04-01,257233.8,308560,93886,446484,40.866492548778616,46.774207729265015
2016-05-01,208755.4,280232,81879,375957,42.70598867094694,49.088893653576385
2016-06-01,206182.2,283203,78443,369617,43.38148341043473,49.874768459896856
2016-07-01,264671,356557,92892,475649,42.84480044604341,49.929563658768835
2016-08-01,217887.4,291416,74398,394172,42.50599485405229,49.92552699034129
2016-09-01,219863.4,295536,77721,398784,42.56481161424127,49.82732005171294
2016-10-01,264642,300019,95318,481948,38.36722010008095,45.45887066103619
2016-11-01,210448.4,206308,71838,385955,34.833849151474936,42.224798319424046
2016-12-01,254993,310173,82880,468743,39.821110363633565,47.862806035374035
2017-01-01,210457.8,278271,69699,376960,42.46914446966032,49.831150956309834
2017-02-01,219825.2,298795,74287,393874,43.13676517932808,50.394901596742294
2017-03-01,232316.2,322144,81878,417376,43.56122890523583,50.624652111094385
2017-04-01,306622,421590,103340,550129,43.385999450458414,50.6991745555299
2017-05-01,250121.6,359012,86111,454509,44.130637070217,51.63822919300632
2017-06-01,253789.2,386828,93584,462741,45.532264006808155,52.686920152132686
2017-07-01,249900.2,388340,91602,452786,46.169063850124715,53.20876211323489
2017-08-01,238428.4,382971,92586,430312,47.0895125067166,53.63849176747872
2017-09-01,286726.4,449736,111960,526390,46.07356017563306,53.00850142570493
2017-10-01,225449.6,375321,97639,431087,46.54232100872015,53.73938158925651
2017-11-01,234520,397346,104072,458510,46.4267353386551,53.991776481170966
2017-12-01,317963.2,484271,127819,616156,44.007553431531576,52.06917195704504
2018-01-01,904181,545780,118336,1739390,23.88356227326632,34.80080622484134
2018-02-01,979732.6,555104,123830,1861505,22.970368810179885,33.466882374070835
2018-03-01,1458522.4,738416,153378,2698442,21.485205382357957,31.417727417466008
2018-04-01,1342928.4,611106,116431,2380821,20.425164116637873,29.5153930126048
2018-05-01,1554726.2,670075,130084,2660277,20.120245547617788,28.454677960522236
2018-06-01,2094587,840435,167902,3496876,19.376867372434212,27.08525893640966
2018-07-01,1739176.4,706777,128077,2899527,19.598375511326832,27.457989618149032
2018-08-01,1810718.8,664508,129940,3022909,18.020961556558426,25.507311086568432
2018-09-01,2336755,816048,153652,3852818,17.478505487199676,24.680450815147946
2018-10-01,1956045.2,637416,108917,3210644,16.564606580978467,23.58722402363962
2018-11-01,2056590.8,642823,103955,3343038,16.127581970369764,22.93037576789754
2018-12-01,2530350.6,781545,126805,4105110,15.993455646040083,22.727916469377995
2019-01-01,1943584.2,608928,96350,3203873,15.970621073588681,22.98828530982095
2019-02-01,1960856.2,614860,84919,3237690,15.959818821300178,23.109519110323728
