"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"VUSE","Closed pod",0,0,0.476013610555481,100.662065875443,0,0,47.9165134233434,47.9165134233434,2013-01-01,2023-12-01
"BLU","Closed pod",0.380152255244767,54.4600643041475,0.00714740019380425,54.7495191103446,0.110036897367272,-20.3138683918347,-0.107968048029362,-20.3117995424967,2013-01-01,2023-12-01
"BREEZE","Disposable",0,0,0.0807060172797389,204,0,0,16.4640275250667,16.4640275250667,2013-01-01,2023-12-01
"JUUL","Closed pod",0,0,0.165987295754368,84.7034372285759,0,0,14.0596944866711,14.0596944866711,2013-01-01,2023-12-01
"NJOY","Closed pod",0.028828738757185,64.5873994864909,0.110790528737016,105.442713213716,1.177807166285,5.29369887205525,3.34857464327095,9.8200806816112,2013-01-01,2023-12-01
"HYPPE","Disposable",0,0,0.0345376183920419,204.000708311839,0,0,7.04569861538054,7.04569861538054,2013-01-01,2023-12-01
"FINITI","Closed pod",0.0940703229360059,42.0991858081055,0,0,-3.9602840043114,-3.9602840043114,3.9602840043114,-3.9602840043114,2013-01-01,2023-12-01
"BLU","Disposable",0.197809995713043,16.3199999999963,0.00206988355500398,36.1476000217901,3.92209747531097,-3.19447863041847,-3.88105665209066,-3.15343780719816,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS","Disposable",0,0,0.0120203605841281,215.917631234293,0,0,2.59540778390699,2.59540778390699,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Closed pod",0.0831758171764453,28.1245228047741,4.18938514026296e-06,17.408,-0.891355541577094,-2.33916234252674,0.8913106459357,-2.33920723816813,2013-01-01,2023-12-01
"VUSE","Disposable",0,0,0.0349933645820457,57.519379247,0,0,2.01279660852322,2.01279660852322,2013-01-01,2023-12-01
"MISTIC","Closed pod",0.0391736939559102,50.496466752407,0,0,-1.97813313441359,-1.97813313441359,1.97813313441359,-1.97813313441359,2013-01-01,2023-12-01
"FINITI","Open refill",0.108019122320343,16.810222062655,0,0,-1.81582543321805,-1.81582543321805,1.81582543321805,-1.81582543321805,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY","Disposable",0,0,0.012431411271445,117.282354100004,0,0,1.45798517870039,1.45798517870039,2013-01-01,2023-12-01
"NJOY","Disposable",0.0305091559798707,58.6751064651347,0.0195204858824541,44.0982859198289,-0.444726491707318,-0.64476138787616,0.160179872041609,-0.929308007541869,2013-01-01,2023-12-01
"STAGBAR","Disposable",0,0,0.00409996795117547,211.293275217933,0,0,0.866295656692423,0.866295656692423,2013-01-01,2023-12-01
"NICOTEK","Closed pod",0.0257200139055296,32.7936648501505,0,0,-0.843453515959149,-0.843453515959149,0.843453515959149,-0.843453515959149,2013-01-01,2023-12-01
"JUICY BAR","Disposable",0,0,0.00769105652609463,102,0,0,0.784487765661652,0.784487765661652,2013-01-01,2023-12-01
"LOGIC","Closed pod",0.000992857813931147,16.3199999999999,0.0125718080409579,37.4971126911361,0.021025861811895,0.188968467705076,0.245208733802803,0.455203063319774,2013-01-01,2023-12-01
"BIDI","Disposable",0,0,0.00303484296292136,105.119161104485,0,0,0.319020146346142,0.319020146346142,2013-01-01,2023-12-01
"PALAX","Disposable",0,0,0.00279366529712723,102,0,0,0.284953860306977,0.284953860306977,2013-01-01,2023-12-01
"UNKNOWN","Disposable",0,0,0.00190443557153501,112.5395470647,0,0,0.214324316634453,0.214324316634453,2013-01-01,2023-12-01
"ZEO","Disposable",0,0,0.0018965477448257,102.093665978875,0,0,0.193625511973224,0.193625511973224,2013-01-01,2023-12-01
"ESCO BARS","Disposable",0,0,0.00136594555564817,102.000059108668,0,0,0.139326527415335,0.139326527415335,2013-01-01,2023-12-01
"AVATA","Disposable",0,0,0.000679465902436399,190.675144508671,0,0,0.129557259135775,0.129557259135775,2013-01-01,2023-12-01
"MNGO","Disposable",0,0,0.00226376044419864,57.1199999999747,0,0,0.129305996572569,0.129305996572569,2013-01-01,2023-12-01
"SAVAGE","Disposable",0,0,0.000768883091523886,166.016884141886,0,0,0.127647575124176,0.127647575124176,2013-01-01,2023-12-01
"LEAP","Closed pod",0,0,0.00156088962524774,72.5603329956748,0,0,0.11325867097747,0.11325867097747,2013-01-01,2023-12-01
"MISTIC","Disposable",0.00574701078376337,14.6879999999999,0,0,-0.0844120943919156,-0.0844120943919156,0.0844120943919156,-0.0844120943919156,2013-01-01,2023-12-01
"IGNITE","Disposable",0,0,0.000747065559223121,107.171068188468,0,0,0.0800638139887575,0.0800638139887575,2013-01-01,2023-12-01
