"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"VUSE","Closed pod",0,0,0.476013610555481,24.4750499787932,0,0,11.6504569089312,11.6504569089312,2013-01-01,2023-12-01
"BLU","Closed pod",0.380152255244767,19.6030257155409,0.00714740019380425,10.2075869308547,-3.57169724301258,-7.31202376558562,3.50454428202204,-7.37917672657616,2013-01-01,2023-12-01
"BLU","Disposable",0.197809995713043,22.2247481026182,0.00206988355500398,11.5181295387766,-2.11787617221469,-4.35027468629064,2.0957147185197,-4.37243613998564,2013-01-01,2023-12-01
"JUUL","Closed pod",0,0,0.165987295754368,20.581709098803,0,0,3.41630223531337,3.41630223531337,2013-01-01,2023-12-01
"FINITI","Closed pod",0.0940703229360059,30.348595508654,0,0,-2.8549021801533,-2.8549021801533,2.8549021801533,-2.8549021801533,2013-01-01,2023-12-01
"BREEZE","Disposable",0,0,0.0807060172797389,20.1856558322639,0,0,1.62910388840155,1.62910388840155,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Closed pod",0.0831758171764453,13.711929423725,4.18938514026296e-06,18.99,0.439007833296626,-1.1404434903307,-0.438985721426184,-1.14042137846026,2013-01-01,2023-12-01
"FINITI","Open refill",0.108019122320343,9.88500024171891,0,0,-1.06776905024685,-1.06776905024685,1.06776905024685,-1.06776905024685,2013-01-01,2023-12-01
"MISTIC","Closed pod",0.0391736939559102,21.0420679295166,0,0,-0.824295529270355,-0.824295529270355,0.824295529270355,-0.824295529270355,2013-01-01,2023-12-01
"HYPPE","Disposable",0,0,0.0345376183920419,19.2863747572188,0,0,0.666105451530732,0.666105451530732,2013-01-01,2023-12-01
"NJOY","Disposable",0.0305091559798707,23.7750125440439,0.0195204858824541,6.72673562114506,-0.520128539828753,-0.26125576940844,0.187337890835136,-0.594046418402057,2013-01-01,2023-12-01
"NJOY","Closed pod",0.028828738757185,12.3993659084645,0.110790528737016,8.31968273555517,-0.117612120403885,1.01627422447265,-0.334378135402244,0.564283968666518,2013-01-01,2023-12-01
"NICOTEK","Closed pod",0.0257200139055296,15.5156301517501,0,0,-0.399062223256066,-0.399062223256066,0.399062223256066,-0.399062223256066,2013-01-01,2023-12-01
"VUSE","Disposable",0,0,0.0349933645820457,10.8424955520337,0,0,0.379415399831524,0.379415399831524,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY","Disposable",0,0,0.012431411271445,23.3113735290066,0,0,0.289793271641357,0.289793271641357,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS","Disposable",0,0,0.0120203605841281,20.3410898729217,0,0,0.244507234946675,0.244507234946675,2013-01-01,2023-12-01
"JUICY BAR","Disposable",0,0,0.00769105652609463,18.9900000000002,0,0,0.146053163430538,0.146053163430538,2013-01-01,2023-12-01
"LOGIC","Closed pod",0.000992857813931147,13.0416883362879,0.0125718080409579,9.20712511708444,-0.00380717605519914,0.151009060122273,-0.0444002166575445,0.10280166740953,2013-01-01,2023-12-01
"STAGBAR","Disposable",0,0,0.00409996795117547,24.9889539227902,0,0,0.10245391021684,0.10245391021684,2013-01-01,2023-12-01
"PALAX","Disposable",0,0,0.00279366529712723,23.9900000000001,0,0,0.0670200304780824,0.0670200304780824,2013-01-01,2023-12-01
"MISTIC","Disposable",0.00574701078376337,10.3431609958879,0,0,-0.0594422577815683,-0.0594422577815683,0.0594422577815683,-0.0594422577815683,2013-01-01,2023-12-01
"BIDI","Disposable",0,0,0.00303484296292136,14.167575025369,0,0,0.0429963653674016,0.0429963653674016,2013-01-01,2023-12-01
"UNKNOWN","Disposable",0,0,0.00190443557153501,22.5736927369084,0,0,0.0429901434290698,0.0429901434290698,2013-01-01,2023-12-01
"NICOTEK","Open refill",0.00388909605010502,11.0499477894304,0,0,-0.0429743083017404,-0.0429743083017404,0.0429743083017404,-0.0429743083017404,2013-01-01,2023-12-01
"ZEO","Disposable",0,0,0.0018965477448257,15.9691872700175,0,0,0.0302863261036511,0.0302863261036511,2013-01-01,2023-12-01
"MNGO","Disposable",0,0,0.00226376044419864,11.7547996113584,0,0,0.0266100503896746,0.0266100503896746,2013-01-01,2023-12-01
"ESCO BARS","Disposable",0,0,0.00136594555564817,17.9911605120694,0,0,0.024574945742414,0.024574945742414,2013-01-01,2023-12-01
"UNKNOWN","Closed pod",0.000486892529153193,40.6016365401993,0,0,-0.0197686335028163,-0.0197686335028163,0.0197686335028163,-0.0197686335028163,2013-01-01,2023-12-01
"SAVAGE","Disposable",0,0,0.000768883091523886,25.024208357362,0,0,0.0192406906847463,0.0192406906847463,2013-01-01,2023-12-01
"LEAP","Closed pod",0,0,0.00156088962524774,11.2573530603418,0,0,0.0175714855996384,0.0175714855996384,2013-01-01,2023-12-01
