"category","upc","brand","brand_filled","brand_source","pfx_brand_conf","pfx","product_descr","num_cartridges_f","nic_mg_per_ml_f","total_units","cum_unit_share","years"
"bare UPC (needs barcode lookup)","081068701482",NA,"NJOY","prefix",1,"08106870",NA,NA,NA,2928816,0.074,"2019;2020"
"bare UPC (needs barcode lookup)","081991301158",NA,"JUUL","prefix",1,"08199130",NA,NA,NA,2377287,0.1341,"2017;2018;2019;2020"
"hardware/device (exclude)","084920502114","VUSE","VUSE","raw",1,"08492050","ELCT VAPOR DEVICE","0",NA,2145418,0.1883,"2020;2021;2022;2023"
"bare UPC (needs barcode lookup)","084920501991",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,1838505,0.2347,"2020"
"bare UPC (needs barcode lookup)","084004820296",NA,"JUUL","prefix",1,"08400482",NA,NA,NA,1754954,0.2791,"2019;2020"
"hardware/device (exclude)","084920502117","VUSE","VUSE","raw",1,"08492050","VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR DEVICE BOX 1 COUNT","0",NA,1714546,0.3224,"2020;2021;2022;2023"
"bare UPC (needs barcode lookup)","084920501622",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,1566972,0.362,"2019;2020"
"bare UPC (needs barcode lookup)","081991301543",NA,"JUUL","prefix",1,"08199130",NA,NA,NA,1406027,0.3975,"2018;2019;2020"
"bare UPC (needs barcode lookup)","081991301137",NA,"JUUL","prefix",1,"08199130",NA,NA,NA,1351013,0.4317,"2017;2018;2019;2020"
"bare UPC (needs barcode lookup)","084920501967",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,938213,0.4554,"2020"
"e-liquid (impute mL)","081536802035","NJOY","NJOY","raw",1,"08153680","ELCT CGRTT","1",NA,640262,0.4716,"2018;2019;2020;2021"
"e-liquid (impute mL)","088796901130","BLU","BLU","raw",1,"08879690","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT","2",NA,460117,0.4832,"2021;2022;2023"
"hardware/device (exclude)","084920502120","VUSE","VUSE","raw",1,"08492050","ELCT VAPOR DEVICE","0",NA,414106,0.4937,"2020;2021;2022;2023"
"e-liquid (impute mL)","088796900560","BLU","BLU","raw",1,"08879690","BLECGS+ ECGT CT","1",NA,372082,0.5031,"2016;2017;2018;2019;2020;2021;2022;2023"
"bare UPC (needs barcode lookup)","088796901108",NA,"BLU","prefix",1,"08879690",NA,NA,NA,363985,0.5123,"2019;2020"
"bare UPC (needs barcode lookup)","084920501532",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,332406,0.5207,"2018;2019;2020"
"e-liquid (impute mL)","088796900752","BLU","BLU","raw",1,"08879690","BLU ECIGS PLUS+ SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK GLACIER MINT BOX 3 COUNT","3",NA,309243,0.5285,"2018;2019;2020;2021;2022;2023"
"e-liquid (impute mL)","088796900918","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,307172,0.5362,"2018;2019;2020"
"bare UPC (needs barcode lookup)","081991301269",NA,"JUUL","prefix",1,"08199130",NA,NA,NA,301672,0.5438,"2019;2020"
"e-liquid (impute mL)","084920501667","VUSE","VUSE","raw",1,"08492050","ELCT CGRTT CARTRIDGE","2",NA,292191,0.5512,"2018;2019;2020"
"e-liquid (impute mL)","088796900912","BLU","BLU","raw",1,"08879690","MY BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO VIVID VANILLA BOX 2 COUNT","2",NA,281276,0.5583,"2018;2019;2020;2022"
"bare UPC (needs barcode lookup)","084920501793",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,268658,0.5651,"2019;2020"
"hardware/device (exclude)","081990502638",NA,"GLAS","prefix",1,"08199050","ELCT VAPOR DEVICE","1",NA,263815,0.5718,"2019;2020;2021;2022;2023"
"e-liquid (impute mL)","084920501805","VUSE","VUSE","raw",1,"08492050","ELCT CGRTT LIQUID POD","1",NA,252493,0.5782,"2019;2020"
"e-liquid (impute mL)","081505802252","LOGIC","LOGIC","raw",1,"08150580","LP ECGLC BERRY MINT","2",NA,240568,0.5843,"2017;2018;2019;2020"
"bare UPC (needs barcode lookup)","085570400807",NA,"HAUS","prefix",0.768,"08557040",NA,NA,NA,236707,0.5902,"2014;2015;2016;2017;2018;2019;2020"
"bare UPC (needs barcode lookup)","084920501535",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,232346,0.5961,"2018;2019;2020"
"e-liquid (impute mL)","072153501247","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK JUNGLE JUICE CLASS A NICOTINE BOX 2 COUNT","2",NA,231822,0.602,"2021;2022;2023"
"e-liquid (impute mL)","072153501249","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT LUSH IC BOX 1 COUNT","1",NA,231654,0.6078,"2021;2022;2023"
"e-liquid (impute mL)","072153501203","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT TOBACCO LEAF 500 PUFFS BOX 1 COUNT","1",NA,230538,0.6136,"2021;2022;2023"
"e-liquid (impute mL)","081505802237","LOGIC","LOGIC","raw",1,"08150580","LOGIC POWER ECLE CHERRY","2",NA,227267,0.6194,"2017;2018;2019;2020"
"bare UPC (needs barcode lookup)","036586038660",NA,"21ST CENTURY SMOKE","prefix",0.949,"03658603",NA,NA,NA,220681,0.625,"2018;2019;2020"
"e-liquid (impute mL)","072153501252","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT KICK START BOX 1 COUNT","1",NA,219539,0.6305,"2021;2022;2023"
"e-liquid (impute mL)","072153501248","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT DRAGON VENOM BOX 1 COUNT","1",NA,206935,0.6357,"2021;2022;2023"
"e-liquid (impute mL)","088796901132","BLU","BLU","raw",1,"08879690","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT","2",NA,205167,0.6409,"2021;2022;2023"
"e-liquid (impute mL)","088796900511","BLU","BLU","raw",1,"08879690","BL-EGS E-CG TANK CAROLINA","3",NA,202476,0.646,"2016;2017;2018;2019;2020;2021;2022;2023"
"bare UPC (needs barcode lookup)","085570400806",NA,"HAUS","prefix",0.768,"08557040",NA,NA,NA,199899,0.6511,"2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","088796900998","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","2",NA,198832,0.6561,"2019;2020"
"e-liquid (impute mL)","081536802030","NJOY","NJOY","raw",1,"08153680","NJOY E-CG TANK APPLE CRISP","1",NA,193673,0.661,"2017;2018;2019;2020"
"e-liquid (impute mL)","072153501250","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK BLAZING VIBE CLASS A NICOTINE BOX 2 COUNT","1",NA,187333,0.6657,"2021;2022;2023"
"bare UPC (needs barcode lookup)","084920502165",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,182522,0.6704,"2020"
"e-liquid (impute mL)","081505802245","LOGIC","LOGIC","raw",1,"08150580","LP ECGLC CHERRY","2",NA,181527,0.6749,"2017;2018;2019;2020"
"e-liquid (impute mL)","085438400415","LOGIC","LOGIC","raw",1,"08543840","LOGIC E-CG TOB","1",NA,181440,0.6795,"2013;2014;2015;2016;2017;2018;2019;2020;2022"
"e-liquid (impute mL)","081536802039","NJOY","NJOY","raw",1,"08153680","NJOY E-CG TANK APPLE MELON","1",NA,179326,0.6841,"2017;2018;2019;2020"
"e-liquid (impute mL)","084920501538","VUSE","VUSE","raw",1,"08492050","ELCT CGRTT TANK","2",NA,174363,0.6885,"2018;2019;2020"
"bare UPC (needs barcode lookup)","084920501712",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,172285,0.6928,"2019;2020"
"e-liquid (impute mL)","088796901082","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,171196,0.6971,"2019;2020"
"e-liquid (impute mL)","088886130602","LEAP","LEAP","raw",1,"08888613","ELCT CGRTT","1",NA,170228,0.7014,"2019;2020;2021;2022;2023"
"e-liquid (impute mL)","085962600205","FINITI","FINITI","raw",1,"08596260","FINITI MIDNIGHT E-CG CMT","1",NA,169046,0.7057,"2013;2014;2015;2016;2017;2018;2019;2020"
"e-liquid (impute mL)","081536802027","NJOY","NJOY","raw",1,"08153680","NJOY E-CG TANK ICED FRUIT","1",NA,166973,0.7099,"2016;2017;2018;2019;2020"
"e-liquid (impute mL)","072153501245","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT FRUITY MANGO BOX 1 COUNT","1",NA,164493,0.7141,"2021;2022;2023"
"e-liquid (impute mL)","072153501246","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK JUNGLE JUICE CLASS A NICOTINE BOX 2 COUNT","2",NA,159944,0.7181,"2021;2022;2023"
"e-liquid (impute mL)","036586038657","21ST CENTURY SMOKE","21ST CENTURY SMOKE","raw",0.949,"03658603","ELCT CGRTT A&C","1",NA,159034,0.7221,"2018;2019;2020;2021"
"e-liquid (impute mL)","081764101760","KRAVE","KRAVE","raw",0.999,"08176410","KRAVE 500 E-CG MN","1",NA,156615,0.7261,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","009710000218","MARKTEN","MARKTEN","raw",1,"00971000","MARKTEN EVCC CREAM","2",NA,152653,0.73,"2017;2018;2019;2020"
"e-liquid (impute mL)","081505802233","LOGIC","LOGIC","raw",1,"08150580","LOGIC POWER ECLE MN","1",NA,150277,0.7338,"2017;2018;2019;2020;2021;2022;2023"
"e-liquid (impute mL)","081764101759","KRAVE","KRAVE","raw",0.999,"08176410","KRAVE 500 E-CG TOB RFL","1",NA,149034,0.7375,"2013;2014;2015;2016;2017;2018;2019;2020;2021"
"e-liquid (impute mL)","088796901056","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","2",NA,148041,0.7413,"2020"
"bare UPC (needs barcode lookup)","009700000500","MARLBORO","MARLBORO","raw",1,"00970000",NA,"20",NA,146904,0.745,"2021;2022"
"e-liquid (impute mL)","084920501787","VUSE","VUSE","raw",1,"08492050","ELCT VAPOR CGRTT CARTRIDGE","2",NA,139932,0.7485,"2019;2020"
"e-liquid (impute mL)","088796900906","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","2",NA,139225,0.752,"2019;2020"
"bare UPC (needs barcode lookup)","088796900870",NA,"BLU","prefix",1,"08879690",NA,NA,NA,135600,0.7555,"2019;2020"
"bare UPC (needs barcode lookup)","085962600262",NA,"FINITI","prefix",1,"08596260",NA,NA,NA,135214,0.7589,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","081990502849",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,134492,0.7623,"2019;2020"
"e-liquid (impute mL)","088796901070","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","2",NA,131602,0.7656,"2019;2020"
"e-liquid (impute mL)","081536802175","NJOY","NJOY","raw",1,"08153680","ELCT CGRTT LIQUID POD","1",NA,130484,0.7689,"2018;2019;2020"
"e-liquid (impute mL)","009710000289",NA,"MARKTEN","prefix",1,"00971000","ELCT CGRTT LIQUID POD","1",NA,129487,0.7722,"2018;2019;2020"
"e-liquid (impute mL)","081990502787",NA,"GLAS","prefix",1,"08199050","ELCT CGRTT LIQUID POD","1",NA,128956,0.7754,"2019;2020"
"e-liquid (impute mL)","081536802174","NJOY","NJOY","raw",1,"08153680","ELCT CGRTT LIQUID POD","1",NA,126382,0.7786,"2018;2019;2020;2021"
"bare UPC (needs barcode lookup)","084920501544",NA,"VUSE","prefix",1,"08492050",NA,NA,NA,122100,0.7817,"2018;2019;2020"
"e-liquid (impute mL)","081536802177","NJOY","NJOY","raw",1,"08153680","NJOY LOOP PODS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TROPICAL TWIST BOX 2 COUNT","2",NA,120373,0.7847,"2019;2020;2021;2022;2023"
"e-liquid (impute mL)","088796901002","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,117750,0.7877,"2018;2019;2020"
"e-liquid (impute mL)","009710000287",NA,"MARKTEN","prefix",1,"00971000","ELCT CGRTT LIQUID POD","1",NA,116384,0.7907,"2018;2019;2020"
"e-liquid (impute mL)","088886130206",NA,"LEAP","prefix",1,"08888613","ELCT CGRTT LIQUID POD","1",NA,115147,0.7936,"2019;2020"
"e-liquid (impute mL)","009710000288",NA,"MARKTEN","prefix",1,"00971000","ELCT CGRTT LIQUID POD","1",NA,114694,0.7965,"2018;2019;2020"
"e-liquid (impute mL)","085438400414","LOGIC","LOGIC","raw",1,"08543840","LOGIC E-CG MN","2",NA,114431,0.7994,"2013;2014;2015;2016;2017;2018;2019"
"e-liquid (impute mL)","088796901000","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,113806,0.8022,"2018;2019;2020;2021"
"e-liquid (impute mL)","081002599296",NA,"IGNITE","prefix",1,"08100259","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY GUAVA ICE BOX 1 COUNT","1",NA,112648,0.8051,"2021;2022;2023"
"e-liquid (impute mL)","072153501253","BIDI","BIDI","raw",1,"07215350","BIDI STICK SMOKING ALTERNATIVE PRODUCT ICY MANGO BOX 1 COUNT","1",NA,109845,0.8079,"2021;2022;2023"
"e-liquid (impute mL)","088796901004","BLU","BLU","raw",1,"08879690","ELCT CGRTT LIQUID POD","1",NA,108871,0.8106,"2019;2020"
"e-liquid (impute mL)","081002599297",NA,"IGNITE","prefix",1,"08100259","IGNITE V15 SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY ICE BOX 1 COUNT","1",NA,107508,0.8133,"2021;2022;2023"
"bare UPC (needs barcode lookup)","009700000501","MARLBORO","MARLBORO","raw",1,"00970000",NA,"20",NA,100252,0.8159,"2021;2022"
"e-liquid (impute mL)","088796900527","BLU","BLU","raw",1,"08879690","BL-EGS E-CG C-B","1",NA,98213,0.8183,"2016;2017;2018;2019;2020;2021;2022;2023"
"e-liquid (impute mL)","085570400720","MISTIC","MISTIC","raw",0.768,"08557040","MISTIC E-CGC RFL","3",NA,98207,0.8208,"2014;2015;2016;2017;2018;2019;2021"
"e-liquid (impute mL)","081068701775","NJOY","NJOY","raw",1,"08106870","NJOY E-CG LIQUID MN","1",NA,96566,0.8233,"2014;2015;2016;2017;2018;2019;2020"
