"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE",0.0875888696284265,2.5852893691914,4.25930488960845e-06,1.6,-0.08630038210438,-0.226431561974211,0.0862961854565522,-0.226435758622039,2013-01-01,2023-12-01
"BLU",0.60821605076154,3.62899194280368,0.00230552997228005,1.95283207191355,-1.01946733711777,-2.1988443980042,1.0156029002971,-2.20270883482488,2013-01-01,2023-12-01
"CIG2O",2.97258343829387e-05,2.71428571428571,0,0,-8.06844076108336e-05,-8.06844076108336e-05,8.06844076108336e-05,-8.06844076108336e-05,2013-01-01,2023-12-01
"FINITI",0.180456339685321,3.02326165141645,0,0,-0.545566731525612,-0.545566731525612,0.545566731525612,-0.545566731525612,2013-01-01,2023-12-01
"MISTIC",0.0412842296521713,4.76989936740327,0,0,-0.196921620901623,-0.196921620901623,0.196921620901623,-0.196921620901623,2013-01-01,2023-12-01
"NICOTEK",0.0312043407645091,2.58243552813627,0,0,-0.0805831982223393,-0.0805831982223393,0.0805831982223393,-0.0805831982223393,2013-01-01,2023-12-01
"NJOY",0.0512204436736493,2.35614204780987,0.132485738487803,3.41459136235372,0.0542142434970064,0.191472578139293,0.0860151955922455,0.331702017228545,2013-01-01,2023-12-01
"AVATA",0,0,0.000600561989434791,12,0,0,0.00720674387321749,0.00720674387321749,2013-01-01,2023-12-01
"BREEZE",0,0,0.0820529797360285,6,0,0,0.492317878416171,0.492317878416171,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.000930335143275864,5.99963908820045,0,0,0.00558167509072443,0.00558167509072443,2013-01-01,2023-12-01
"FUME",0,0,3.51392653392697e-05,12,0,0,0.000421671184071236,0.000421671184071236,2013-01-01,2023-12-01
"GLAS",0,0,0.000476017252397089,1.60905125408941,0,0,0.00076593615693773,0.00076593615693773,2013-01-01,2023-12-01
"HYDE",0,0,4.25930488960845e-07,1.6,0,0,6.81488782337352e-07,6.81488782337352e-07,2013-01-01,2023-12-01
"HYPPE",0,0,0.0351123119255151,5.9999715691013,0,0,0.210672873278507,0.210672873278507,2013-01-01,2023-12-01
"IGNITE",0,0,0.000717839287504613,5.04395616621231,0,0,0.00362074990055835,0.00362074990055835,2013-01-01,2023-12-01
"IMIRACLE",0,0,0.000167976336583933,12.3730190174326,0,0,0.00207837440703167,0.00207837440703167,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00728301205139704,13,0,0,0.0946791566681616,0.0946791566681616,2013-01-01,2023-12-01
"JUUL",0,0,0.168757487415077,2.69203832982321,0,0,0.454301624566044,0.454301624566044,2013-01-01,2023-12-01
"LEAP",0,0,0.00139039683990156,3,0,0,0.00417119051970467,0.00417119051970467,2013-01-01,2023-12-01
"LOGIC",0,0,0.0129415119075696,2.65437014227226,0,0,0.0343515628033136,0.0343515628033136,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0122209772786896,6.5,0,0,0.0794363523114823,0.0794363523114823,2013-01-01,2023-12-01
"MNGO",0,0,0.00230154201775592,1.39999999999937,0,0,0.00322215882485683,0.00322215882485683,2013-01-01,2023-12-01
"PACHA",0,0,0.000148525103403519,5.97727152062301,0,0,0.000887774870671442,0.000887774870671442,2013-01-01,2023-12-01
"PALAX",0,0,0.00215028345286326,18,0,0,0.0387051021515388,0.0387051021515388,2013-01-01,2023-12-01
"POP",0,0,7.98619666801584e-08,1.2,0,0,9.58343600161901e-08,9.58343600161901e-08,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000434315995462261,13,0,0,0.0056461079410094,0.0056461079410094,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012638888295163,14.7963677722723,0,0,0.187009639447899,0.187009639447899,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00408966476205201,13,0,0,0.0531656419066761,0.0531656419066761,2013-01-01,2023-12-01
"STICK",0,0,0.000655560263821835,1.39999999999998,0,0,0.000917784369350556,0.000917784369350556,2013-01-01,2023-12-01
"SWITCH MODS",0,0,1.18574458725681e-05,1.30050469173564,0,0,1.54206639892762e-05,1.54206639892762e-05,2013-01-01,2023-12-01
"V2 CIGS",0,0,6.6551638900132e-08,1,0,0,6.6551638900132e-08,6.6551638900132e-08,2013-01-01,2023-12-01
"VUSE",0,0,0.519452918247923,5.96256604025343,0,0,3.09727232985561,3.09727232985561,2013-01-01,2023-12-01
"ZEO",0,0,0.000633797877901517,3.00047042022807,0,0,0.00190169178504682,0.00190169178504682,2013-01-01,2023-12-01
