year,mL,deliv_old,deliv_new,corrected_mL,nic_old,nic_new,pct_mL_corrected
2013,27932,911700.480000037,780225.2000000002,27932,32.6,27.9,100
2014,344061,11230151.040001752,9129663.680003326,343787,32.6,26.5,99.9
2015,730441,23841594.24005239,19764450.24003115,640098,32.6,27.1,87.6
2016,1243634.5,40230415.68022083,34710299.440114275,866524.5,32.3,27.9,69.7
2017,1857211.0999998932,50069379.540289566,43558097.47623122,1176620.7999999651,27,23.5,63.4
2018,9990331.100056838,219188474.220015,200077101.82777497,4918337.500001258,21.9,20,49.2
2019,17248421.299845245,497692820.95901746,493633730.551312,7203668.099969878,28.9,28.6,41.8
2020,34659271.600503094,1031001958.0583802,1035921438.4579656,19465261.299989305,29.7,29.9,56.2
2021,78364656.66020519,1280288922.157961,1281659189.4795084,16055989.359988278,16.3,16.4,20.5
2022,85417226.29950306,1283830818.7125862,1285107896.7930396,11746555.19998967,15,15,13.8
2023,84576745.899785,1459214092.4291043,1459909469.5412772,9682936.499991117,17.3,17.3,11.4
