year,upc12,corrected,eff_label,deliv_mg_per_mL,cap,mL_share,flavor,descr
2019,084920500057,TRUE,17.9,12.2,5,0.1,TOBACCO,VUSE E-CGC OGN
2019,084920500058,TRUE,50,34,1,4.8,TOBACCO,VUSE E-CGC OGN
2019,084920500060,TRUE,24,16.3,5,0.1,MENTHOL,VUSE E-CGC MN
2019,084920500061,TRUE,24,16.3,1,2.2,MENTHOL,VUSE E-CGC MN
2019,084920500134,TRUE,24,16.3,0.5,0.6,TOBACCO,VUSE DVC OGN/ECC
2019,084920500137,TRUE,24,16.3,0.5,0,MENTHOL,VUSE DVC MN/ECC
2019,084920500170,FALSE,47.9,32.6,1,0.8,COFFEE/TEA,VUSE E-CGC CREMA
2019,084920500173,FALSE,47.9,32.6,1,0.2,COFFEE/TEA,VUSE E-CGC CHAI
2019,084920500176,FALSE,47.9,32.6,1,1.4,MINT,VUSE E-CGC MINT
2019,084920500269,FALSE,47.9,32.6,1,0.7,BERRY,VUSE E-CGC BERRY
2019,084920500567,FALSE,47.9,32.6,1,0.4,NECTAR,VUSE E-CGC NECTAR
2019,084920500570,FALSE,47.9,32.6,1,0.4,MELON,VUSE E-CGC MELON
2019,084920500780,TRUE,24,16.3,4,0.5,TOBACCO,VS VB E-CG TANK OGN
2019,084920500792,FALSE,30,20.4,4,0.1,NECTAR,VS VB E-CG TANK
2019,084920500798,FALSE,30,20.4,4,0.1,MELON,VS VB MN E-CG TANK 2P
2019,084920501510,TRUE,9,6.1,0.9,0.6,TOBACCO,VUSE CIRO EVC CRG OGN
2019,084920501512,TRUE,9,6.1,2.7,4.2,TOBACCO,VUSE CIRO E-CGC OGN
2019,084920501514,TRUE,9,6.1,2.7,2.4,MENTHOL,VUSE CIRO E-CGC MN
2019,084920501516,FALSE,15,10.2,2.7,1.9,MINT,VUSE CIRO E-CGC MIINT
2019,084920501518,FALSE,15,10.2,2.7,1.4,NECTAR,VUSE CIRO E-CGC NECTAR
2019,084920501520,FALSE,15,10.2,6,2.5,MELON,VUSE CIRO EVPC MELON
2019,084920501529,FALSE,30,20.4,3.8,8.5,TOBACCO,VS VB E-CG TANK OGN
2019,084920501541,TRUE,50,34,3.8,3.7,MENTHOL,ELCT CGRTT VAPOR TANK
2019,084920501619,TRUE,50,34,1.8,2.9,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2019,084920501625,TRUE,50,34,3.6,19.8,MENTHOL,ELCT VAPOR CGRTT CARTRIDGE
2019,084920501628,FALSE,50,34,3.6,3.6,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2019,084920501631,FALSE,50,34,3.6,24,BERRY,ELCT VAPOR CGRTT CARTRIDGE
2019,084920501634,FALSE,50,34,3.6,9.3,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2019,084920501790,FALSE,24,16.3,3.6,0.9,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2019,084920501796,FALSE,50,34,3.6,2.1,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2020,084920500057,TRUE,17.9,12.2,5,0.1,TOBACCO,VUSE E-CGC OGN
2020,084920500058,TRUE,50,34,1,1.4,TOBACCO,VUSE E-CGC OGN
2020,084920500060,TRUE,24,16.3,5,0,MENTHOL,VUSE E-CGC MN
2020,084920500061,TRUE,24,16.3,1,0.7,MENTHOL,VUSE E-CGC MN
2020,084920500134,TRUE,24,16.3,0.5,0.1,TOBACCO,VUSE DVC OGN/ECC
2020,084920500137,TRUE,24,16.3,0.5,0,MENTHOL,VUSE DVC MN/ECC
2020,084920500170,FALSE,47.9,32.6,1,0,COFFEE/TEA,VUSE E-CGC CREMA
2020,084920500173,FALSE,47.9,32.6,1,0,COFFEE/TEA,VUSE E-CGC CHAI
2020,084920500176,FALSE,47.9,32.6,1,0,MINT,VUSE E-CGC MINT
2020,084920500269,FALSE,47.9,32.6,1,0,BERRY,VUSE E-CGC BERRY
2020,084920500567,FALSE,47.9,32.6,1,0,NECTAR,VUSE E-CGC NECTAR
2020,084920500570,FALSE,47.9,32.6,1,0,MELON,VUSE E-CGC MELON
2020,084920500780,TRUE,24,16.3,4,0.4,TOBACCO,VS VB E-CG TANK OGN
2020,084920500792,FALSE,30,20.4,4,0,NECTAR,VS VB E-CG TANK
2020,084920500798,FALSE,30,20.4,4,0,MELON,VS VB MN E-CG TANK 2P
2020,084920501510,TRUE,9,6.1,0.9,0.1,TOBACCO,VUSE CIRO EVC CRG OGN
2020,084920501512,TRUE,9,6.1,2.7,1.4,TOBACCO,VUSE CIRO E-CGC OGN
2020,084920501514,TRUE,9,6.1,2.7,0.9,MENTHOL,VUSE CIRO E-CGC MN
2020,084920501516,FALSE,15,10.2,2.7,0.1,MINT,VUSE CIRO E-CGC MIINT
2020,084920501518,FALSE,15,10.2,2.7,0,NECTAR,VUSE CIRO E-CGC NECTAR
2020,084920501520,FALSE,15,10.2,6,0.1,MELON,VUSE CIRO EVPC MELON
2020,084920501529,FALSE,30,20.4,3.8,4.4,TOBACCO,VS VB E-CG TANK OGN
2020,084920501541,TRUE,50,34,3.8,2.8,MENTHOL,ELCT CGRTT VAPOR TANK
2020,084920501619,TRUE,50,34,1.8,0,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2020,084920501625,TRUE,50,34,3.6,48.3,MENTHOL,ELCT VAPOR CGRTT CARTRIDGE
2020,084920501628,FALSE,50,34,3.6,5.7,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2020,084920501631,FALSE,50,34,3.6,2.3,BERRY,ELCT VAPOR CGRTT CARTRIDGE
2020,084920501634,FALSE,50,34,3.6,2.1,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2020,084920501664,FALSE,96,65.3,1,0.4,REGULAR,ELCT CGRTT CARTRIDGE
2020,084920501790,FALSE,24,16.3,3.6,3.2,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2020,084920501796,FALSE,50,34,3.6,2.4,TOBACCO,ELCT VAPOR CGRTT CARTRIDGE
2020,084920501934,FALSE,50,34,3.6,11.7,TOBACCO,ELCT CGRTT LIQUID POD
2020,084920501946,FALSE,24,16.3,3.6,4.5,TOBACCO,ELCT CGRTT LIQUID POD
2020,084920501970,FALSE,17.9,12.2,3.6,1.7,TOBACCO,ELCT CGRTT LIQUID POD
2020,084920501976,FALSE,17.9,12.2,3.6,4.3,TOBACCO,ELCT CGRTT LIQUID POD
2020,084920502210,FALSE,24,16.3,1.8,0.2,MENTHOL,ELCT CGRTT LIQUID POD
2020,084920502213,FALSE,50,34,1.8,0.5,MENTHOL,ELCT CGRTT LIQUID POD
2020,084920502219,FALSE,24,16.3,1.8,0.1,TOBACCO,ELCT CGRTT LIQUID POD
2020,084920502222,FALSE,50,34,1.8,0.1,TOBACCO,ELCT CGRTT LIQUID POD
2021,084920500057,TRUE,17.9,12.2,5,0,ORIGINAL,VUSE E-CGC OGN
2021,084920500058,TRUE,50,34,1,0.3,ORIGINAL,VUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE ORIGINAL BOX 2 COUNT
2021,084920500060,TRUE,24,16.3,5,0,MENTHOL,VUSE E-CGC MN
2021,084920500061,TRUE,24,16.3,1,0.1,MENTHOL,VUSE E-CGC MN
2021,084920500134,TRUE,24,16.3,0.5,0,TOBACCO,VUSE DVC OGN/ECC
2021,084920500137,TRUE,24,16.3,0.5,0,MENTHOL,VUSE SOLO SMOKING ALTERNATIVE PRODUCT BOX 1 COUNT
2021,084920500170,FALSE,47.9,32.6,1,0,CREMA,VUSE E-CGC CREMA
2021,084920500176,FALSE,47.9,32.6,1,0,MINT,VUSE E-CGC MINT
2021,084920500567,FALSE,47.9,32.6,1,0,NECTAR,VUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE NECTAR BOX 2 COUNT
2021,084920500570,FALSE,47.9,32.6,1,0,MELON,VUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE MELON BOX 2 COUNT
2021,084920500780,TRUE,24,16.3,4,0,TOBACCO,VS VB E-CG TANK OGN
2021,084920500786,FALSE,60,40.8,2,0,MINT,VUSE VIBE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK MINT 2 COUNT
2021,084920500792,FALSE,30,20.4,4,0,NECTAR,VS VB E-CG TANK
2021,084920501510,TRUE,9,6.1,2.7,0,TOBACCO,VUSE CIRO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE CAR ORIGINAL BOX 1 COUNT
2021,084920501512,TRUE,9,6.1,2.7,0.2,ORIGINAL,VUSE CIRO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE ORIGINAL BOX 3 COUNT
2021,084920501514,TRUE,9,6.1,2.7,0.1,MENTHOL,VUSE CIRO E-CGC MN
2021,084920501516,FALSE,15,10.2,2.7,0,MINT,VUSE CIRO E-CGC MIINT
2021,084920501529,FALSE,30,20.4,3.8,1,TOBACCO,VS VB E-CG TANK OGN
2021,084920501532,FALSE,31.6,21.5,3.8,0,MINT,VUSE VIBE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK MINT 2 COUNT
2021,084920501535,FALSE,30,20.4,3.8,0,NECTAR,VUSE VIBE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK NECTAR 2 COUNT
2021,084920501538,FALSE,30,20.4,3.8,0,MELON,VUSE VIBE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE VAPOR TAN MELON BOX 2 COUNT
2021,084920501541,TRUE,50,34,3.61,0.4,MENTHOL,VUSE VIBE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE VAPOR TAN MENTHOL BOX 2 COUNT
2021,084920501544,FALSE,30,20.4,3.8,0,TROPICAL,VUSE VIBE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK TROPICAL 2 COUNT
2021,084920501547,FALSE,30,20.4,3.8,0,FUSION,VUSE VIBE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK FUSION 2 COUNT
2021,084920501619,TRUE,50,34,1.8,0,ORIGINAL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE POD ORIGINAL BOTTLE IN WRAP 1 COUNT
2021,084920501625,TRUE,50,34,3.6,19.3,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE CAR MENTHOL BOTTLE IN WRAP 2 COUNT
2021,084920501628,FALSE,50,34,3.6,2.3,RICH TOBACCO,VUSE ALTO RICH TOB 5CT
2021,084920501631,FALSE,100,68,1.8,0,BERRY,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE POD MIXED BERRY BOTTLE IN WRAP 2 COUNT
2021,084920501634,FALSE,100,68,1.8,0,ORIGINAL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE POD ORIGINAL BOTTLE IN WRAP 2 COUNT
2021,084920501664,FALSE,192.1,130.6,0.5,0,ORIGINAL,VUSE SOLO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE ORIGINAL BOX 2 COUNT
2021,084920501667,FALSE,50,34,0.5,0,MENTHOL,VUSE SOLO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE ORIGINAL BOX 2 COUNT
2021,084920501712,FALSE,30,20.4,1.9,0,ORIGINAL,VUSE VIBE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN ORIGINAL BOX 1 COUNT
2021,084920501787,FALSE,24,16.3,1.8,0,MINT,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE POD MINT BOX 2 COUNT
2021,084920501790,FALSE,24,16.3,3.6,1.1,RICH TOBACCO,VUSE ALTO RICH TOB POD 2.4%
2021,084920501791,FALSE,24,16.3,3.6,0,RICH TOBACCO,VUSE ALTO RICH TOB POD 2.4%
2021,084920501796,FALSE,50,34,3.6,0,ORIGINAL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE CAR ORIGINAL ORIGINAL BOX 2 COUNT
2021,084920501934,FALSE,50,34,3.6,3.7,GOLDEN TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLDEN TOBACCO ORIGINALS BOX 5 COUNT
2021,084920501935,FALSE,50,34,9,0,GOLDEN TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLDEN TOBACCO ORIGINALS BOX 5 COUNT
2021,084920501946,FALSE,24,16.3,3.6,2.1,GOLDEN TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLDEN TOBACCO ORIGINALS BOX 5 COUNT
2021,084920501967,FALSE,9,6.1,3.6,5.6,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL ORIGINALS BOX 2 COUNT
2021,084920501970,FALSE,17.9,12.2,3.6,0.8,RICH TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT RICH TOBACCO 1 COUNT
2021,084920501976,FALSE,17.9,12.2,3.6,2.7,GOLDEN TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT RICH TOBACCO 1 COUNT
2021,084920501991,FALSE,24,16.3,3.6,5.2,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL ORIGINALS BOX 2 COUNT
2021,084920501992,FALSE,24,16.3,9,0,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL ORIGINALS BOX 5 COUNT
2021,084920502162,FALSE,100,68,1.8,0.1,NA,VUSE ANTISMOKING PRODUCT 1 COUNT
2021,084920502210,FALSE,24,16.3,1.8,0.8,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT
2021,084920502213,FALSE,50,34,1.8,2.6,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT
2021,084920502219,FALSE,24,16.3,1.8,0.3,TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLDEN TOBACCO ORIGINALS BOX IN WRAP 1 COUNT
2021,084920502222,FALSE,50,34,1.8,0.6,TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT 1 COUNT
2021,084920502342,FALSE,6,4.1,7.2,8.4,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT
2021,084920502345,FALSE,12.5,8.5,7.2,30.9,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT
2021,084920502346,FALSE,50,34,36,0,MENTHOL,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL ORIGINALS BOX 4 COUNT X5
2021,084920502351,FALSE,6,4.1,7.2,4,GOLDEN TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT GOLD 1 COUNT
2021,084920502354,FALSE,12.5,8.5,7.2,7.2,GOLDEN TOBACCO,VUSE ALTO SMOKING ALTERNATIVE PRODUCT GOLD 1 COUNT
2022,084920500057,TRUE,17.9,12.2,5,0,TOBACCO,VUSE E-CGC OGN
2022,084920500058,TRUE,50,34,1,0.1,TOBACCO,VUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE ORIGINAL BOX 2 COUNT
2022,084920500060,TRUE,24,16.3,5,0,MENTHOL,VUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE MENTHOL BOX 5 COUNT
2022,084920500061,TRUE,24,16.3,1,0,MENTHOL,VUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE MENTHOL BOX 2 COUNT
2022,084920500134,TRUE,24,16.3,0.5,0,TOBACCO,VUSE SOLO SMOKING ALTERNATIVE PRODUCT BOX 1 COUNT
2022,084920500137,TRUE,24,16.3,0.5,0,MENTHOL,VUSE DVC MN/ECC
2022,084920500170,FALSE,47.9,32.6,1,0,COFFEE/TEA,VUSE E-CGC CREMA
2022,084920500173,FALSE,47.9,32.6,1,0,COFFEE/TEA,VUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE CHAI BOX 2 COUNT
2022,084920500176,FALSE,47.9,32.6,1,0,MINT,VUSE E-CGC MINT
2022,084920500780,TRUE,24,16.3,4,0,TOBACCO,VS VB E-CG TANK OGN
2022,084920501510,TRUE,9,6.1,0.9,0,TOBACCO,VUSE CIRO EVC CRG OGN
2022,084920501512,TRUE,9,6.1,2.7,0,TOBACCO,VUSE CIRO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE ORIGINAL BOX 3 COUNT
