"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE","Closed pod",0.0831758171764453,28.1245228047741,4.18938514026296e-06,17.408,-0.891355541577094,-2.33916234252674,0.8913106459357,-2.33920723816813,2013-01-01,2023-12-01
"BLU","Closed pod",0.380152255244767,54.4600643041475,0.00714740019380425,54.7495191103446,0.110036897367272,-20.3138683918347,-0.107968048029362,-20.3117995424967,2013-01-01,2023-12-01
"BLU","Disposable",0.197809995713043,16.3199999999963,0.00206988355500398,36.1476000217901,3.92209747531097,-3.19447863041847,-3.88105665209066,-3.15343780719816,2013-01-01,2023-12-01
"CIG2O","Closed pod",2.82061878957712e-05,33.7502040816327,0,0,-0.000951964597847153,-0.000951964597847153,0.000951964597847153,-0.000951964597847153,2013-01-01,2023-12-01
"E SWISHER","Closed pod",4.02945541368159e-06,36.72,0,0,-0.000147961602790388,-0.000147961602790388,0.000147961602790388,-0.000147961602790388,2013-01-01,2023-12-01
"FINITI","Closed pod",0.0940703229360059,42.0991858081055,0,0,-3.9602840043114,-3.9602840043114,3.9602840043114,-3.9602840043114,2013-01-01,2023-12-01
"FINITI","Open refill",0.108019122320343,16.810222062655,0,0,-1.81582543321805,-1.81582543321805,1.81582543321805,-1.81582543321805,2013-01-01,2023-12-01
"FLAVORED MIST","Disposable",9.06250583039878e-05,14.688,0,0,-0.00133110085636897,-0.00133110085636897,0.00133110085636897,-0.00133110085636897,2013-01-01,2023-12-01
"GREEN SMOKE","Closed pod",0.000970427178794984,46.9044705882352,0,0,-0.0455173730658134,-0.0455173730658134,0.0455173730658134,-0.0455173730658134,2013-01-01,2023-12-01
"GREEN SMOKE","Open refill",3.62650987231343e-05,19.584,0,0,-0.000710215693393863,-0.000710215693393863,0.000710215693393863,-0.000710215693393863,2013-01-01,2023-12-01
"LOGIC","Closed pod",0.000992857813931147,16.3199999999999,0.0125718080409579,37.4971126911361,0.021025861811895,0.188968467705076,0.245208733802803,0.455203063319774,2013-01-01,2023-12-01
"MISTIC","Closed pod",0.0391736939559102,50.496466752407,0,0,-1.97813313441359,-1.97813313441359,1.97813313441359,-1.97813313441359,2013-01-01,2023-12-01
"MISTIC","Disposable",0.00574701078376337,14.6879999999999,0,0,-0.0844120943919156,-0.0844120943919156,0.0844120943919156,-0.0844120943919156,2013-01-01,2023-12-01
"NICOTEK","Closed pod",0.0257200139055296,32.7936648501505,0,0,-0.843453515959149,-0.843453515959149,0.843453515959149,-0.843453515959149,2013-01-01,2023-12-01
"NICOTEK","Disposable",4.69907709724381e-05,14.688,0,0,-0.000690200444043171,-0.000690200444043171,0.000690200444043171,-0.000690200444043171,2013-01-01,2023-12-01
"NICOTEK","Open refill",0.00388909605010502,12.24,0,0,-0.0476025356532855,-0.0476025356532855,0.0476025356532855,-0.0476025356532855,2013-01-01,2023-12-01
"NJOY","Closed pod",0.028828738757185,64.5873994864909,0.110790528737016,105.442713213716,1.177807166285,5.29369887205525,3.34857464327095,9.8200806816112,2013-01-01,2023-12-01
"NJOY","Disposable",0.0305091559798707,58.6751064651347,0.0195204858824541,44.0982859198289,-0.444726491707318,-0.64476138787616,0.160179872041609,-0.929308007541869,2013-01-01,2023-12-01
"QUIK E-CIG","Disposable",0.000248483083843698,14.688,0,0,-0.00364971953549624,-0.00364971953549624,0.00364971953549624,-0.00364971953549624,2013-01-01,2023-12-01
"UNKNOWN","Closed pod",0.000486892529153193,12.2399999999999,0,0,-0.00595956455683501,-0.00595956455683501,0.00595956455683501,-0.00595956455683501,2013-01-01,2023-12-01
"AIRIS","Disposable",0,0,5.2367314253287e-06,102,0,0,0.000534146605383527,0.000534146605383527,2013-01-01,2023-12-01
"AVATA","Disposable",0,0,0.000679465902436399,190.675144508671,0,0,0.129557259135775,0.129557259135775,2013-01-01,2023-12-01
"BIDI","Disposable",0,0,0.00303484296292136,105.119161104485,0,0,0.319020146346142,0.319020146346142,2013-01-01,2023-12-01
"BO VAPING","Closed pod",0,0,6.41499599602766e-07,102,0,0,6.54329591594821e-05,6.54329591594821e-05,2013-01-01,2023-12-01
"BREEZE","Disposable",0,0,0.0807060172797389,204,0,0,16.4640275250667,16.4640275250667,2013-01-01,2023-12-01
"EPIC","Disposable",0,0,1.57101942759861e-06,34,0,0,5.34146605383527e-05,5.34146605383527e-05,2013-01-01,2023-12-01
"ESCO BARS","Disposable",0,0,0.00136594555564817,102.000059108668,0,0,0.139326527415335,0.139326527415335,2013-01-01,2023-12-01
"FUME","Disposable",0,0,4.16320148313632e-05,102,0,0,0.00424646551279904,0.00424646551279904,2013-01-01,2023-12-01
"GLAS","Closed pod",0,0,0.000586657929751016,73.945720386517,0,0,0.0433808432359016,0.0433808432359016,2013-01-01,2023-12-01
"HYDE","Disposable",0,0,4.18938514026296e-07,27.2,0,0,1.13951275815153e-05,1.13951275815153e-05,2013-01-01,2023-12-01
