"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE",0.0831758171764453,13.711929423725,4.18938514026296e-06,18.99,0.439007833296626,-1.1404434903307,-0.438985721426184,-1.14042137846026,2013-01-01,2023-12-01
"BLU",0.57796225095781,36.9825616857075,0.00921728374880824,11.3719276288267,-14.8019797079716,-21.0336458332426,14.5659192268824,-21.2697063143318,2013-01-01,2023-12-01
"CIG2O",2.82061878957712e-05,18.5832013185353,0,0,-0.000524161268095549,-0.000524161268095549,0.000524161268095549,-0.000524161268095549,2013-01-01,2023-12-01
"E SWISHER",4.02945541368159e-06,13.066914039066,0,0,-5.26525475148266e-05,-5.26525475148266e-05,5.26525475148266e-05,-5.26525475148266e-05,2013-01-01,2023-12-01
"FINITI",0.202089445256349,18.6085121279453,0,0,-3.7605838929825,-3.7605838929825,3.7605838929825,-3.7605838929825,2013-01-01,2023-12-01
"FLAVORED MIST",9.06250583039878e-05,10.4509152324462,0,0,-0.000947114802270472,-0.000947114802270472,0.000947114802270472,-0.000947114802270472,2013-01-01,2023-12-01
"GREEN SMOKE",0.00100669227751812,16.0756247294684,0,0,-0.0161832072714351,-0.0161832072714351,0.0161832072714351,-0.0161832072714351,2013-01-01,2023-12-01
"LOGIC",0.000992857813931147,13.0416883362879,0.01279222206665,9.43021432171383,-0.00358568019517915,0.153883631150296,-0.0426130973871884,0.107684853567929,2013-01-01,2023-12-01
"MISTIC",0.0449207047396735,19.6038520777357,0,0,-0.880618850944201,-0.880618850944201,0.880618850944201,-0.880618850944201,2013-01-01,2023-12-01
"NICOTEK",0.0296561007266071,16.134760653694,0,0,-0.478494087145647,-0.478494087145647,0.478494087145647,-0.478494087145647,2013-01-01,2023-12-01
"NJOY",0.0593378947370557,18.8043405533318,0.130311014619471,9.1597237784577,-0.572291254966719,1.33460271640137,-0.684508542583087,0.0778029188515652,2013-01-01,2023-12-01
"QUIK E-CIG",0.000248483083843698,17.0439392518327,0,0,-0.00423513058614003,-0.00423513058614003,0.00423513058614003,-0.00423513058614003,2013-01-01,2023-12-01
"UNKNOWN",0.000486892529153193,40.6016365401993,0.00190443557153501,22.5736927369084,-0.00877767115381591,0.0575545673868747,-0.0255553863068053,0.0232215099262535,2013-01-01,2023-12-01
"AIRIS",0,0,5.2367314253287e-06,19.99,0,0,0.000104682261192321,0.000104682261192321,2013-01-01,2023-12-01
"AVATA",0,0,0.000679465902436399,24.9900000000001,0,0,0.0169798529018856,0.0169798529018856,2013-01-01,2023-12-01
"BIDI",0,0,0.00303484296292136,14.167575025369,0,0,0.0429963653674016,0.0429963653674016,2013-01-01,2023-12-01
"BO VAPING",0,0,6.41499599602766e-07,1,0,0,6.41499599602766e-07,6.41499599602766e-07,2013-01-01,2023-12-01
"BREEZE",0,0,0.0807060172797389,20.1856558322639,0,0,1.62910388840155,1.62910388840155,2013-01-01,2023-12-01
"EPIC",0,0,1.57101942759861e-06,0.25,0,0,3.92754856899652e-07,3.92754856899652e-07,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.00136594555564817,17.9911605120694,0,0,0.024574945742414,0.024574945742414,2013-01-01,2023-12-01
