"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE","Closed pod",0.0831758171764453,10.8817130164554,4.18938514026296e-06,10.88,-0.000142481543517641,-0.905049784736431,0.000142474367031957,-0.905049791912917,2013-01-01,2023-12-01
"BLU","Closed pod",0.380152255244767,10.8920128608295,0.00714740019380425,17.9266638839275,2.67423845129061,-4.06277367836693,-2.62395898520477,-4.0124942122811,2013-01-01,2023-12-01
"BLU","Disposable",0.197809995713043,16.3199999999963,0.00206988355500398,21.751570159071,1.07441886988167,-3.19447863041847,-1.06317615213155,-3.18323591266835,2013-01-01,2023-12-01
"CIG2O","Closed pod",2.82061878957712e-05,12.4342857142857,0,0,-0.000350723799206846,-0.000350723799206846,0.000350723799206846,-0.000350723799206846,2013-01-01,2023-12-01
"E SWISHER","Closed pod",4.02945541368159e-06,12.24,0,0,-4.93205342634627e-05,-4.93205342634627e-05,4.93205342634627e-05,-4.93205342634627e-05,2013-01-01,2023-12-01
"FINITI","Closed pod",0.0940703229360059,9.50457798020844,0,0,-0.894098719968659,-0.894098719968659,0.894098719968659,-0.894098719968659,2013-01-01,2023-12-01
"FINITI","Open refill",0.108019122320343,9.60584117865998,0,0,-1.03761453326746,-1.03761453326746,1.03761453326746,-1.03761453326746,2013-01-01,2023-12-01
"FLAVORED MIST","Disposable",9.06250583039878e-05,0.979607222722486,0,0,-8.87769616742329e-05,-8.87769616742329e-05,8.87769616742329e-05,-8.87769616742329e-05,2013-01-01,2023-12-01
"GREEN SMOKE","Closed pod",0.000970427178794984,16.32,0,0,-0.0158373715579341,-0.0158373715579341,0.0158373715579341,-0.0158373715579341,2013-01-01,2023-12-01
"GREEN SMOKE","Open refill",3.62650987231343e-05,19.584,0,0,-0.000710215693393863,-0.000710215693393863,0.000710215693393863,-0.000710215693393863,2013-01-01,2023-12-01
"LOGIC","Closed pod",0.000992857813931147,13.5999999999999,0.0125718080409579,13.9988202595289,0.000395971811027366,0.157473723087563,0.00461791993461562,0.162487614833206,2013-01-01,2023-12-01
"MISTIC","Closed pod",0.0391736939559102,10.5864847165313,0,0,-0.414711712354318,-0.414711712354318,0.414711712354318,-0.414711712354318,2013-01-01,2023-12-01
"MISTIC","Disposable",0.00574701078376337,5.87519999999995,0,0,-0.0337648377567663,-0.0337648377567663,0.0337648377567663,-0.0337648377567663,2013-01-01,2023-12-01
"NICOTEK","Closed pod",0.0257200139055296,11.621895660347,0,0,-0.29891531799274,-0.29891531799274,0.29891531799274,-0.29891531799274,2013-01-01,2023-12-01
"NICOTEK","Disposable",4.69907709724381e-05,1.46941083408373,0,0,-6.90487479688478e-05,-6.90487479688478e-05,6.90487479688478e-05,-6.90487479688478e-05,2013-01-01,2023-12-01
"NICOTEK","Open refill",0.00388909605010502,12.24,0,0,-0.0476025356532855,-0.0476025356532855,0.0476025356532855,-0.0476025356532855,2013-01-01,2023-12-01
"NJOY","Closed pod",0.028828738757185,19.2737158431752,0.110790528737016,27.7481497289611,0.244307240608358,1.57970825006928,0.694579770344751,2.51859526102239,2013-01-01,2023-12-01
"NJOY","Disposable",0.0305091559798707,20.4692884752525,0.0195204858824541,35.9338389523778,0.471810382665202,-0.224930258183401,-0.169934843397977,0.0769452810838241,2013-01-01,2023-12-01
"QUIK E-CIG","Disposable",0.000248483083843698,2.9376,0,0,-0.000729943907099248,-0.000729943907099248,0.000729943907099248,-0.000729943907099248,2013-01-01,2023-12-01
"UNKNOWN","Closed pod",0.000486892529153193,12.2399999999999,0,0,-0.00595956455683501,-0.00595956455683501,0.00595956455683501,-0.00595956455683501,2013-01-01,2023-12-01
"AIRIS","Disposable",0,0,5.2367314253287e-06,6.375,0,0,3.33841628364705e-05,3.33841628364705e-05,2013-01-01,2023-12-01
"AVATA","Disposable",0,0,0.000679465902436399,15.8895953757225,0,0,0.0107964382613145,0.0107964382613145,2013-01-01,2023-12-01
"BIDI","Disposable",0,0,0.00303484296292136,56.1493693165033,0,0,0.170404518342663,0.170404518342663,2013-01-01,2023-12-01
"BO VAPING","Closed pod",0,0,6.41499599602766e-07,145.714285714286,0,0,9.34756559421173e-05,9.34756559421173e-05,2013-01-01,2023-12-01
"BREEZE","Disposable",0,0,0.0807060172797389,34,0,0,2.74400458751112,2.74400458751112,2013-01-01,2023-12-01
"EPIC","Disposable",0,0,1.57101942759861e-06,22.6666666666667,0,0,3.56097736922352e-05,3.56097736922352e-05,2013-01-01,2023-12-01
"ESCO BARS","Disposable",0,0,0.00136594555564817,17.0006949201058,0,0,0.0232220236690489,0.0232220236690489,2013-01-01,2023-12-01
"FUME","Disposable",0,0,4.16320148313632e-05,8.5,0,0,0.000353872126066587,0.000353872126066587,2013-01-01,2023-12-01
"GLAS","Closed pod",0,0,0.000586657929751016,40.8734462520364,0,0,0.0239787313600091,0.0239787313600091,2013-01-01,2023-12-01
"HYDE","Disposable",0,0,4.18938514026296e-07,17,0,0,7.12195473844703e-06,7.12195473844703e-06,2013-01-01,2023-12-01
"HYPPE","Disposable",0,0,0.0345376183920419,33.9983245549362,0,0,1.17422115944718,1.17422115944718,2013-01-01,2023-12-01
"IGNITE","Disposable",0,0,0.000747065559223121,21.4051013344779,0,0,0.0159910139986694,0.0159910139986694,2013-01-01,2023-12-01
"IMIRACLE","Disposable",0,0,0.00016521887646912,14.4944532488114,0,0,0.00239475728080281,0.00239475728080281,2013-01-01,2023-12-01
