"check_priority","upc","brand_filled","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","implied_raw_mg_per_mL","review_flag","total_units"
"1-no-value","081342001259","KRAVE","KRAVE E-CG OGN","KRAVE E-CG OGN",1,NA,"none",NA,"",68900
"1-no-value","081342001260","KRAVE","KRAVE E-CG MN","KRAVE E-CG MN",1,NA,"none",NA,"",62069
"1-no-value","085000134243",NA,NA,NA,NA,NA,"none",NA,"",35392
"1-no-value","085607300311","JAK","JAK E-CG REGULAR","JAK E-CG REGULAR",1,NA,"none",NA,"",35043
"1-no-value","081085902000","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB",1,NA,"none",NA,"",28856
"1-no-value","085000134237",NA,NA,NA,NA,NA,"none",NA,"",24954
"1-no-value","085607300312","JAK","JAK E-CG MN","JAK E-CG MN",1,NA,"none",NA,"",24817
"1-no-value","085000134234",NA,NA,NA,NA,NA,"none",NA,"",23984
"1-no-value","085570400539","MISTIC",NA,NA,NA,NA,"none",NA,"",23607
"1-no-value","075166726863",NA,NA,NA,NA,NA,"none",NA,"",22057
"1-no-value","081085902006","ZOOM","ZOOM E-CG MN","ZOOM E-CG MN",1,NA,"none",NA,"",21967
"1-no-value","075166726879",NA,NA,NA,NA,NA,"none",NA,"",20230
"1-no-value","075166726883","VOODOO","VOODOO E-HOOKAH EHOK WCWML","VOODOO E-HOOKAH EHOK WCWML",1,NA,"none",NA,"",19052
"1-no-value","081085902003","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB",1,NA,"none",NA,"",18258
"1-no-value","085604000300","VICTORY","VICTORY E-CG TOB","VICTORY E-CG TOB",1,NA,"none",NA,"",17357
"1-no-value","085013000743","COSMIC FOG","CSM FG ECGL SONRISE","CSM FG ECGL SONRISE",1,NA,"none",NA,"",17121
"1-no-value","081085902009","ZOOM","ZOOM E-CG MN","ZOOM E-CG MN",1,NA,"none",NA,"",15187
"1-no-value","085604000306","VICTORY","VICTORY E-CGC RFL","VICTORY E-CGC RFL",5,NA,"none",NA,"",14485
"1-no-value","081713502417",NA,NA,NA,NA,NA,"none",NA,"",13212
"1-no-value","085452700318","VIENTI","VIENTI E-CGC","VIENTI E-CGC",5,NA,"none",NA,"",13113
"1-no-value","085452700319","VIENTI","VIENTI E-CGC MN","VIENTI E-CGC MN",5,NA,"none",NA,"",12267
"1-no-value","079997584256","VX BRANDZ","VX BRANDZ E-CG CLMR/BT&ECC","VX BRANDZ E-CG CLMR/BT&ECC",1,NA,"none",NA,"",10803
"1-no-value","085604000302","VICTORY","VICTORY E-CG MN","VICTORY E-CG MN",1,NA,"none",NA,"",10097
"1-no-value","085570400540","MISTIC",NA,NA,NA,NA,"none",NA,"",9674
"1-no-value","085607300315","JAK","JAK E-CG VANILLA","JAK E-CG VANILLA",1,NA,"none",NA,"",7926
"1-no-value","071275599740","XFIRE","XFIRE E-CG LIQUID POD MANGO","XFIRE E-CG LIQUID POD MANGO",4,NA,"none",NA,"",7657
"1-no-value","085604000308","VICTORY","VICTORY E-CGC MN RFL","VICTORY E-CGC MN RFL",5,NA,"none",NA,"",7453
"1-no-value","081085902012","ZOOM","ZOOM E-CG TOB","ZOOM E-CG TOB",3,NA,"none",NA,"",6511
"1-no-value","088886111000","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,NA,"none",NA,"",6496
"1-no-value","085607300316","JAK","JAK E-CG GRAPE","JAK E-CG GRAPE",1,NA,"none",NA,"",6102
"1-no-value","085604000312","VICTORY","VICTORY E-CGC RFL","VICTORY E-CGC RFL",5,NA,"none",NA,"",5857
"1-no-value","071275599739","XFIRE","XFIRE E-CG LIQUID POD MINT","XFIRE E-CG LIQUID POD MINT",4,NA,"none",NA,"",5806
"1-no-value","088886111004","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BLUEBERRY BOX 1 COUNT",1,NA,"none",NA,"",5555
"1-no-value","081085902018","ZOOM","ZOOM E-CG MN BOLD","ZOOM E-CG MN BOLD",3,NA,"none",NA,"",5420
"1-no-value","081009691192","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY PEACH JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,"",5277
"1-no-value","085607300384","JAK","JAK E-CG PASSION","JAK E-CG PASSION",1,NA,"none",NA,"",5108
"1-no-value","088886111002","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,NA,"none",NA,"",5083
"1-no-value","088886111003","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,NA,"none",NA,"",4979
"1-no-value","068808300402","WHISL","WHISL","WHISL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TO FOCUS ON THE TASK AT HAND BOX 2 COUNT",2,NA,"none",NA,"",4978
"1-no-value","085607300314","JAK","JAK E-CG CHERRY","JAK E-CG CHERRY",1,NA,"none",NA,"",4714
"1-no-value","081009691190","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON STRAWBERRY MESH COIL BOX 1 COUNT",1,NA,"none",NA,"",4511
"1-no-value","081009691194","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO FRESH MINT JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,"",4451
"1-no-value","088886111005","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MANGO ICE BOX 1 COUNT",1,NA,"none",NA,"",4448
"1-no-value","088886111006","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT",1,NA,"none",NA,"",4432
"1-no-value","085539000300","FLAVOR VAPES","FLAVOR VAPES E-CG TOB","FLAVOR VAPES E-CG TOB",1,NA,"none",NA,"",4403
"1-no-value","088886111007","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BANANA ICE BOX 1 COUNT",1,NA,"none",NA,"",4368
"1-no-value","085607300324","JAK","JAK E-CG PINEAPPLE","JAK E-CG PINEAPPLE",4,NA,"none",NA,"",4336
"1-no-value","085607300385","JAK","JAK E-CG BLACKBERRY","JAK E-CG BLACKBERRY",1,NA,"none",NA,"",4233
"1-no-value","085607300383","JAK","JAK E-CG BERRY","JAK E-CG BERRY",1,NA,"none",NA,"",3821
"1-no-value","085452700314","VIENTI","VIENTI E-CG VOF","VIENTI E-CG VOF",1,NA,"none",NA,"",3789
"1-no-value","081009691189","JUICE","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON LIME JUICE HEAD BOX 1 COUNT",1,NA,"none",NA,"",3731
"1-no-value","002145801000","CLEAN CIG","CLEAN CIG E-CGA REGULAR","CLEAN CIG E-CGA REGULAR",5,NA,"none",NA,"",3567
"1-no-value","088886111001","INFUSE","INFUSE","INFUSE SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE BERRY ICE BOX 1 COUNT",1,NA,"none",NA,"",3396
"1-no-value","085452700315","VIENTI","VIENTI E-CG MN VOF","VIENTI E-CG MN VOF",1,NA,"none",NA,"",2951
"1-no-value","001396427296","SMART SMOKE","SMART SMOKE E-CG RFL","SMART SMOKE E-CG RFL",2,NA,"none",NA,"",2568
"1-no-value","081190403395","SOCIAL",NA,NA,1,NA,"none",NA,"",2099
"1-no-value","089961000241","CIGIREX","CIGIREX E-CG REGULAR VO","CIGIREX E-CG REGULAR VO",1,NA,"none",NA,"",1999
"1-no-value","002145805007","CLEAN CIG","CLN-CG E-CGA REGULAR","CLN-CG E-CGA REGULAR",5,NA,"none",NA,"",1729
