row_id,upc,prefix8,brand_filled,product_line,product_descr,imputed_num_cartridges,imputed_mL_per_cartridge,imputed_total_mL,imputed_nic_mg_per_ml,total_units,candidate_row_id,candidate_upc,candidate_brand,candidate_product_line,candidate_product_descr,candidate_assessment,candidate_confidence,candidate_verified_device_type,candidate_verified_mL_per_cartridge,candidate_verified_num_cartridges,candidate_verified_total_mL,candidate_verified_nic_pct,candidate_verified_nic_mg_per_ml,product_similarity_score,upc_distance,action,candidate_source_url,candidate_notes
49,081068701775,08106870,NJOY,NJOY E-CG LIQUID MN,NJOY E-CG LIQUID MN,1,10,10,10,96566,336,081068701413,NJOY,NJOY ONE JOY E-CG MN,NJOY ONE JOY E-CG MN,PARTIAL,Low,Disposable,,,,4.5,45,0.604,362,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
56,081068701686,08106870,NJOY,NJOY E-CGCM GOLD TOB RFL,NJOY E-CGCM GOLD TOB RFL,2,1,2,30,83411,584,081068701492,NJOY,NJOY POD CLASSIC TOB 5%,NJOY POD CLASSIC TOB 5%,PARTIAL,High,Closed pod,1.9,2,3.8,5,58,0.434,194,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.directionsforme.org/product/225293;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"DirectionsForMe and NC directory verify NJOY Ace Classic Tobacco 5% pods: 2 x 1.9 mL, 5% by weight, 58 mg/mL."
67,088796901129,08879690,BLU,BLU,BLU SMOKING ALTERNATIVE PRODUCT TOBACCO 2 COUNT,2,1.5,3,24.8,64800,433,088796900501,BLU,BLU,BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE MENTHOL CARTOON 1 COUNT,PARTIAL,Medium,Disposable,1,1,1,2.4,24,0.488,628,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://support-us.blu.com/hc/en-us/articles/360011600480-Why-am-I-limited-on-how-much-product-I-can-purchase-every-30-days;https://support-us.blu.com/hc/en-us/articles/360011705519-What-are-the-nicotine-levels-and-ingredients-in-the-disposables,"Matched to blu disposable/one-count e-cigarette family. Official support says blu disposables are approx. 1 mL, one device per pack, and available in 2.4% and 4.5% strengths; 2.4% used where row estimate/product family indicates 24 mg/mL."
93,081068701485,08106870,NJOY,ELCT CGRTT CARTRIDGE,ELCT CGRTT CARTRIDGE,1,3.8,3.8,12.6,36140,336,081068701413,NJOY,NJOY ONE JOY E-CG MN,NJOY ONE JOY E-CG MN,PARTIAL,Low,Disposable,,,,4.5,45,0.176,72,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
96,084920501522,08492050,VUSE,ELCT CGRTT CARTRIDGE,ELCT CGRTT CARTRIDGE,3,1.63,4.9,20.8,33315,6,084920501667,VUSE,ELCT CGRTT CARTRIDGE,ELCT CGRTT CARTRIDGE,PARTIAL,High,Closed pod,0.5,2,1,4.8,48,1.0,145,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://lighterusa.com/products/vuse-solo-cartridges-2-pack,"Vuse Solo cartridge retail source verifies 2 sealed cartridges per pack, 0.5 mL each, 4.8% / 48 mg nicotine."
99,081505802212,08150580,LOGIC,LOGIC LQD ECGT,LOGIC LQD ECGT,1,3,3,18,32811,295,081505802030,LOGIC,LOGIC E-CGC TOB,LOGIC E-CGC TOB,PARTIAL,Low,Closed pod,,5,,2.4,24,0.487,182,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.themagicmist.com/Logic-ecig-Compatible-Cartridges-p/logic-compatible-cartridges.htm,Only partially verified from compatible-cartridge source: compatible pack has 5 carts and Platinum 2.4% maps to 24 mg/mL. Original mL not verified.
102,081068701690,08106870,NJOY,NJOY E-CGCM VANILLA BEAN RFL,NJOY E-CGCM VANILLA BEAN RFL,2,1,2,30,29822,336,081068701413,NJOY,NJOY ONE JOY E-CG MN,NJOY ONE JOY E-CG MN,PARTIAL,Low,Disposable,,,,4.5,45,0.374,277,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://www.njoy-llc.com/?src=logo,"Matched to NJOY one-use/disposable product family; official NJOY source confirms Daily disposable products at 4.5% and 6.0%, but exact mL/SKU not verified."
105,081990502560,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,28698,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,227,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
108,081505802006,08150580,LOGIC,LOGIC POWER E-CGC CHERRY,LOGIC POWER E-CGC CHERRY,3,0.45,1.35,24,26888,389,081505802046,LOGIC,LOGIC POWER E-CG CHERRY,LOGIC POWER E-CG CHERRY,PARTIAL,Medium,Closed pod,1.2,1,1.2,2.7,27,0.854,40,HINT_ONLY_WEAK_OR_DIFFERENT_DESCRIPTION,https://directionsforme.org/product/230436,Matched to LOGIC Power device/starter family; cartridge source verifies 1.2 mL and 27 mg/mL. One included cartridge inferred from one-count product context.
110,081990502793,08199050,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,1,2.6,2.6,50,26376,35,081990502787,NJOY,ELCT CGRTT LIQUID POD,ELCT CGRTT LIQUID POD,PARTIAL,Low,Closed pod,1.9,1,1.9,5,58,1.0,6,PROPAGATED_EXACT_DESCRIPTION_MATCH,https://www.njoy-llc.com/?src=logo;https://www.ncdor.gov/taxes-forms/other-taxes-and-fees/vapor-product-and-consumable-product-certification-and-directory/vapor-certification-directory,"Likely NJOY Ace pod family based on pod product family and 5% imputation, but row text lacks flavor/count detail; source confirms Ace pod family/strengths, exact SKU not fully verified."
