"category","upc","brand_filled","brand_source","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","mL_n_siblings","mL_sibling_lo","mL_sibling_hi","nic_yield_tot_imputed","nic_rule","implied_raw_mg_per_mL","t2_type_override","review_flag","total_units"
"bare UPC (needs barcode lookup)","081068701482","NJOY","prefix",NA,NA,NA,3.8,"prefix11",2,3.8,3.8,32.64,"prefix11",12.6,NA,"ok",2928816
"bare UPC (needs barcode lookup)","081991301158","JUUL","prefix",NA,NA,NA,2.8,"prefix10",7,2.8,2.8,95.2,"prefix10",50,NA,"ok",2377287
"hardware/device (exclude)","084920502114","VUSE","raw","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",0,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",2145418
"bare UPC (needs barcode lookup)","084920501991","VUSE","manual_upc",NA,NA,2,3.6,"manual_upc",NA,NA,NA,44.064,"manual_upc",18,"Closed pod","ok:manual",1838505
"bare UPC (needs barcode lookup)","084004820296","JUUL","manual_upc",NA,NA,4,2.8,"manual_upc",NA,NA,NA,57.12,"manual_upc",30,"Closed pod","ok:manual",1754954
"hardware/device (exclude)","084920502117","VUSE","raw",NA,"VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR DEVICE BOX 1 COUNT",0,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",1714546
"bare UPC (needs barcode lookup)","084920501622","VUSE","prefix",NA,NA,NA,3.6,"prefix11",2,3.6,3.6,122.4,"prefix11",50,NA,"ok",1566972
"bare UPC (needs barcode lookup)","081991301543","JUUL","prefix",NA,NA,NA,1.4,"prefix10",8,1.4,1.4,47.6,"prefix10",50,NA,"ok",1406027
"bare UPC (needs barcode lookup)","081991301137","JUUL","prefix",NA,NA,NA,2.8,"prefix11",3,2.8,2.8,95.2,"prefix11",50,NA,"ok",1351013
"bare UPC (needs barcode lookup)","084920501967","VUSE","manual_upc",NA,NA,2,3.6,"manual_upc",NA,NA,NA,44.064,"manual_upc",18,"Closed pod","ok:manual",938213
"e-liquid (impute mL)","081536802035","NJOY","raw","ELCT CGRTT","ELCT CGRTT",1,1,"prefix11",1,1,1,30.6,"prefix11",45,NA,"note:single_sibling",640262
"e-liquid (impute mL)","088796901130","BLU","raw","BLU","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT",2,3,"gpt_verified",NA,NA,NA,50.592,"prefix11",24.8,"Closed pod","ok:gpt-high",460117
"hardware/device (exclude)","084920502120","VUSE","raw","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",0,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",414106
"e-liquid (impute mL)","088796900560","BLU","raw","BLECGS+ ECGT CT","BLECGS+ ECGT CT",1,1,"gpt_verified",NA,NA,NA,16.32,"gpt_verified",24,"Closed pod","ok:gpt-medium",372082
"bare UPC (needs barcode lookup)","088796901108","BLU","prefix",NA,NA,NA,3,"prefix10",2,3,3,50.592,"prefix10",24.8,NA,"ok",363985
"bare UPC (needs barcode lookup)","084920501532","VUSE","prefix",NA,NA,NA,3.8,"prefix11",3,3.8,3.8,77.52,"prefix11",30,NA,"ok",332406
"e-liquid (impute mL)","088796900752","BLU","raw",NA,"BLU ECIGS PLUS+ SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE TANK GLACIER MINT BOX 3 COUNT",3,3,"gpt_verified",NA,NA,NA,16.32,"prefix10",8,"Closed pod","ok:gpt-high",309243
"e-liquid (impute mL)","088796900918","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,48.96,"prefix11",24,"Closed pod","ok:gpt-high",307172
"bare UPC (needs barcode lookup)","081991301269","JUUL","prefix",NA,NA,NA,2.8,"prefix11",2,2.8,2.8,76.16,"prefix11",40,NA,"ok",301672
"e-liquid (impute mL)","084920501667","VUSE","raw","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,1,"gpt_verified",NA,NA,NA,32.64,"gpt_verified",48,"Closed pod","ok:gpt-high",292191
"e-liquid (impute mL)","088796900912","BLU","raw",NA,"MY BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO VIVID VANILLA BOX 2 COUNT",2,3,"gpt_verified",NA,NA,NA,48.96,"prefix11",24,"Closed pod","ok:gpt-high",281276
"bare UPC (needs barcode lookup)","084920501793","VUSE","prefix",NA,NA,NA,3.6,"prefix11",3,3.6,18,58.752,"prefix11",24,NA,"CHECK:siblings_disagree",268658
"hardware/device (exclude)","081990502638","GLAS","prefix","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",1,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",263815
"e-liquid (impute mL)","084920501805","VUSE","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.8,"gpt_verified",NA,NA,NA,61.2,"gpt_verified",50,"Closed pod","ok:gpt-medium",252493
"e-liquid (impute mL)","081505802252","LOGIC","raw","LP ECGLC BERRY MINT","LP ECGLC BERRY MINT",2,3,"gpt_verified",NA,NA,NA,36.72,"gpt_verified",18,"Closed pod","ok:gpt-high",240568
"bare UPC (needs barcode lookup)","085570400807","MISTIC","prefix",NA,NA,NA,10,"prefix11",5,10,10,163.2,"prefix11",24,NA,"ok",236707
"bare UPC (needs barcode lookup)","084920501535","VUSE","prefix",NA,NA,NA,3.8,"prefix11",3,3.8,3.8,77.52,"prefix11",30,NA,"ok",232346
"e-liquid (impute mL)","072153501247","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK JUNGLE JUICE CLASS A NICOTINE BOX 2 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",231822
"e-liquid (impute mL)","072153501249","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT LUSH IC BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",231654
"e-liquid (impute mL)","072153501203","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT TOBACCO LEAF 500 PUFFS BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",230538
"e-liquid (impute mL)","081505802237","LOGIC","raw","LOGIC POWER ECLE CHERRY","LOGIC POWER ECLE CHERRY",2,2.4,"gpt_verified",NA,NA,NA,44.064,"gpt_verified",27,"Closed pod","ok:gpt-high",227267
"bare UPC (needs barcode lookup)","036586038660","21ST CENTURY SMOKE","prefix",NA,NA,NA,1.6,"prefix10",1,1.6,1.6,17.408,"prefix10",16,NA,"note:single_sibling",220681
"e-liquid (impute mL)","072153501252","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT KICK START BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",219539
"e-liquid (impute mL)","072153501248","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT DRAGON VENOM BOX 1 COUNT",1,1.4,"manual",NA,NA,NA,57.12,"manual",60,"Disposable","ok:manual",206935
"e-liquid (impute mL)","088796901132","BLU","raw","BLU","BLU ANTISMOKING PRODUCT ELECTRONIC CIGARETTE LIQUID PO GOLD LEAF BOX IN WRAP 2 COUNT",2,3,"gpt_verified",NA,NA,NA,50.592,"prefix11",24.8,"Closed pod","ok:gpt-high",205167
"e-liquid (impute mL)","088796900511","BLU","raw","BL-EGS E-CG TANK CAROLINA","BL-EGS E-CG TANK CAROLINA",3,3,"gpt_verified",NA,NA,NA,40.8,"prefix11",20,"Closed pod","ok:gpt-high",202476
"bare UPC (needs barcode lookup)","085570400806","MISTIC","prefix",NA,NA,NA,10,"prefix11",5,10,10,163.2,"prefix11",24,NA,"ok",199899
"e-liquid (impute mL)","088796900998","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",2,3,"gpt_verified",NA,NA,NA,81.6,"prefix11",40,"Closed pod","ok:gpt-high",198832
"e-liquid (impute mL)","081536802030","NJOY","raw","NJOY E-CG TANK APPLE CRISP","NJOY E-CG TANK APPLE CRISP",1,1,"prefix11",1,1,1,30.6,"prefix11",45,NA,"note:single_sibling",193673
"e-liquid (impute mL)","072153501250","BIDI","manual","BIDI STICK","BIDI STICK SMOKING ALTERNATIVE PRODUCT STICK BLAZING VIBE CLASS A NICOTINE BOX 2 COUNT",2,2.8,"manual",NA,NA,NA,114.24,"manual",60,"Disposable","ok:manual",187333
"bare UPC (needs barcode lookup)","084920502165","VUSE","prefix",NA,NA,NA,1.8,"prefix11",1,1.8,1.8,29.376,"prefix11",24,NA,"note:single_sibling",182522
"e-liquid (impute mL)","081505802245","LOGIC","raw","LP ECGLC CHERRY","LP ECGLC CHERRY",2,3,"gpt_verified",NA,NA,NA,36.72,"gpt_verified",18,"Closed pod","ok:gpt-high",181527
"e-liquid (impute mL)","085438400415","LOGIC","raw","LOGIC E-CG TOB","LOGIC E-CG TOB",1,7.25,"prefix10",5,2.9,7.25,88.74,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",181440
"e-liquid (impute mL)","081536802039","NJOY","raw","NJOY E-CG TANK APPLE MELON","NJOY E-CG TANK APPLE MELON",1,1,"prefix11",1,1,1,30.6,"prefix11",45,NA,"note:single_sibling",179326
"e-liquid (impute mL)","084920501538","VUSE","raw","ELCT CGRTT TANK","ELCT CGRTT TANK",2,3.8,"gpt_verified",NA,NA,NA,93.024,"gpt_verified",36,"Closed pod","ok:gpt-high",174363
"bare UPC (needs barcode lookup)","084920501712","VUSE","prefix",NA,NA,NA,1.9,"prefix11",1,1.9,1.9,38.76,"prefix11",30,NA,"note:single_sibling",172285
"e-liquid (impute mL)","088796901082","BLU","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,"gpt_verified",NA,NA,NA,43.96096164,"prefix11",21.5,"Closed pod","ok:gpt-high",171196
