upc12,brand,true_label_mg_per_ml,true_mL_per_cart,exclude,descr,note
085965400208,BLU,24,1,0,BLU CIGS E-CGCM CT,BLU cigalike (was 16)
085965400201,BLU,24,1,0,BLU CIGS E-CG CT,"BLU cigalike, 5 carts"
081068701482,UNKNOWN,NA,NA,1,NA,NJOY battery+charger - no nicotine
084920501991,VUSE,24,1.8,0,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL ORIGINALS BOX 2 COUNT,VUSE Alto
085570400806,UNKNOWN,24,10,0,NA,HAUS liquid bottle
085570400807,UNKNOWN,24,10,0,NA,HAUS liquid bottle
081991301137,JUUL,50,0.7,0,NA,JUUL
084004820296,JUUL,30,0.7,0,JUUL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL THE ALTERNATIVE FOR ADULT SMOK BOX 4 COUNT,JUUL menthol 3% - fix 2020/2021 (120@0.17 -> 30@0.7)
084920501622,UNKNOWN,50,1.8,0,NA,VUSE Alto
081991301158,UNKNOWN,NA,NA,1,NA,JUUL kit - no nicotine
084920502345,VUSE,50,1.8,0,VUSE ALTO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT,VUSE Alto 5%
084920502354,VUSE,50,1.8,0,VUSE ALTO SMOKING ALTERNATIVE PRODUCT GOLD 1 COUNT,VUSE Alto 5%
084920502346,NA,50,1.8,0,NA,VUSE Alto 5%
084920502342,VUSE,24,1.8,0,VUSE ALTO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT,VUSE Alto 2.4%
084920502351,VUSE,24,1.8,0,VUSE ALTO SMOKING ALTERNATIVE PRODUCT GOLD 1 COUNT,VUSE Alto 2.4%
084920501967,VUSE,18,1.8,0,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL ORIGINALS BOX 2 COUNT,VUSE Alto 1.8%
084920501968,NA,18,1.8,0,NA,VUSE Alto 1.8%
084920502885,NA,50,1.8,0,NA,VUSE Alto 5%
084920501992,NA,24,1.8,0,NA,VUSE Alto 2.4%
084920501935,NA,50,1.8,0,NA,VUSE Alto 5%
084920501516,VUSE,15,0.9,0,VUSE CIRO E-CGC MIINT,VUSE Ciro 1.5%
084920501791,NA,24,1.8,0,NA,VUSE Alto 2.4%
084920501631,VUSE,50,1.8,0,ELCT VAPOR CGRTT CARTRIDGE,VUSE Alto 5%
