"brand","type","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"21ST CENTURY SMOKE","Disposable",7.38899311804476e-05,9.792,0,0,-0.000723530206118943,-0.000723530206118943,0.000723530206118943,-0.000723530206118943,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Refill",0.0744084346630331,29.6491037033306,4.25930488960845e-06,17.408,-0.910841365112687,-2.20601711115439,0.91078922651983,-2.20606924974725,2013-01-01,2023-12-01
"21ST CENTURY SMOKE","Starter Kit",0.013106545034213,19.5954214619061,0,0,-0.256828273854857,-0.256828273854857,0.256828273854857,-0.256828273854857,2013-01-01,2023-12-01
"BLU","Disposable",0.179299863176233,16.3199999999976,0.00157048557476531,22.3611833962608,1.08318335637252,-2.90054344245552,-1.07369576499417,-2.89105585107718,2013-01-01,2023-12-01
"BLU","Refill",0.39974877423399,54.4000000000101,0.000107728649242087,55.8790170695695,0.59123526062752,-21.7404728798143,-0.591075928116411,-21.7403135473032,2013-01-01,2023-12-01
"BLU","Starter Kit",0.0291674133513163,16.3200000000005,0,0,-0.476012185893497,-0.476012185893497,0.476012185893497,-0.476012185893497,2013-01-01,2023-12-01
"CIG2O","Refill",2.12327388449562e-05,36.72,0,0,-0.000779666170386792,-0.000779666170386792,0.000779666170386792,-0.000779666170386792,2013-01-01,2023-12-01
"CIG2O","Starter Kit",8.49309553798248e-06,25.84,0,0,-0.000219461588701467,-0.000219461588701467,0.000219461588701467,-0.000219461588701467,2013-01-01,2023-12-01
"FINITI","Disposable",0.110005404439795,16.9410466582669,0,0,-1.86360668927609,-1.86360668927609,1.86360668927609,-1.86360668927609,2013-01-01,2023-12-01
"FINITI","Refill",0.0704509352455262,48.5260454291799,0,0,-3.41870528425261,-3.41870528425261,3.41870528425261,-3.41870528425261,2013-01-01,2023-12-01
"MISTIC","Refill",0.0378615121503644,52.1850266380035,0,0,-1.97580402012186,-1.97580402012186,1.97580402012186,-1.97580402012186,2013-01-01,2023-12-01
"MISTIC","Starter Kit",0.00342271750180694,27.2286848635241,0,0,-0.0931960962335696,-0.0931960962335696,0.0931960962335696,-0.0931960962335696,2013-01-01,2023-12-01
