month,n_any,n_1pct,n_5pct,other_below_top5,other_below_1pct
2013-01-01,12,6,4,0.03202699460351349,0.002370893876906403
2013-02-01,12,6,4,0.02039530077672551,0.002532814101837872
2013-03-01,12,5,5,0.010434511139052713,0.010434511139052713
2013-04-01,14,5,5,0.016249635949979396,0.016249635949979396
2013-05-01,15,6,5,0.03848610381986239,0.00956729901591624
2013-06-01,15,6,5,0.04833917349378697,0.01257149577208101
2013-07-01,17,7,5,0.06630008157584513,0.009619143846243666
2013-08-01,18,8,5,0.08727772100368966,0.006590177066247965
2013-09-01,18,8,6,0.09959224786215883,0.00791389318008642
2013-10-01,18,8,6,0.11269554496280693,0.010989019366443049
2013-11-01,19,8,6,0.11478981661524926,0.011997591945658304
2013-12-01,19,8,6,0.11678912323600955,0.011512527512237554
2014-01-01,20,8,5,0.12034435433264946,0.016781418896566747
2014-02-01,21,8,5,0.12315244897504828,0.018441812752624614
2014-03-01,21,8,5,0.1233842551401794,0.01749628322693377
2014-04-01,21,8,6,0.13235697129008872,0.0188038356393522
2014-05-01,22,9,6,0.141635099273108,0.010049857697358883
2014-06-01,21,10,6,0.15802949247021006,0.007150170924896025
2014-07-01,22,10,6,0.19544119698921736,0.00895032860431247
2014-08-01,21,10,6,0.2058609912105457,0.008215613754402119
2014-09-01,21,10,6,0.1970626757670757,0.0069471689669403465
2014-10-01,20,10,6,0.18359063097646577,0.007365104204617838
2014-11-01,22,10,6,0.17837814399658894,0.009233005577736871
2014-12-01,21,9,7,0.2046565748646466,0.018338143894998542
2015-01-01,22,11,6,0.19213906669068315,0.006601657666529136
2015-02-01,22,11,6,0.19520709776744152,0.006898135099174858
2015-03-01,22,11,6,0.19037866246104346,0.0066514761014343305
2015-04-01,20,11,6,0.18878253091886002,0.00703721077376007
2015-05-01,21,11,6,0.18765982989187782,0.006962098140403348
2015-06-01,22,11,6,0.17977883664675703,0.007013226366614727
2015-07-01,21,11,5,0.150898983137952,0.007604963982852046
2015-08-01,20,11,5,0.15142007846284242,0.0075575643793932895
2015-09-01,22,10,6,0.17129121895253274,0.018096472386127903
2015-10-01,22,10,6,0.17449532777641005,0.017731946288498314
2015-11-01,23,10,5,0.17145113341072102,0.017572873022340153
2015-12-01,23,10,6,0.17074115837067677,0.017137555402241305
2016-01-01,21,10,6,0.17236089179352387,0.016681958835574575
2016-02-01,22,10,6,0.16060486812751676,0.015396496268617891
2016-03-01,22,9,6,0.1545311787933506,0.02543819294610001
2016-04-01,21,10,6,0.15200760557258627,0.015499077200813626
2016-05-01,21,10,6,0.16161763030189533,0.013571315330439744
2016-06-01,22,9,6,0.1596497130542601,0.02013358618354181
2016-07-01,20,9,6,0.1580717806791293,0.013469810423222721
2016-08-01,21,9,6,0.15207396971860904,0.012173585035386987
2016-09-01,20,9,6,0.14994647961881763,0.011605055101028534
2016-10-01,21,9,6,0.15808766577929323,0.012380296282131335
2016-11-01,20,9,7,0.1657556563664815,0.01255970932009541
2016-12-01,19,8,7,0.16405763512898727,0.02121978220533592
2017-01-01,18,9,7,0.17774651604228633,0.019381671385918356
2017-02-01,20,9,7,0.18759680026421627,0.018980536617697993
2017-03-01,20,9,7,0.1872254250925529,0.018192985688774164
2017-04-01,20,9,6,0.1943109781664584,0.025133630880467408
2017-05-01,19,10,6,0.20443607194612362,0.016542978628447433
2017-06-01,19,10,5,0.18758057206335071,0.015652617463229993
2017-07-01,18,10,6,0.19030254076341116,0.01563947680533661
2017-08-01,19,10,7,0.1826893807133476,0.015664507254852956
2017-09-01,18,10,7,0.1854462744220316,0.016484785505859138
2017-10-01,18,9,7,0.18069752197465955,0.019664374394629053
2017-11-01,18,9,7,0.1948713127809148,0.01635760838025079
2017-12-01,17,9,7,0.19113530299885664,0.013546512287065353
2018-01-01,24,8,7,0.23338500465111406,0.03069334286049319
2018-02-01,21,8,7,0.2176276682954316,0.025310682493952297
2018-03-01,23,8,7,0.19256531652031328,0.019788781207700626
2018-04-01,25,8,7,0.16494938781744872,0.017500445306411896
2018-05-01,23,8,6,0.14256941767183134,0.014401679313118067
2018-06-01,24,7,6,0.13044663128386472,0.02066966866592584
2018-07-01,22,7,6,0.12541130691230082,0.018006527652080617
2018-08-01,22,7,7,0.14685626962901221,0.01662297535666934
2018-09-01,22,7,6,0.12027542742978603,0.016048231979291196
2018-10-01,22,7,6,0.09365635037695691,0.011259887604377653
2018-11-01,23,7,6,0.09550228252031133,0.010190029043197872
2018-12-01,21,7,6,0.10325453840157729,0.009766167915626303
2019-01-01,23,7,6,0.09898983341233673,0.009930611192188363
2019-02-01,23,7,6,0.078626261585672,0.010926050940491166
2019-03-01,23,6,5,0.040929948748667344,0.01981240348030368
2019-04-01,23,7,4,0.04666740933226574,0.010784598680854407
2019-05-01,22,7,5,0.08272430114530079,0.008772898914860622
2019-06-01,22,7,5,0.07875021966992603,0.006899493174457262
2019-07-01,23,7,4,0.05446425314523207,0.0036835701589544977
2019-08-01,22,7,3,0.03420560469817203,0.0032145171813025134
2019-09-01,21,5,3,0.017733707267096256,0.017733707267096256
2019-10-01,21,5,4,0.00470193463724435,0.00470193463724435
2019-11-01,22,5,4,0.0042418372095879096,0.0042418372095879096
2019-12-01,21,5,3,0.008798204261130772,0.008798204261130772
2020-01-01,22,5,4,0.012340959721536966,0.012340959721536966
2020-02-01,21,5,3,0.009646773336149212,0.009646773336149212
2020-03-01,21,5,3,0.008575464343614303,0.008575464343614303
2020-04-01,16,5,3,0.009169510728599941,0.009169510728599941
2020-05-01,19,5,3,0.00872768755175377,0.00872768755175377
2020-06-01,17,5,3,0.007628506817104774,0.007628506817104774
2020-07-01,17,5,3,0.007203826908155848,0.007203826908155848
2020-08-01,17,5,3,0.007062129316923279,0.007062129316923279
2020-09-01,17,5,3,0.00801494861451756,0.00801494861451756
2020-10-01,17,5,3,0.008787290894794507,0.008787290894794507
2020-11-01,17,5,3,0.009783416249619955,0.009783416249619955
2020-12-01,18,5,3,0.010385890384650806,0.010385890384650806
2021-01-01,32,7,3,0.055163497955701975,0.02591071663171276
2021-02-01,33,8,3,0.05794358812786828,0.01789498807839264
2021-03-01,30,8,3,0.06294962024682964,0.01889510850229641
2021-04-01,29,8,3,0.06707133239273179,0.019580005390539054
2021-05-01,32,8,3,0.06406880754595787,0.01944015227335632
2021-06-01,30,8,3,0.06649563882513201,0.02065855843070892
2021-07-01,33,8,3,0.07265997008446425,0.02397399841457104
2021-08-01,36,10,3,0.08383159382450805,0.015891818620935447
2021-09-01,34,9,3,0.09363194404972436,0.026095415116517813
2021-10-01,38,9,3,0.09241919216617217,0.02586042450415009
2021-11-01,36,9,3,0.08749805899314592,0.02572751121424098
2021-12-01,33,8,3,0.08501884880430076,0.03521273990529663
