brand,first,last_present,months_in_top5,longest_spell,last_top5,left_top5,left_panel,age_at_last_top5,age_at_panel_exit,status
21ST CENTURY SMOKE,2013-01-01,2023-12-01,20,20,2014-08-01,TRUE,FALSE,19,NA,"left top-5, still selling"
BLU,2013-01-01,2023-12-01,114,111,2022-07-01,TRUE,FALSE,114,NA,"left top-5, still selling"
BREEZE,2023-06-01,2023-12-01,6,6,2023-12-01,FALSE,FALSE,6,NA,in top-5 at end of 2023
FINITI,2013-01-01,2023-09-01,52,52,2017-04-01,TRUE,FALSE,51,NA,"left top-5, still selling"
HYPPE,2021-01-01,2023-12-01,28,28,2023-12-01,FALSE,FALSE,35,NA,in top-5 at end of 2023
IGNITE,2021-01-01,2023-12-01,1,1,2022-04-01,TRUE,FALSE,15,NA,"left top-5, still selling"
JUUL,2015-10-01,2023-12-01,74,73,2023-12-01,FALSE,FALSE,98,NA,in top-5 at end of 2023
LOGIC,2013-01-01,2023-12-01,83,51,2023-06-01,FALSE,FALSE,125,NA,in top-5 at end of 2023
MARKTEN,2013-08-01,2022-07-01,13,13,2019-01-01,TRUE,TRUE,65,107,left the panel
MISTIC,2013-01-01,2023-10-01,44,41,2019-06-01,TRUE,FALSE,77,NA,"left top-5, still selling"
MNGO,2021-01-01,2023-12-01,8,8,2021-08-01,TRUE,FALSE,7,NA,"left top-5, still selling"
NICOTEK,2013-01-01,2023-05-01,11,10,2014-12-01,TRUE,TRUE,23,124,left the panel
NJOY,2013-01-01,2023-12-01,128,70,2023-12-01,FALSE,FALSE,131,NA,in top-5 at end of 2023
VUSE,2013-07-01,2023-12-01,78,72,2023-12-01,FALSE,FALSE,125,NA,in top-5 at end of 2023
