brand,n_mo,beta,se,p,era,lo,hi
21ST CENTURY SMOKE,131,-0.06881777215578704,0.026844202698814573,0.028198570001503588,cigalike-era brand,-0.1214324094454636,-0.016203134866110476
BLU,131,-0.15255616560958357,0.03034800945673696,5.164785081336267e-4,cigalike-era brand,-0.21203826414478802,-0.09307406707437912
FINITI,99,-0.16859882253493347,0.10626004301255887,0.1436725813853041,cigalike-era brand,-0.37686850683954887,0.0396708617696819
HYPPE,32,0.011522456257740652,5.574455188999312e-4,0.002332347526402438,modern disposable,0.010429863040696787,0.012615049474784517
JUUL,98,0.02743478956676995,0.01651787816831475,0.135308708866047,salt-pod-era leader,-0.004940251643126961,0.059809830776666864
LOGIC,131,-0.18664672672903518,0.04800486229282973,0.003018971553305185,cigalike-era brand,-0.2807362568229814,-0.0925571966350889
MARKTEN,102,-0.0404633909428388,0.009038269051973984,0.0015392898271824856,cigalike-era brand,-0.058178398284707805,-0.022748383600969795
MISTIC,114,-0.31900950863377997,0.19259013289024557,0.1286342845057158,cigalike-era brand,-0.6964861690986612,0.05846715183110135
NICOTEK,111,-0.13001057583730097,0.05879574301873966,0.05145387423313701,cigalike-era brand,-0.2452502321540307,-0.014770919520571232
NJOY,131,-0.029581025954125373,0.07349711213755727,0.6958006206628045,salt-pod-era leader,-0.17363536574373764,0.1144733138354869
VAPIN PLUS,102,-0.06947504616229416,0.03554722948190694,0.08237667871546313,cigalike-era brand,-0.13914761594683175,1.9752362224342845e-4
VUSE,125,-0.021781030945543352,0.03297309363939483,0.5238127875308842,salt-pod-era leader,-0.08640829447875722,0.042846232587670514
