month,brand,n_upc,mL
2013-01-01,21ST CENTURY SMOKE,10,123851.7
2013-01-01,BLU,14,860606
2013-01-01,CIG2O,4,42
2013-01-01,E SWISHER,1,6
2013-01-01,FINITI,14,300918.25
2013-01-01,FLAVORED MIST,5,134.9438805
2013-01-01,GREEN SMOKE,7,1499
2013-01-01,LOGIC,5,1478.4
2013-01-01,MISTIC,9,66888.5
2013-01-01,NICOTEK,10,44158.970901
2013-01-01,NJOY,17,88356.2
2013-01-01,QUIK E-CIG,4,370
2013-02-01,21ST CENTURY SMOKE,11,134694
2013-02-01,BLU,13,938662
2013-02-01,CIG2O,5,39
2013-02-01,E SWISHER,1,6
2013-02-01,FINITI,26,285977.75
2013-02-01,FLAVORED MIST,5,194.9189385
2013-02-01,GREEN SMOKE,7,1663
2013-02-01,LOGIC,6,1595.3499999999997
2013-02-01,MISTIC,9,28197.5
2013-02-01,NICOTEK,17,63103.882733000006
2013-02-01,NJOY,16,123545.2
2013-02-01,QUIK E-CIG,4,500
2013-03-01,21ST CENTURY SMOKE,12,187515.9
2013-03-01,BLU,14,1253555
2013-03-01,CIG2O,5,108
2013-03-01,E SWISHER,1,3
2013-03-01,FINITI,24,354120.5
2013-03-01,FLAVORED MIST,5,179.925174
2013-03-01,GREEN SMOKE,7,2080
2013-03-01,LOGIC,8,4792.7
2013-03-01,MISTIC,9,14310.5
2013-03-01,NICOTEK,17,146535.461712
2013-03-01,NJOY,16,143224
2013-03-01,QUIK E-CIG,3,515
2013-04-01,21ST CENTURY SMOKE,12,158112.9
2013-04-01,BLU,14,992111
2013-04-01,CIG2O,5,53
2013-04-01,FINITI,22,251823.5
2013-04-01,FLAVORED MIST,5,209.912703
2013-04-01,GREEN SMOKE,7,1739
2013-04-01,IMPERIAL,1,19.991686
2013-04-01,KRAVE,2,1016
2013-04-01,LOGIC,8,12645.1
2013-04-01,MISTIC,9,7972.5
2013-04-01,NEO,5,3551
2013-04-01,NICOTEK,17,122156.39191399999
2013-04-01,NJOY,15,136442.8
2013-04-01,QUIK E-CIG,4,230
2013-05-01,21ST CENTURY SMOKE,12,156004.20000000004
2013-05-01,BLU,14,977377
2013-05-01,CIG2O,3,73
2013-05-01,E SWISHER,1,9
2013-05-01,FINITI,24,219797.75
2013-05-01,FLAVORED MIST,6,194.9189385
2013-05-01,GREEN SMOKE,8,1895
2013-05-01,IMPERIAL,3,159.933488
2013-05-01,KRAVE,2,1276
2013-05-01,LOGIC,11,49241.9
2013-05-01,MISTIC,9,6017
2013-05-01,NEO,5,6431
2013-05-01,NICOTEK,17,119967.306454
2013-05-01,NJOY,15,163783
2013-05-01,QUIK E-CIG,4,235
2013-06-01,21ST CENTURY SMOKE,12,212038.2
2013-06-01,BLU,14,1160105
2013-06-01,CIG2O,7,125
2013-06-01,E SWISHER,8,156
2013-06-01,FINITI,29,263059.5
2013-06-01,FLAVORED MIST,6,125.350116
2013-06-01,GREEN SMOKE,8,3091
2013-06-01,IMPERIAL,4,299.87529
2013-06-01,KRAVE,2,1348
2013-06-01,LOGIC,11,75354.2
2013-06-01,MISTIC,15,12295
2013-06-01,NEO,5,8800
2013-06-01,NICOTEK,17,154402.90651100004
2013-06-01,NJOY,14,214778
2013-06-01,QUIK E-CIG,4,245
2013-07-01,21ST CENTURY SMOKE,12,169069.5
2013-07-01,BLU,18,1026458
2013-07-01,CIG2O,7,115
2013-07-01,E SWISHER,8,370
2013-07-01,FINITI,27,203970.25
2013-07-01,FLAVORED MIST,6,63.8812935
2013-07-01,GREEN SMOKE,8,2677
2013-07-01,IMPERIAL,3,79.966744
2013-07-01,KRAVE,5,6874
2013-07-01,LOGIC,12,75677.3
2013-07-01,MISTIC,16,29759.5
2013-07-01,NEO,5,7364.5
2013-07-01,NICOTEK,21,166926.441505
2013-07-01,NJOY,18,169874.6
2013-07-01,QUIK E-CIG,3,145
2013-07-01,V2 CIGS,5,26
2013-07-01,VUSE,5,178
2013-08-01,21ST CENTURY SMOKE,11,204845.4
2013-08-01,BLU,18,1352577
2013-08-01,CIG2O,7,121
2013-08-01,E SWISHER,8,698
2013-08-01,FINITI,29,205274.25
2013-08-01,FLAVORED MIST,10,210.83140949999998
2013-08-01,GREEN SMOKE,8,3566
2013-08-01,IMPERIAL,2,79.966744
2013-08-01,KRAVE,6,29796
2013-08-01,LOGIC,13,113732.4
2013-08-01,MARKTEN,4,244.8
2013-08-01,MISTIC,16,46438.5
2013-08-01,NEO,5,7416
2013-08-01,NICOTEK,21,197221.694211
2013-08-01,NJOY,19,188309.4
2013-08-01,QUIK E-CIG,2,75
2013-08-01,V2 CIGS,5,939
2013-08-01,VUSE,5,2165
2013-09-01,21ST CENTURY SMOKE,11,161750.69999999998
2013-09-01,BLU,17,1000716
2013-09-01,CIG2O,5,122
2013-09-01,E SWISHER,8,771
2013-09-01,FINITI,29,163840.5
2013-09-01,FLAVORED MIST,9,221.63140950000002
2013-09-01,GREEN SMOKE,8,2830
2013-09-01,IMPERIAL,4,139.941802
2013-09-01,KRAVE,6,25712
2013-09-01,LOGIC,12,90868.65
2013-09-01,MARKTEN,4,694.4000000000001
2013-09-01,MISTIC,16,44773.5
2013-09-01,NEO,5,5414
2013-09-01,NICOTEK,21,120669.45746
2013-09-01,NJOY,20,137228.4
2013-09-01,QUIK E-CIG,2,140
2013-09-01,V2 CIGS,5,1299
2013-09-01,VUSE,5,2296.5
2013-10-01,21ST CENTURY SMOKE,11,161850.6
2013-10-01,BLU,17,882898
2013-10-01,CIG2O,7,164
2013-10-01,E SWISHER,7,679
2013-10-01,FINITI,30,168825.5
2013-10-01,FLAVORED MIST,4,55.7812935
2013-10-01,GREEN SMOKE,8,3018
2013-10-01,IMPERIAL,2,39.983372
2013-10-01,KRAVE,6,27910
2013-10-01,LOGIC,12,88743.25
2013-10-01,MARKTEN,4,689.6000000000001
2013-10-01,MISTIC,16,49880.5
2013-10-01,NEO,5,4126.5
2013-10-01,NICOTEK,21,108182.32163299999
2013-10-01,NJOY,19,130665.4
2013-10-01,QUIK E-CIG,2,70
2013-10-01,V2 CIGS,5,1494
2013-10-01,VUSE,5,7656.5
2013-11-01,21ST CENTURY SMOKE,11,203702.4
2013-11-01,BLU,17,1057523
2013-11-01,CIG2O,7,165
2013-11-01,E SWISHER,8,951
2013-11-01,FINITI,30,243548.5
2013-11-01,FLAVORED MIST,8,208.13140950000002
2013-11-01,GREEN SMART LIVING,1,20
2013-11-01,GREEN SMOKE,8,3711
2013-11-01,IMPERIAL,2,39.983372
2013-11-01,KRAVE,6,34734
2013-11-01,LOGIC,13,110099.5
2013-11-01,MARKTEN,4,939.2000000000002
2013-11-01,MISTIC,16,67383.5
2013-11-01,NEO,5,3846
2013-11-01,NICOTEK,21,124517.24081299998
2013-11-01,NJOY,20,197694.4
2013-11-01,QUIK E-CIG,2,75
2013-11-01,V2 CIGS,5,2065
2013-11-01,VUSE,5,12749
2013-12-01,21ST CENTURY SMOKE,14,160808.4
2013-12-01,BLU,19,833114
2013-12-01,CIG2O,7,146
2013-12-01,E SWISHER,8,769
2013-12-01,FINITI,31,225601
2013-12-01,FLAVORED MIST,9,221.9189385
2013-12-01,GREEN SMART LIVING,3,27
2013-12-01,GREEN SMOKE,8,2478
2013-12-01,IMPERIAL,1,19.991686
2013-12-01,KRAVE,6,30490
2013-12-01,LOGIC,12,94523.3
2013-12-01,MARKTEN,4,736
2013-12-01,MISTIC,16,59808.5
2013-12-01,NEO,5,2768
2013-12-01,NICOTEK,21,88133.22689299998
2013-12-01,NJOY,22,182551.2
2013-12-01,QUIK E-CIG,2,40
2013-12-01,V2 CIGS,5,1741
2013-12-01,VUSE,5,10565.5
2014-01-01,21ST CENTURY SMOKE,13,171073.8
2014-01-01,AL CAPONE,1,201
2014-01-01,BLU,20,890670
2014-01-01,CIG2O,7,253
2014-01-01,E SWISHER,8,658
2014-01-01,FINITI,30,255023.75
2014-01-01,FLAVORED MIST,8,201.237645
