year,group,brand,upc12,num_cart,mL_per_cart,cap_total_mL,label_mg_per_mL,deliv_new,deliv_old,mL_share,descr
2013,implausible,FINITI,085962600203,1,1.75,1.75,8,5.4,5.4,0.89,FINITI E-CG OLS
2013,implausible,FINITI,085962600273,5,1,5,8,5.4,5.4,0.88,FINITI E-CGCM RFL
2013,implausible,FINITI,085962600202,1,1.75,1.75,8,5.4,5.4,0.51,FINITI MIDNIGHT E-CG
2013,top5,BLU,085965400208,5,1,5,24,16.3,10.9,12.56,BLU CIGS E-CGCM CT
2013,top5,BLU,085965400201,1,1,1,24,16.3,16.3,9.73,BLU CIGS E-CG CT
2013,top5,BLU,085965400206,5,1,5,16,10.9,10.9,9.47,BLU CIGS E-CGCM C-C RFL
2013,top5,BLU,085965400209,5,1,5,16,10.9,10.9,6.86,BLU CIGS E-CGCM M-M RFL
2013,top5,BLU,085410000328,5,1,5,16,10.9,10.9,5.84,BLU CIGS E-CGCM VV RFL
2014,implausible,FINITI,085962600273,5,1,5,8,5.4,5.4,0.74,FINITI E-CGCM RFL
2014,implausible,FINITI,085962600203,1,1.75,1.75,8,5.4,5.4,0.66,FINITI E-CG OLS
2014,implausible,FINITI,085962600202,1,1.75,1.75,8,5.4,5.4,0.5,FINITI MIDNIGHT E-CG
2014,top5,BLU,085965400208,5,1,5,24,16.3,10.9,6.76,BL-EGS E-CGCM CT
2014,top5,BLU,085965400201,1,1,1,24,16.3,16.3,6.29,BL-EGS E-CG CT
2014,top5,BLU,085965400206,5,1,5,16,10.9,10.9,4.92,BL-EGS E-CGCM C-C RFL
2014,top5,21ST CENTURY SMOKE,036586038153,3,0.9,2.7,16,10.9,10.9,4.7,21SCS E-CGAC REGULAR
2014,top5,BLU,085410000328,5,1,5,16,10.9,10.9,4.01,BL-EGS E-CGCM VV RFL
2015,implausible,NJOY,081068701777,1,10,10,10,6.8,6.8,0.35,NJOY E-CG LIQUID MN
2015,implausible,NJOY,081068701773,1,10,10,10,6.8,6.8,0.26,NJOY E-CG LIQUID CT
2015,top5,MISTIC,085570400805,1,10,10,24,16.3,16.3,4.41,HAUS E-CG LIQUID COOL ICE
2015,top5,BLU,085965400201,1,1,1,24,16.3,16.3,3.52,BL-EGS E-CG CT
2015,top5,MISTIC,085570400804,1,10,10,24,16.3,16.3,3.17,HAUS E-CG LIQUID
2015,top5,21ST CENTURY SMOKE,036586038153,3,0.9,2.7,16,10.9,10.9,3.04,21SCS E-CGAC REGULAR
2015,top5,UNKNOWN,085570400806,NA,10,10,24,16.3,16.3,2.93,NA
2016,implausible,NJOY,081068701777,1,10,10,10,6.8,6.8,0.36,NJOY E-CG LIQUID MN
2016,implausible,NJOY,081068701773,1,10,10,10,6.8,6.8,0.28,NJOY E-CG LIQUID CT
2016,implausible,LOGIC,081505802206,1,10,10,6,4.1,4.1,0.22,LOGIC LQD E-CG LIQUID MN
2016,top5,MISTIC,085570400805,1,10,10,24,16.3,16.3,4.99,HAUS E-CG LIQUID COOL ICE
2016,top5,BLU,088796900488,3,1,3,24,16.3,16.3,4.45,BL-EGS E-CG TANK CT
2016,top5,BLU,088796900496,3,1,3,24,16.3,16.3,3.44,BL-EGS E-CG TANK VV
2016,top5,MISTIC,085570400804,1,10,10,24,16.3,16.3,3.05,HAUS E-CG LIQUID
2016,top5,21ST CENTURY SMOKE,036586038153,3,0.9,2.7,16,10.9,10.9,2.89,21SCS E-CGAC REGULAR
2017,implausible,LOGIC,081505802206,1,10,10,6,4.1,4.1,1.01,LOGIC LQD E-CG LIQUID MN
2017,implausible,LOGIC,081505802205,1,10,10,6,4.1,4.1,0.69,LOGIC LQD ECGL TF
2017,implausible,LOGIC,081505802207,1,10,10,6,4.1,4.1,0.58,LOGIC LQD ECGL CHERRY
2017,top5,MISTIC,085570400805,1,10,10,24,16.3,16.3,4.86,HAUS E-CG LIQUID COOL ICE
2017,top5,BLU,088796900488,3,1,3,24,16.3,16.3,3.89,BL-EGS E-CG TANK CT
2017,top5,BLU,088796900496,3,1,3,24,16.3,16.3,3.06,BL-EGS E-CG TANK VV
2017,top5,LOGIC,081505802094,3,1.2,3.6,24,16.3,16.3,2.84,LOGIC POWER E-CGC TOB
2017,top5,21ST CENTURY SMOKE,036586038153,3,0.9,2.7,16,10.9,10.9,2.62,21SCS E-CGAC REGULAR
2018,implausible,LOGIC,081505802206,1,10,10,6,4.1,4.1,0.22,LOGIC LQD E-CG LIQUID MN
2018,top5,JUUL,081991301244,4,0.7,2.8,50,34,34,16.84,JUUL E-CGC MANGO
2018,top5,JUUL,081991301140,4,0.7,2.8,50,34,34,16.17,JUUL E-CGC MIINT
2018,top5,MARKTEN,009710000177,2,1.6,3.2,35,23.8,23.8,3.81,MARKTEN XL EVPC
2018,top5,JUUL,081991301137,NA,0.7,2.8,50,34,34,3.06,NA
2018,top5,JUUL,081991301142,4,0.7,2.8,50,34,34,3.03,JUUL E-CGC TABAAC
2019,top5,JUUL,081991301140,4,0.7,2.8,50,34,34,24.03,JUUL E-CGC MIINT
2019,top5,NJOY,081068701495,2,1.9,3.8,50,34,34,10.13,ELCT CGRTT CARTRIDGE
2019,top5,NJOY,081068701497,2,1.9,3.8,50,34,34,5.68,ELCT CGRTT CARTRIDGE
2019,top5,JUUL,081991301142,4,0.7,2.8,50,34,34,5.06,JUUL E-CGC TABAAC
2019,top5,JUUL,081991301259,4,0.7,2.8,50,34,34,3.75,JUUL E-CGC CM
2020,top5,JUUL,081991301259,4,0.7,2.8,50,34,34,17.14,JUUL E-CGC CM
2020,top5,NJOY,081068701493,2,1.9,3.8,50,34,34,15.26,ELCT CGRTT LIQUID POD
2020,top5,VUSE,084920501625,2,1.8,3.6,50,34,34,10.82,ELCT VAPOR CGRTT CARTRIDGE
2020,top5,JUUL,081991301142,4,0.7,2.8,50,34,34,7.27,JUUL E-CGC TABAAC
2020,top5,NJOY,081068701491,2,1.9,3.8,50,34,34,6.25,ELCT CGRTT CARTRIDGE
2021,top5,JUUL,081991301259,4,0.7,2.8,50,34,34,13.76,JUUL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE CLASSIC MENTHOL LIMITED EDITION WHILE SUPPLIES BOX 4 COUNT
2021,top5,VUSE,084920502345,4,1.8,7.2,50,34,8.5,13.49,VUSE ALTO SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT
2021,top5,NJOY,081068701493,2,1.9,3.8,50,34,34,9.34,NJOY POD CLASSIC TOB 5%
2021,top5,VUSE,084920501625,2,1.8,3.6,50,34,34,8.41,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE CAR MENTHOL BOTTLE IN WRAP 2 COUNT
2021,top5,JUUL,081991301142,4,0.7,2.8,50,34,34,7.29,JUUL E-CGC TABAAC
2022,top5,VUSE,084920502345,4,1.8,7.2,50,34,8.5,20.83,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MENTHOL ORIGINALS BOX 4 COUNT
2022,top5,JUUL,081991301259,4,0.7,2.8,50,34,34,11.24,JUUL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE CLASSIC MENTHOL LIMITED EDITION WHILE SUPPLIES BOX 4 COUNT
2022,top5,JUUL,081991301142,4,0.7,2.8,50,34,34,7.17,JUUL SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE CARTRIDGE VIRGINIA TOBACCO THE ALTERNATIVE FOR ADULT SMOK BOX 4 COUNT
2022,top5,VUSE,084920501625,2,1.8,3.6,50,34,34,6.74,VUSE ALTO SMOKING ALTERNATIVE PRODUCT ELECTRONIC VAPOR CIGARETTE CAR MENTHOL BOTTLE IN WRAP 2 COUNT
2022,top5,NJOY,081068701493,2,1.9,3.8,50,34,34,6.5,NJOY POD CLASSIC TOB 5%
