year,leader,leader_share,runner_up,CR3,CR4,HHI,unknown_share,n_brands_pos
2013,BLU,56,FINITI,78.3,86.8,3519.2,0,20
2014,BLU,35,FINITI,62.5,72.2,1899.5,0.1,24
2015,MISTIC,29.8,BLU,61.3,72.1,1704.1,0.2,25
2016,MISTIC,30.3,BLU,65.6,76.3,1787.6,0.1,25
2017,MISTIC,23.1,BLU,58.4,74.3,1526.1,0.1,23
2018,JUUL,48.1,MARKTEN,68.9,77.5,2736.5,0.9,27
2019,JUUL,45.7,NJOY,84.1,90.3,2957.5,1.2,27
2020,JUUL,35.3,VUSE,93.5,96.6,2975.6,0.7,25
2021,VUSE,43.7,JUUL,87.7,90,2966.6,0,52
2022,VUSE,50.5,JUUL,87.9,91.6,3338,0,54
2023,VUSE,54.8,JUUL,86.8,90,3553.5,0,48
