month,nic_mg_per_mL,n_active_upcs,mL_sum
2013-01-01,12.955,77,1487965
2013-02-01,13.273,95,1577565
2013-03-01,13.017,98,2106409
2013-04-01,13.163,108,1687417
2013-05-01,13.195,112,1701653
2013-06-01,13.169,129,2105566
2013-07-01,12.521,151,1859285
2013-08-01,12.314,163,2353228
2013-09-01,12.492,163,1758947
2013-10-01,12.698,164,1636662
2013-11-01,13.295,164,2063471
2013-12-01,13.58,169,1694050
2014-01-01,13.716,181,1869843
2014-02-01,13.804,183,1842882
2014-03-01,13.472,191,2286077
2014-04-01,13.301,195,1626554
2014-05-01,13.25,199,1862492
2014-06-01,13.33,195,1546866
2014-07-01,13.578,193,1428871
2014-08-01,13.743,220,1827243
2014-09-01,14.052,208,1649419
2014-10-01,13.953,211,1830247
2014-11-01,13.571,217,2321815
2014-12-01,13.105,218,2009430
2015-01-01,13.786,227,2545634
2015-02-01,13.876,220,1991527
2015-03-01,13.96,221,1962951
2015-04-01,14.052,222,1941079
2015-05-01,14.136,239,2358962
2015-06-01,14.141,234,1875584
2015-07-01,14.37,232,2056251
2015-08-01,14.32,245,2610347
2015-09-01,14.142,242,1901051
2015-10-01,14.375,260,2383879
2015-11-01,14.46,255,1972198
2015-12-01,14.563,261,1991527
2016-01-01,14.759,273,2508194
2016-02-01,14.846,266,2174464
2016-03-01,14.84,280,2095329
2016-04-01,15.156,286,2601424
2016-05-01,15.521,273,2187985
2016-06-01,15.7,280,2117285
2016-07-01,15.732,279,2614897
2016-08-01,15.728,265,2123326
2016-09-01,15.716,269,2139761
2016-10-01,14.981,276,2537858
2016-11-01,14.515,265,1996890
2016-12-01,14.787,268,2498188
2017-01-01,15.325,272,2045175
2017-02-01,15.843,270,2106842
2017-03-01,16.176,270,2236982
2017-04-01,16.24,271,2890962
2017-05-01,16.057,261,2393060
2017-06-01,16.214,263,2500749
2017-07-01,16.761,256,2420083
2017-08-01,16.833,262,2350966
2017-09-01,16.959,272,2784477
2017-10-01,17.55,265,2223961
2017-11-01,17.578,252,2307839
2017-12-01,17.873,261,2976072
2018-01-01,22.541,343,5750850
2018-02-01,22.941,346,6104609
2018-03-01,24.025,333,8711050
2018-04-01,25.143,320,7451114
2018-05-01,25.676,314,8013377
2018-06-01,26.011,317,10493936
2018-07-01,26.15,302,8564007
2018-08-01,25.739,306,9028916
2018-09-01,26.901,320,11293063
2018-10-01,27.873,299,9245100
2018-11-01,28.067,286,9728711
2018-12-01,27.925,299,12048782
2019-01-01,27.396,295,9458107
2019-02-01,27.875,295,9354562
2019-03-01,28.138,304,12569104
2019-04-01,27.793,285,11127358
2019-05-01,26.617,302,12785454
2019-06-01,27.175,317,17537947
2019-07-01,28.897,271,14690527
2019-08-01,29.807,273,19698355
2019-09-01,30.277,252,14604867
2019-10-01,30.457,207,14236563
2019-11-01,30.331,220,18162441
2019-12-01,29.885,229,13912923
2020-01-01,29.309,251,12344194
2020-02-01,29.812,195,13263012
2020-03-01,29.794,137,11008181
2020-04-01,30.233,130,11178305
2020-05-01,30.175,128,14591568
2020-06-01,30.144,116,11808120
2020-07-01,30.042,117,11859480
2020-08-01,29.924,118,14895952
2020-09-01,29.763,115,12042068
2020-10-01,29.676,117,15564506
2020-11-01,29.562,113,12663379
2020-12-01,29.406,112,12478156
2021-01-01,30.4,221,16152928
2021-02-01,30.3,222,13140101
2021-03-01,30.315,221,13714412
2021-04-01,30.264,226,13712000
2021-05-01,30.052,239,17278327
2021-06-01,30.033,252,13937943
2021-07-01,30.039,290,17539732
2021-08-01,29.843,295,13977116
2021-09-01,29.758,296,14109809
2021-10-01,29.689,302,17729445
2021-11-01,29.648,301,14145452
2021-12-01,29.582,315,14181756
2022-01-01,29.742,313,13129395
2022-02-01,29.682,320,13658439
2022-03-01,29.609,328,13793588
2022-04-01,29.531,335,17257210
2022-05-01,29.49,333,13663490
2022-06-01,29.4,341,13769062
2022-07-01,29.175,342,16379024
2022-08-01,29.236,339,12874053
2022-09-01,29.209,356,12580028
2022-10-01,29.209,362,15219284
2022-11-01,29.175,353,11952877
2022-12-01,29.134,366,14836164
2023-01-01,28.874,344,11640688
2023-02-01,28.803,343,11662525
2023-03-01,28.783,339,11720901
2023-04-01,28.733,334,14451506
2023-05-01,28.689,320,11646082
2023-06-01,28.759,329,11717818
2023-07-01,29.018,343,15071723
2023-08-01,29.094,342,12091371
2023-09-01,28.967,357,15085233
2023-10-01,28.922,351,11961240
2023-11-01,28.864,357,12023130
2023-12-01,28.845,357,15245668
