"brand","s0","x0","s1","x1","within","composition","interaction","total","base_month","comp_month"
"VUSE",0,0,0.511006975137526,17.1485242132814,0,0,8.76301548630155,8.76301548630155,2013-01-01,2023-12-01
"BLU",0.57796225095781,12.7497641429412,0.00921728374880824,18.7856057169132,3.48848858251762,-7.2513641893996,-3.43285451806747,-7.19573012494944,2013-01-01,2023-12-01
"JUUL",0,0,0.166210904186229,31.471111406069,0,0,5.23084188254828,5.23084188254828,2013-01-01,2023-12-01
"BREEZE",0,0,0.0807060172797389,34,0,0,2.74400458751112,2.74400458751112,2013-01-01,2023-12-01
"NJOY",0.0593378947370557,19.8884311457478,0.130311014619471,28.9743594349516,0.539139856413211,1.41154400798031,0.644856677712686,2.59554054210621,2013-01-01,2023-12-01
"FINITI",0.202089445256349,9.55870431919765,0,0,-1.93171325323611,-1.93171325323611,1.93171325323611,-1.93171325323611,2013-01-01,2023-12-01
"HYPPE",0,0,0.0345376183920419,33.9983245549362,0,0,1.17422115944718,1.17422115944718,2013-01-01,2023-12-01
"21ST CENTURY SMOKE",0.0831758171764453,10.8817130164554,4.18938514026296e-06,10.88,-0.000142481543517641,-0.905049784736431,0.000142474367031957,-0.905049791912917,2013-01-01,2023-12-01
"MISTIC",0.0449207047396735,9.98373807156667,0,0,-0.448476550111084,-0.448476550111084,0.448476550111084,-0.448476550111084,2013-01-01,2023-12-01
"MADURO DISTRIBUTORS",0,0,0.0120203605841281,33.2180971129681,0,0,0.399293505216461,0.399293505216461,2013-01-01,2023-12-01
"NICOTEK",0.0296561007266071,11.6868669144707,0,0,-0.346586902393995,-0.346586902393995,0.346586902393995,-0.346586902393995,2013-01-01,2023-12-01
"BIDI",0,0,0.00303484296292136,56.1493693165033,0,0,0.170404518342663,0.170404518342663,2013-01-01,2023-12-01
"LOGIC",0.000992857813931147,13.5999999999999,0.01279222206665,14.0739647636154,0.000470579619083717,0.160471353836975,0.00559248288885354,0.166534416344913,2013-01-01,2023-12-01
"SHENZEN HQD TECHNOLOGY",0,0,0.012431411271445,7.92642869554686,0,0,0.0985366950281262,0.0985366950281262,2013-01-01,2023-12-01
"MNGO",0,0,0.00226376044419864,40.8000000000004,0,0,0.0923614261233055,0.0923614261233055,2013-01-01,2023-12-01
"STAGBAR",0,0,0.00409996795117547,16.2533288629179,0,0,0.0666381274378787,0.0666381274378787,2013-01-01,2023-12-01
"ZEO",0,0,0.0018965477448257,32.571842750145,0,0,0.0617740549126049,0.0617740549126049,2013-01-01,2023-12-01
"JUICY BAR",0,0,0.00769105652609463,7.84615384615385,0,0,0.060345212743204,0.060345212743204,2013-01-01,2023-12-01
"LEAP",0,0,0.00156088962524774,25.3054306413235,0,0,0.039498984150468,0.039498984150468,2013-01-01,2023-12-01
"STICK",0,0,0.000644798740400698,50.4297896532132,0,0,0.032517064847064,0.032517064847064,2013-01-01,2023-12-01
"GLAS",0,0,0.000586657929751016,40.8734462520364,0,0,0.0239787313600091,0.0239787313600091,2013-01-01,2023-12-01
"ESCO BARS",0,0,0.00136594555564817,17.0006949201058,0,0,0.0232220236690489,0.0232220236690489,2013-01-01,2023-12-01
"UNKNOWN",0.000486892529153193,12.2399999999999,0.00190443557153501,12.3549246395243,5.5955948400073e-05,0.0173507268387532,0.000162910623156106,0.0175695934103094,2013-01-01,2023-12-01
"GREEN SMOKE",0.00100669227751812,16.4375823882588,0,0,-0.016547587251328,-0.016547587251328,0.016547587251328,-0.016547587251328,2013-01-01,2023-12-01
"IGNITE",0,0,0.000747065559223121,21.4051013344779,0,0,0.0159910139986694,0.0159910139986694,2013-01-01,2023-12-01
"PALAX",0,0,0.00279366529712723,5.66666666666667,0,0,0.0158307700170543,0.0158307700170543,2013-01-01,2023-12-01
"AVATA",0,0,0.000679465902436399,15.8895953757225,0,0,0.0107964382613145,0.0107964382613145,2013-01-01,2023-12-01
"SAVAGE",0,0,0.000768883091523886,13.2225438447131,0,0,0.0101665903891331,0.0101665903891331,2013-01-01,2023-12-01
"PACHA",0,0,0.000146086950167102,19.1958944659728,0,0,0.00280426967826352,0.00280426967826352,2013-01-01,2023-12-01
"JUICY",0,0,0.000338685604933134,7.84615384615385,0,0,0.00265737936178305,0.00265737936178305,2013-01-01,2023-12-01
