month,a_Ft,n_active_upcs,n_fringe_brands
2013-01-01,12.019809523809526,21,4
2013-02-01,12.019809523809526,21,4
2013-03-01,11.170350824587707,23,4
2013-04-01,9.9909170189099,31,6
2013-05-01,10.098743645320198,35,6
2013-06-01,10.565583565663978,47,7
2013-07-01,13.152629960429623,61,9
2013-08-01,14.11548275862069,68,10
2013-09-01,13.97868275862069,68,10
2013-10-01,13.97868275862069,68,10
2013-11-01,13.97868275862069,68,10
2013-12-01,13.97868275862069,68,10
2014-01-01,13.111201876133473,84,12
2014-02-01,14.263704158083858,86,12
2014-03-01,14.935419972672861,88,12
2014-04-01,15.269430984215862,89,11
2014-05-01,14.523160050476754,90,13
2014-06-01,15.30697038305482,88,12
2014-07-01,15.281678580998024,89,13
2014-08-01,15.415255962826967,93,14
2014-09-01,16.148642024007724,85,14
2014-10-01,15.692422279491465,89,14
2014-11-01,14.486563910155516,83,13
2014-12-01,14.34050358285774,85,13
2015-01-01,14.194134003770005,92,13
2015-02-01,15.145741881747757,84,13
2015-03-01,14.044941701545222,80,13
2015-04-01,12.966605241032482,86,14
2015-05-01,12.82170400852444,96,14
2015-06-01,13.254435476805215,91,14
2015-07-01,12.860276412262495,89,14
2015-08-01,12.882206071195347,94,13
2015-09-01,12.02264629474385,90,13
2015-10-01,13.203144573915502,97,13
2015-11-01,13.805242081838967,94,12
2015-12-01,13.196390954232413,96,14
2016-01-01,13.349274381975215,104,13
2016-02-01,13.1464240639084,103,13
2016-03-01,13.207202953403787,104,14
2016-04-01,13.269125866959719,103,13
2016-05-01,13.484579343724382,98,12
2016-06-01,12.97631964296851,100,14
2016-07-01,13.729870025771406,102,13
2016-08-01,13.82512170475411,93,13
2016-09-01,13.637496931494741,85,12
2016-10-01,13.900049638415314,87,11
2016-11-01,14.11589102027851,89,11
2016-12-01,14.211408526602995,83,11
2017-01-01,10.49137102826251,110,13
2017-02-01,11.000067344730407,107,13
2017-03-01,10.765366830618785,109,14
2017-04-01,10.63125756222442,108,13
2017-05-01,10.527408685317454,105,12
2017-06-01,10.457872452916659,100,12
2017-07-01,10.815152829742093,98,12
2017-08-01,10.56667245291666,100,12
2017-09-01,10.679952268989718,97,12
2017-10-01,10.79313916396881,98,12
2017-11-01,10.732604052405174,94,12
2017-12-01,10.928563330063927,94,12
2018-01-01,7.993345151429494,211,14
2018-02-01,8.034405606091363,209,13
2018-03-01,8.35559912840736,196,14
2018-04-01,8.38183886587282,187,15
2018-05-01,8.255717621999324,175,15
2018-06-01,8.142152293004287,180,15
2018-07-01,8.295853562294857,163,14
2018-08-01,8.138449003523398,166,15
2018-09-01,8.435837584292676,173,16
2018-10-01,8.234060158852076,157,14
2018-11-01,8.076592014717253,140,14
2018-12-01,8.002855977770608,150,14
2019-01-01,8.626709870167923,120,15
2019-02-01,8.667348927838853,118,14
2019-03-01,8.494173726250049,123,14
2019-04-01,8.705866098759628,113,15
2019-05-01,8.459907760039119,129,16
2019-06-01,8.740926409687987,137,15
2019-07-01,8.228814455127875,107,14
2019-08-01,8.489464057721417,103,12
2019-09-01,8.256079809736908,86,12
2019-10-01,9.223372956176144,46,10
2019-11-01,10.731636468316614,49,9
2019-12-01,10.414900418403567,55,8
2020-01-01,9.534681055695314,62,9
2020-02-01,8.331507502608263,35,9
2020-03-01,10.301642105263157,13,3
2020-04-01,10.328947608480846,17,6
2020-05-01,10.335350270067266,17,6
2020-06-01,10.301642105263157,13,3
2020-07-01,8.546957736851208,16,5
2020-08-01,9.62800781029817,14,4
2020-09-01,9.961309661946471,16,5
2020-10-01,10.081396972742903,15,5
2020-11-01,10.47130966194647,16,5
2020-12-01,10.301642105263157,13,3
2021-01-01,33.473728942077415,115,14
2021-02-01,32.89337622615501,117,13
2021-03-01,32.89337622615501,117,13
2021-04-01,32.594432238465096,124,14
2021-05-01,30.66648953410203,134,14
2021-06-01,29.797689850274534,149,14
2021-07-01,30.730654364540875,184,16
2021-08-01,30.771714325881625,186,16
2021-09-01,30.827270968012105,189,17
2021-10-01,30.246841466712546,193,17
2021-11-01,30.19757862431476,193,18
2021-12-01,29.438073224699423,203,19
2022-01-01,38.06924097489883,199,18
2022-02-01,37.75765317417997,202,19
2022-03-01,35.97499899212417,211,19
2022-04-01,36.064464907639135,214,19
2022-05-01,36.263942501696164,214,18
2022-06-01,36.08072935200964,224,18
2022-07-01,35.868836479772156,221,18
2022-08-01,35.57636559953504,223,20
2022-09-01,34.440265781581324,237,21
2022-10-01,34.11444512605872,249,22
2022-11-01,31.77556733345533,243,22
2022-12-01,30.42021268379187,253,23
2023-01-01,28.980088822092835,257,23
2023-02-01,28.171974100096755,253,22
2023-03-01,27.908489983211222,251,22
2023-04-01,28.465174805133948,244,21
2023-05-01,28.71960590024706,234,23
2023-06-01,28.202290600263712,222,24
2023-07-01,27.436540318285132,235,23
2023-08-01,26.756579024876572,232,22
2023-09-01,26.261906573908796,243,22
2023-10-01,26.580760570372767,241,21
2023-11-01,26.07575761944274,246,21
2023-12-01,26.390762281625708,245,21
