year,brand,rank,share_yr
2013,BLU,1,0.5598924877242818
2013,FINITI,2,0.13100130595021792
2013,21ST CENTURY SMOKE,3,0.09230934248481182
2013,NJOY,4,0.08514384038105477
2014,BLU,1,0.3508248805765724
2014,FINITI,2,0.17043655132213356
2014,MISTIC,3,0.10450351819280186
2014,NJOY,4,0.09745169959275074
2014,21ST CENTURY SMOKE,5,0.0865510757539395
2014,LOGIC,6,0.08374360437978472
2015,MISTIC,1,0.29858707089446634
2015,BLU,2,0.20610550136005806
2015,NJOY,3,0.10993513986295109
2015,FINITI,4,0.10781245110354998
2015,LOGIC,5,0.10049405725636087
2016,MISTIC,1,0.3029196539224744
2016,BLU,2,0.202619755817481
2016,NJOY,3,0.15091082812162912
2016,LOGIC,4,0.10688048077423022
2016,FINITI,5,0.07745410493626316
2017,MISTIC,1,0.23088095050834628
2017,BLU,2,0.1853395346221361
2017,LOGIC,3,0.1681890302528023
2017,NJOY,4,0.15918273925534207
2018,JUUL,1,0.48581861977722823
2018,MARKTEN,2,0.10702280083748938
2018,VUSE,3,0.1025291044366255
2018,BLU,4,0.08733050922799593
2018,NJOY,5,0.07575654423928477
2018,LOGIC,6,0.07143545549321127
2019,JUUL,1,0.462303537422054
2019,NJOY,2,0.25523299123660964
2019,VUSE,3,0.13379016706802788
2020,JUUL,1,0.35570085150157715
2020,VUSE,2,0.3245731962418296
2020,NJOY,3,0.2613284539522273
2021,VUSE,1,0.43730539468083324
2021,JUUL,2,0.2789053097898596
2021,NJOY,3,0.160573032578099
2022,VUSE,1,0.5054912695647241
2022,JUUL,2,0.24429269139020615
2022,NJOY,3,0.1293063527193799
2023,VUSE,1,0.5483539669636726
2023,JUUL,2,0.18773383826263368
2023,NJOY,3,0.13197920162504834
