year,brand,incumbent_7pct,top5,share_yr,rank,change
2013,NICOTEK,FALSE,TRUE,0.06608074469340941,5,DROPPED by 7% rule (share <= 7%)
2014,LOGIC,TRUE,FALSE,0.08374360437978472,6,ADDED by 7% rule (rank > 5)
2017,VUSE,FALSE,TRUE,0.06346571726569035,5,DROPPED by 7% rule (share <= 7%)
2018,LOGIC,TRUE,FALSE,0.07143545549321127,6,ADDED by 7% rule (rank > 5)
2019,BLU,FALSE,TRUE,0.0623816867258939,4,DROPPED by 7% rule (share <= 7%)
2019,LOGIC,FALSE,TRUE,0.03796582513420357,5,DROPPED by 7% rule (share <= 7%)
2020,BLU,FALSE,TRUE,0.031082571077751916,4,DROPPED by 7% rule (share <= 7%)
2020,LOGIC,FALSE,TRUE,0.018398126452596236,5,DROPPED by 7% rule (share <= 7%)
2021,BLU,FALSE,TRUE,0.02342565925884929,4,DROPPED by 7% rule (share <= 7%)
2021,MNGO,FALSE,TRUE,0.023053785504343758,5,DROPPED by 7% rule (share <= 7%)
2022,HYPPE,FALSE,TRUE,0.037145425669356,4,DROPPED by 7% rule (share <= 7%)
2022,BLU,FALSE,TRUE,0.018454182365950922,5,DROPPED by 7% rule (share <= 7%)
2023,BREEZE,FALSE,TRUE,0.03255169007251291,4,DROPPED by 7% rule (share <= 7%)
2023,HYPPE,FALSE,TRUE,0.027605199296627487,5,DROPPED by 7% rule (share <= 7%)
