year,brand,top5_orig,rank_orig,top5_filtered,rank_filtered,flip,change
2013,BLU,TRUE,1,TRUE,1,FALSE,unchanged
2013,FINITI,TRUE,2,TRUE,2,FALSE,unchanged
2013,21ST CENTURY SMOKE,TRUE,3,TRUE,3,FALSE,unchanged
2013,NJOY,TRUE,4,TRUE,4,FALSE,unchanged
2013,NICOTEK,TRUE,5,TRUE,5,FALSE,unchanged
2014,BLU,TRUE,1,TRUE,1,FALSE,unchanged
2014,FINITI,TRUE,2,TRUE,2,FALSE,unchanged
2014,MISTIC,TRUE,3,TRUE,3,FALSE,unchanged
2014,NJOY,TRUE,4,TRUE,4,FALSE,unchanged
2014,21ST CENTURY SMOKE,TRUE,5,TRUE,5,FALSE,unchanged
2015,MISTIC,TRUE,1,TRUE,1,FALSE,unchanged
2015,BLU,TRUE,2,TRUE,2,FALSE,unchanged
2015,NJOY,TRUE,3,TRUE,3,FALSE,unchanged
2015,FINITI,TRUE,4,TRUE,4,FALSE,unchanged
2015,LOGIC,TRUE,5,TRUE,5,FALSE,unchanged
2016,MISTIC,TRUE,1,TRUE,1,FALSE,unchanged
2016,BLU,TRUE,2,TRUE,2,FALSE,unchanged
2016,NJOY,TRUE,3,TRUE,3,FALSE,unchanged
2016,LOGIC,TRUE,4,TRUE,4,FALSE,unchanged
2016,FINITI,TRUE,5,TRUE,5,FALSE,unchanged
2017,MISTIC,TRUE,1,TRUE,1,FALSE,unchanged
2017,BLU,TRUE,2,TRUE,2,FALSE,unchanged
2017,LOGIC,TRUE,3,TRUE,3,FALSE,unchanged
2017,NJOY,TRUE,4,TRUE,4,FALSE,unchanged
2017,VUSE,TRUE,5,TRUE,5,FALSE,unchanged
2018,JUUL,TRUE,1,TRUE,1,FALSE,unchanged
2018,MARKTEN,TRUE,2,TRUE,2,FALSE,unchanged
2018,VUSE,TRUE,3,TRUE,3,FALSE,unchanged
2018,BLU,TRUE,4,TRUE,4,FALSE,unchanged
2018,NJOY,TRUE,5,TRUE,5,FALSE,unchanged
2019,JUUL,TRUE,1,TRUE,1,FALSE,unchanged
2019,NJOY,TRUE,2,TRUE,2,FALSE,unchanged
2019,VUSE,TRUE,3,TRUE,3,FALSE,unchanged
2019,BLU,TRUE,4,TRUE,4,FALSE,unchanged
2019,LOGIC,TRUE,5,TRUE,5,FALSE,unchanged
2020,JUUL,TRUE,1,TRUE,1,FALSE,unchanged
2020,VUSE,TRUE,2,TRUE,2,FALSE,unchanged
2020,NJOY,TRUE,3,TRUE,3,FALSE,unchanged
2020,BLU,TRUE,4,TRUE,4,FALSE,unchanged
2020,LOGIC,TRUE,5,TRUE,5,FALSE,unchanged
2021,VUSE,TRUE,1,TRUE,1,FALSE,unchanged
2021,JUUL,TRUE,2,TRUE,2,FALSE,unchanged
2021,NJOY,TRUE,3,TRUE,3,FALSE,unchanged
2021,BLU,TRUE,4,TRUE,4,FALSE,unchanged
2021,MNGO,TRUE,5,TRUE,5,FALSE,unchanged
2022,VUSE,TRUE,1,TRUE,1,FALSE,unchanged
2022,JUUL,TRUE,2,TRUE,2,FALSE,unchanged
2022,NJOY,TRUE,3,TRUE,3,FALSE,unchanged
2022,HYPPE,TRUE,4,TRUE,4,FALSE,unchanged
2022,BLU,TRUE,5,TRUE,5,FALSE,unchanged
2023,VUSE,TRUE,1,TRUE,1,FALSE,unchanged
2023,JUUL,TRUE,2,TRUE,2,FALSE,unchanged
2023,NJOY,TRUE,3,TRUE,3,FALSE,unchanged
2023,BREEZE,TRUE,4,TRUE,4,FALSE,unchanged
2023,HYPPE,TRUE,5,TRUE,5,FALSE,unchanged
